model,pair,mean_comm_norm,mean_relative_antisym_error,mean_cos_comm_ab_neg_comm_ba,n
bert-base-uncased,MT_vs_TM,4.21084849357605,0.0,0.9999999797344208,100
bert-base-uncased,NM_vs_MN,2.0964975368976595,0.0,0.9999999928474427,100
bert-base-uncased,NQ_vs_QN,4.029742732048034,0.0,0.9999999904632568,100
bert-base-uncased,NT_vs_TN,4.974394345283509,0.0,0.9999999928474427,100
bert-base-uncased,QM_vs_MQ,4.46759474515915,0.0,0.9999999922513961,100
bert-base-uncased,QT_vs_TQ,3.0670401644706726,0.0,0.9999999916553497,100
distilroberta-base,MT_vs_TM,1.334163714647293,0.0,0.9999999898672104,100
distilroberta-base,NM_vs_MN,1.2204307854175567,0.0,0.9999999994039536,100
distilroberta-base,NQ_vs_QN,1.4504181408882142,0.0,1.0000000017881394,100
distilroberta-base,NT_vs_TN,1.3915265202522278,0.0,0.9999999916553497,100
distilroberta-base,QM_vs_MQ,1.3567347121238709,0.0,0.9999999850988388,100
distilroberta-base,QT_vs_TQ,0.6474311661720276,0.0,0.9999999964237213,100
roberta-base,MT_vs_TM,1.372861385345459,0.0,0.9999999910593033,100
roberta-base,NM_vs_MN,1.3407857406139374,0.0,0.9999999725818634,100
roberta-base,NQ_vs_QN,1.628028450012207,0.0,1.000000006556511,100
roberta-base,NT_vs_TN,1.4048025143146514,0.0,0.9999999797344208,100
roberta-base,QM_vs_MQ,1.5513720309734345,0.0,1.0000000071525574,100
roberta-base,QT_vs_TQ,0.7724296951293945,0.0,1.000000006556511,100
