model,mode,class,mean_cosine_to_class_centroid,std_cosine_to_class_centroid,mean_vector_norm,std_vector_norm
bert-base-uncased,final,negation,0.6284802332520485,0.09263826182729079,4.6130266189575195,0.3840593993663788
bert-base-uncased,final,question,0.7699468657374382,0.05732994305824963,5.385300636291504,0.6013447046279907
bert-base-uncased,final,past_to_future,0.6837612465023994,0.06704311293031277,4.705108642578125,0.6057299375534058
bert-base-uncased,final,certainty_to_uncertainty,0.7578808292746544,0.058906001977623204,4.7276105880737305,1.05096435546875
bert-base-uncased,final,active_to_passive,0.5906238965690136,0.09469675896470658,4.2230401039123535,0.43419167399406433
bert-base-uncased,final,formalization,0.6782367788255215,0.09243274915291753,4.125065803527832,0.6436184048652649
bert-base-uncased,all_layers_flat,negation,0.7923061847686768,0.06295642308232446,15.724836349487305,1.107970118522644
bert-base-uncased,all_layers_flat,question,0.847279816865921,0.04152291032615048,17.740327835083008,1.676815152168274
bert-base-uncased,all_layers_flat,past_to_future,0.789492055773735,0.04847414115300939,14.722493171691895,0.5318925976753235
bert-base-uncased,all_layers_flat,certainty_to_uncertainty,0.8820541277527809,0.032028996326120274,14.545970916748047,1.2828516960144043
bert-base-uncased,all_layers_flat,active_to_passive,0.7418309226632118,0.05378988927848226,14.263917922973633,0.8831534385681152
bert-base-uncased,all_layers_flat,formalization,0.7820736318826675,0.04725162050268107,13.02695083618164,1.0272669792175293
bert-base-uncased,transition_dynamics_flat,negation,0.6961969286203384,0.06800840397764257,8.790267944335938,0.7278398871421814
bert-base-uncased,transition_dynamics_flat,question,0.7919968366622925,0.04392169547878957,10.554646492004395,0.9565704464912415
bert-base-uncased,transition_dynamics_flat,past_to_future,0.7084015533328056,0.05859834772551607,8.5069580078125,0.3170985281467438
bert-base-uncased,transition_dynamics_flat,certainty_to_uncertainty,0.8215948790311813,0.04441530988629014,8.368249893188477,0.8804893493652344
bert-base-uncased,transition_dynamics_flat,active_to_passive,0.6524471938610077,0.06264993329596327,8.633478164672852,0.6149227619171143
bert-base-uncased,transition_dynamics_flat,formalization,0.6954707875847816,0.03852560604061756,7.464731216430664,0.529056966304779
roberta-base,final,negation,0.8038602918386459,0.06106812924967605,1.475708246231079,0.19738085567951202
roberta-base,final,question,0.8686190545558929,0.024831279756239992,1.7189781665802002,0.14771153032779694
