model,mode,class_a,class_b,pair_a,pair_b,same_class,cosine
bert-base-uncased,final,negation,negation,negation_0,negation_1,True,0.3076982796192169
bert-base-uncased,final,negation,negation,negation_0,negation_2,True,0.40943050384521484
bert-base-uncased,final,negation,negation,negation_0,negation_3,True,0.5103936791419983
bert-base-uncased,final,negation,negation,negation_0,negation_4,True,0.28664249181747437
bert-base-uncased,final,negation,negation,negation_0,negation_5,True,0.48308801651000977
bert-base-uncased,final,negation,negation,negation_0,negation_6,True,0.29084357619285583
bert-base-uncased,final,negation,negation,negation_0,negation_7,True,0.45321914553642273
bert-base-uncased,final,negation,question,negation_0,question_0,False,0.39700615406036377
bert-base-uncased,final,negation,question,negation_0,question_1,False,0.19334281980991364
bert-base-uncased,final,negation,question,negation_0,question_2,False,0.10955873876810074
bert-base-uncased,final,negation,question,negation_0,question_3,False,0.23044487833976746
bert-base-uncased,final,negation,question,negation_0,question_4,False,0.11178026348352432
bert-base-uncased,final,negation,question,negation_0,question_5,False,0.18648536503314972
bert-base-uncased,final,negation,question,negation_0,question_6,False,0.14988674223423004
bert-base-uncased,final,negation,question,negation_0,question_7,False,0.15609309077262878
bert-base-uncased,final,negation,past_to_future,negation_0,past_to_future_0,False,0.23533283174037933
bert-base-uncased,final,negation,past_to_future,negation_0,past_to_future_1,False,0.1508348286151886
bert-base-uncased,final,negation,past_to_future,negation_0,past_to_future_2,False,-0.061210088431835175
bert-base-uncased,final,negation,past_to_future,negation_0,past_to_future_3,False,0.08454735577106476
bert-base-uncased,final,negation,past_to_future,negation_0,past_to_future_4,False,0.0767328143119812
bert-base-uncased,final,negation,past_to_future,negation_0,past_to_future_5,False,0.03758809342980385
bert-base-uncased,final,negation,past_to_future,negation_0,past_to_future_6,False,0.004575738683342934
bert-base-uncased,final,negation,past_to_future,negation_0,past_to_future_7,False,0.049098771065473557
bert-base-uncased,final,negation,certainty_to_uncertainty,negation_0,certainty_to_uncertainty_0,False,0.19366255402565002
bert-base-uncased,final,negation,certainty_to_uncertainty,negation_0,certainty_to_uncertainty_1,False,0.07804597914218903
bert-base-uncased,final,negation,certainty_to_uncertainty,negation_0,certainty_to_uncertainty_2,False,0.15303894877433777
bert-base-uncased,final,negation,certainty_to_uncertainty,negation_0,certainty_to_uncertainty_3,False,0.16186775267124176
bert-base-uncased,final,negation,certainty_to_uncertainty,negation_0,certainty_to_uncertainty_4,False,0.13623324036598206
bert-base-uncased,final,negation,certainty_to_uncertainty,negation_0,certainty_to_uncertainty_5,False,0.25640538334846497
bert-base-uncased,final,negation,certainty_to_uncertainty,negation_0,certainty_to_uncertainty_6,False,0.14798416197299957
bert-base-uncased,final,negation,certainty_to_uncertainty,negation_0,certainty_to_uncertainty_7,False,0.07556485384702682
bert-base-uncased,final,negation,active_to_passive,negation_0,active_to_passive_0,False,0.4779790937900543
bert-base-uncased,final,negation,active_to_passive,negation_0,active_to_passive_1,False,0.14658764004707336
bert-base-uncased,final,negation,active_to_passive,negation_0,active_to_passive_2,False,0.0945257842540741
bert-base-uncased,final,negation,active_to_passive,negation_0,active_to_passive_3,False,0.2230958640575409
bert-base-uncased,final,negation,active_to_passive,negation_0,active_to_passive_4,False,0.13989995419979095
bert-base-uncased,final,negation,active_to_passive,negation_0,active_to_passive_5,False,0.12982164323329926
bert-base-uncased,final,negation,active_to_passive,negation_0,active_to_passive_6,False,0.053772926330566406
bert-base-uncased,final,negation,active_to_passive,negation_0,active_to_passive_7,False,0.2319650799036026
bert-base-uncased,final,negation,formalization,negation_0,formalization_0,False,0.009534220211207867
