model,class_a,class_b,mean_TbTa_minus_TaTb_norm
bert-base-uncased,negation,question,0.8109365549510584
bert-base-uncased,negation,past_to_future,0.7690159472058424
bert-base-uncased,negation,certainty_to_uncertainty,0.5182182488653821
bert-base-uncased,negation,active_to_passive,0.6051154730599857
bert-base-uncased,negation,formalization,0.5452923551386134
bert-base-uncased,question,past_to_future,0.8049709248451672
bert-base-uncased,question,certainty_to_uncertainty,0.8580731492212923
bert-base-uncased,question,active_to_passive,0.7938116861284641
bert-base-uncased,question,formalization,0.5206408436064519
bert-base-uncased,past_to_future,certainty_to_uncertainty,1.0110018616330079
bert-base-uncased,past_to_future,active_to_passive,0.7694113252438952
bert-base-uncased,past_to_future,formalization,0.6146226906737985
bert-base-uncased,certainty_to_uncertainty,active_to_passive,0.49274472143748216
bert-base-uncased,certainty_to_uncertainty,formalization,0.6090408008894621
bert-base-uncased,active_to_passive,formalization,0.41926132409878375
roberta-base,negation,question,0.18320283345078867
roberta-base,negation,past_to_future,0.22780771417845813
roberta-base,negation,certainty_to_uncertainty,0.3430356598222822
roberta-base,negation,active_to_passive,0.2458588714653718
roberta-base,negation,formalization,0.14557479095090645
roberta-base,question,past_to_future,0.24183764929072396
roberta-base,question,certainty_to_uncertainty,0.29108910155220324
roberta-base,question,active_to_passive,0.2169182058296345
roberta-base,question,formalization,0.12331316430384905
roberta-base,past_to_future,certainty_to_uncertainty,0.335588208565221
roberta-base,past_to_future,active_to_passive,0.24065035557390946
roberta-base,past_to_future,formalization,0.13450220479868383
roberta-base,certainty_to_uncertainty,active_to_passive,0.617199067488031
roberta-base,certainty_to_uncertainty,formalization,0.21873899478918776
roberta-base,active_to_passive,formalization,0.12204133409133514
distilroberta-base,negation,question,0.14675336307981354
distilroberta-base,negation,past_to_future,0.056760717792237486
distilroberta-base,negation,certainty_to_uncertainty,0.13299838998163988
distilroberta-base,negation,active_to_passive,0.1330923097429371
distilroberta-base,negation,formalization,0.09130444878786009
distilroberta-base,question,past_to_future,0.1041826657195209
distilroberta-base,question,certainty_to_uncertainty,0.06817373166515563
distilroberta-base,question,active_to_passive,0.11760625028170264
distilroberta-base,question,formalization,0.09542973327986419
distilroberta-base,past_to_future,certainty_to_uncertainty,0.07985427281921835
distilroberta-base,past_to_future,active_to_passive,0.07062002630054434
distilroberta-base,past_to_future,formalization,0.0868686766495
distilroberta-base,certainty_to_uncertainty,active_to_passive,0.09660070052839852
distilroberta-base,certainty_to_uncertainty,formalization,0.05200591275939813
distilroberta-base,active_to_passive,formalization,0.08388282365616553
distilgpt2,negation,question,2.561779074287774
distilgpt2,negation,past_to_future,2.330702000477265
distilgpt2,negation,certainty_to_uncertainty,4.975796736651457
distilgpt2,negation,active_to_passive,3.7345151739421576
distilgpt2,negation,formalization,7.070502658761113
distilgpt2,question,past_to_future,2.121648396236268
distilgpt2,question,certainty_to_uncertainty,4.0643683955346654
distilgpt2,question,active_to_passive,3.2730403381017994
distilgpt2,question,formalization,5.6456938218946116
distilgpt2,past_to_future,certainty_to_uncertainty,3.0086788958202626
distilgpt2,past_to_future,active_to_passive,3.8228957133013037
distilgpt2,past_to_future,formalization,6.516625090109404
distilgpt2,certainty_to_uncertainty,active_to_passive,5.509166385043263
distilgpt2,certainty_to_uncertainty,formalization,4.9668211662194075
distilgpt2,active_to_passive,formalization,6.441461378664797
gpt2,negation,question,4.684784728918345
gpt2,negation,past_to_future,5.2871518460464575
gpt2,negation,certainty_to_uncertainty,12.158165407184852
gpt2,negation,active_to_passive,10.401442798368317
gpt2,negation,formalization,13.594294229630192
gpt2,question,past_to_future,5.433193114463707
gpt2,question,certainty_to_uncertainty,10.82223727719108
gpt2,question,active_to_passive,9.853652396991935
gpt2,question,formalization,12.056338651349884
gpt2,past_to_future,certainty_to_uncertainty,11.343615021367551
gpt2,past_to_future,active_to_passive,12.301259187930308
gpt2,past_to_future,formalization,12.435188164972764
gpt2,certainty_to_uncertainty,active_to_passive,9.60268814228069
gpt2,certainty_to_uncertainty,formalization,6.416917807632167
gpt2,active_to_passive,formalization,17.26067140316552
