model,representation,classifier,accuracy,random_baseline,n_train,n_test
bert-base-uncased,delta,logreg,0.8991666666666667,0.16666666666666666,2400,4800
bert-base-uncased,delta,linear_svc,0.89375,0.16666666666666666,2400,4800
bert-base-uncased,y_only,logreg,0.8485416666666666,0.16666666666666666,2400,4800
bert-base-uncased,y_only,linear_svc,0.86625,0.16666666666666666,2400,4800
bert-base-uncased,x_only,logreg,0.16666666666666666,0.16666666666666666,2400,4800
bert-base-uncased,x_only,linear_svc,0.16666666666666666,0.16666666666666666,2400,4800
bert-base-uncased,concat,logreg,0.8720833333333333,0.16666666666666666,2400,4800
bert-base-uncased,concat,linear_svc,0.8829166666666667,0.16666666666666666,2400,4800
roberta-base,delta,logreg,0.8016666666666666,0.16666666666666666,2400,4800
roberta-base,delta,linear_svc,0.880625,0.16666666666666666,2400,4800
roberta-base,y_only,logreg,0.7904166666666667,0.16666666666666666,2400,4800
roberta-base,y_only,linear_svc,0.8377083333333334,0.16666666666666666,2400,4800
roberta-base,x_only,logreg,0.16666666666666666,0.16666666666666666,2400,4800
roberta-base,x_only,linear_svc,0.16666666666666666,0.16666666666666666,2400,4800
roberta-base,concat,logreg,0.8039583333333333,0.16666666666666666,2400,4800
roberta-base,concat,linear_svc,0.87125,0.16666666666666666,2400,4800
distilroberta-base,delta,logreg,0.854375,0.16666666666666666,2400,4800
distilroberta-base,delta,linear_svc,0.8725,0.16666666666666666,2400,4800
distilroberta-base,y_only,logreg,0.8154166666666667,0.16666666666666666,2400,4800
distilroberta-base,y_only,linear_svc,0.8260416666666667,0.16666666666666666,2400,4800
distilroberta-base,x_only,logreg,0.16666666666666666,0.16666666666666666,2400,4800
distilroberta-base,x_only,linear_svc,0.16666666666666666,0.16666666666666666,2400,4800
distilroberta-base,concat,logreg,0.8245833333333333,0.16666666666666666,2400,4800
distilroberta-base,concat,linear_svc,0.8433333333333334,0.16666666666666666,2400,4800
gpt2,delta,logreg,0.739375,0.16666666666666666,2400,4800
gpt2,delta,linear_svc,0.824375,0.16666666666666666,2400,4800
gpt2,y_only,logreg,0.753125,0.16666666666666666,2400,4800
gpt2,y_only,linear_svc,0.7352083333333334,0.16666666666666666,2400,4800
gpt2,x_only,logreg,0.16666666666666666,0.16666666666666666,2400,4800
gpt2,x_only,linear_svc,0.16666666666666666,0.16666666666666666,2400,4800
gpt2,concat,logreg,0.7610416666666666,0.16666666666666666,2400,4800
gpt2,concat,linear_svc,0.7708333333333334,0.16666666666666666,2400,4800
distilgpt2,delta,logreg,0.77,0.16666666666666666,2400,4800
distilgpt2,delta,linear_svc,0.835,0.16666666666666666,2400,4800
distilgpt2,y_only,logreg,0.7077083333333334,0.16666666666666666,2400,4800
distilgpt2,y_only,linear_svc,0.7314583333333333,0.16666666666666666,2400,4800
distilgpt2,x_only,logreg,0.16666666666666666,0.16666666666666666,2400,4800
distilgpt2,x_only,linear_svc,0.16666666666666666,0.16666666666666666,2400,4800
distilgpt2,concat,logreg,0.7354166666666667,0.16666666666666666,2400,4800
distilgpt2,concat,linear_svc,0.7495833333333334,0.16666666666666666,2400,4800
