model,scale,language,template_id,representation,cv_adjacent_norm,cos_step_12,cos_step_23,cos_step_34
BAAI/bge-m3,affect,en,0,mean_pool,0.6365735530853271,-0.09970701485872269,-0.5895004868507385,0.07371509820222855
BAAI/bge-m3,affect,en,1,mean_pool,0.6196438074111938,-0.009583991952240467,-0.5872904062271118,0.1628093421459198
BAAI/bge-m3,affect,en,2,mean_pool,0.49459555745124817,-0.10211992263793945,-0.5704606175422668,0.1625111848115921
BAAI/bge-m3,affect,en,3,mean_pool,0.6081463098526001,-0.11113765835762024,-0.5496451258659363,0.1278635710477829
BAAI/bge-m3,affect,en,4,mean_pool,0.5770158171653748,-0.10406370460987091,-0.5872827172279358,0.03703858330845833
BAAI/bge-m3,affect,en,5,mean_pool,0.5736520290374756,-0.02180618979036808,-0.5385307669639587,0.07990522682666779
BAAI/bge-m3,affect,en,6,mean_pool,0.5165344476699829,-0.163666769862175,-0.5953893661499023,0.0846884474158287
BAAI/bge-m3,affect,en,7,mean_pool,0.5927440524101257,-0.02505357936024666,-0.5636513233184814,0.26089397072792053
BAAI/bge-m3,affect,en,8,mean_pool,0.5696732997894287,-0.13462162017822266,-0.6179471611976624,0.19281035661697388
BAAI/bge-m3,affect,en,9,mean_pool,0.6626189351081848,-0.1515122503042221,-0.5912619829177856,0.14830096065998077
BAAI/bge-m3,affect,en,10,mean_pool,0.5522108674049377,-0.08742966502904892,-0.5244445204734802,0.09331668168306351
BAAI/bge-m3,affect,en,11,mean_pool,0.6062941551208496,-0.08110430091619492,-0.5900751352310181,0.0966777577996254
BAAI/bge-m3,affect,en,12,mean_pool,0.5716212391853333,-0.12301965057849884,-0.5937577486038208,0.29671531915664673
BAAI/bge-m3,affect,en,13,mean_pool,0.6088830232620239,-0.03979051858186722,-0.5329983830451965,0.04328218102455139
BAAI/bge-m3,affect,en,14,mean_pool,0.5436747074127197,-0.12623414397239685,-0.4972151815891266,-0.10123393684625626
BAAI/bge-m3,affect,en,15,mean_pool,0.5875006318092346,0.023320775479078293,-0.5614511370658875,0.26092883944511414
