scale,language,level,marker_found_rate,mean_marker_token_count,cells
affect,en,-2,1.0,2.0,840
affect,en,-1,1.0,2.7142857142857144,840
affect,en,0,1.0,2.7142857142857144,840
affect,en,1,1.0,1.8571428571428572,840
affect,en,2,1.0,1.5714285714285714,840
affect,ru,-2,1.0,3.0,840
affect,ru,-1,1.0,5.857142857142857,840
affect,ru,0,1.0,3.2857142857142856,840
affect,ru,1,1.0,3.857142857142857,840
affect,ru,2,1.0,3.0,840
affect,zh,-2,1.0,2.0,840
affect,zh,-1,1.0,4.285714285714286,840
affect,zh,0,1.0,2.857142857142857,840
affect,zh,1,1.0,2.2857142857142856,840
affect,zh,2,1.0,2.0,840
attention,en,-2,1.0,2.2857142857142856,840
attention,en,-1,1.0,1.8571428571428572,840
attention,en,0,1.0,1.5714285714285714,840
attention,en,1,1.0,1.8571428571428572,840
attention,en,2,1.0,2.857142857142857,840
attention,ru,-2,1.0,3.4285714285714284,840
attention,ru,-1,1.0,3.142857142857143,840
attention,ru,0,1.0,3.0,840
attention,ru,1,1.0,4.857142857142857,840
attention,ru,2,1.0,3.2857142857142856,840
attention,zh,-2,1.0,2.5714285714285716,840
attention,zh,-1,1.0,3.0,840
attention,zh,0,1.0,2.5714285714285716,840
attention,zh,1,1.0,2.0,840
attention,zh,2,1.0,2.2857142857142856,840
random_label,en,-2,1.0,1.5714285714285714,840
random_label,en,-1,1.0,1.0,840
random_label,en,0,1.0,1.2857142857142858,840
random_label,en,1,1.0,1.0,840
random_label,en,2,1.0,1.0,840
random_label,ru,-2,1.0,1.0,840
random_label,ru,-1,1.0,1.2857142857142858,840
random_label,ru,0,1.0,2.857142857142857,840
random_label,ru,1,1.0,1.2857142857142858,840
random_label,ru,2,1.0,2.0,840
random_label,zh,-2,1.0,2.0,840
random_label,zh,-1,1.0,3.0,840
random_label,zh,0,1.0,2.2857142857142856,840
random_label,zh,1,1.0,2.0,840
random_label,zh,2,1.0,1.2857142857142858,840
size,en,-2,1.0,1.8571428571428572,840
size,en,-1,1.0,1.0,840
size,en,0,1.0,1.5714285714285714,840
size,en,1,1.0,1.0,840
size,en,2,1.0,1.0,840
size,ru,-2,1.0,4.285714285714286,840
size,ru,-1,1.0,2.5714285714285716,840
size,ru,0,1.0,3.0,840
size,ru,1,1.0,3.0,840
size,ru,2,1.0,2.142857142857143,840
size,zh,-2,1.0,3.5714285714285716,840
size,zh,-1,1.0,2.857142857142857,840
size,zh,0,1.0,2.0,840
size,zh,1,1.0,1.0,840
size,zh,2,1.0,1.2857142857142858,840
