model,language,template_id,representation,from_level,to_level,step_size,delta_norm
BAAI/bge-m3,en,0,mean_pool,-2,-1,1,4.439701080322266
BAAI/bge-m3,en,0,mean_pool,-1,0,1,9.437417984008787
BAAI/bge-m3,en,0,mean_pool,0,1,1,12.607691764831545
BAAI/bge-m3,en,0,mean_pool,1,2,1,2.6479384899139404
BAAI/bge-m3,en,0,mean_pool,-2,0,2,9.972530364990234
BAAI/bge-m3,en,0,mean_pool,-1,1,2,10.355103492736816
BAAI/bge-m3,en,0,mean_pool,0,2,2,13.011147499084473
BAAI/bge-m3,en,0,mean_pool,-2,2,4,11.630555152893066
BAAI/bge-m3,en,1,mean_pool,-2,-1,1,4.954957008361816
BAAI/bge-m3,en,1,mean_pool,-1,0,1,10.2205228805542
BAAI/bge-m3,en,1,mean_pool,0,1,1,13.168310165405272
BAAI/bge-m3,en,1,mean_pool,1,2,1,2.943578004837036
BAAI/bge-m3,en,1,mean_pool,-2,0,2,11.234020233154297
BAAI/bge-m3,en,1,mean_pool,-1,1,2,11.008829116821287
BAAI/bge-m3,en,1,mean_pool,0,2,2,13.87961769104004
BAAI/bge-m3,en,1,mean_pool,-2,2,4,12.806485176086426
BAAI/bge-m3,en,2,mean_pool,-2,-1,1,5.527615547180176
BAAI/bge-m3,en,2,mean_pool,-1,0,1,11.1790132522583
BAAI/bge-m3,en,2,mean_pool,0,1,1,13.10323429107666
BAAI/bge-m3,en,2,mean_pool,1,2,1,4.728274822235107
BAAI/bge-m3,en,2,mean_pool,-2,0,2,11.899600982666016
BAAI/bge-m3,en,2,mean_pool,-1,1,2,11.447507858276367
BAAI/bge-m3,en,2,mean_pool,0,2,2,14.52940559387207
BAAI/bge-m3,en,2,mean_pool,-2,2,4,14.214455604553224
BAAI/bge-m3,en,3,mean_pool,-2,-1,1,5.352300643920898
BAAI/bge-m3,en,3,mean_pool,-1,0,1,10.807992935180664
BAAI/bge-m3,en,3,mean_pool,0,1,1,14.24044704437256
BAAI/bge-m3,en,3,mean_pool,1,2,1,3.286069631576538
BAAI/bge-m3,en,3,mean_pool,-2,0,2,11.457542419433594
BAAI/bge-m3,en,3,mean_pool,-1,1,2,12.28592586517334
BAAI/bge-m3,en,3,mean_pool,0,2,2,14.967000961303713
BAAI/bge-m3,en,3,mean_pool,-2,2,4,14.470438957214355
BAAI/bge-m3,en,4,mean_pool,-2,-1,1,5.247358322143555
BAAI/bge-m3,en,4,mean_pool,-1,0,1,9.72657585144043
BAAI/bge-m3,en,4,mean_pool,0,1,1,12.704058647155762
BAAI/bge-m3,en,4,mean_pool,1,2,1,3.136643409729004
BAAI/bge-m3,en,4,mean_pool,-2,0,2,10.513067245483398
BAAI/bge-m3,en,4,mean_pool,-1,1,2,10.603635787963867
BAAI/bge-m3,en,4,mean_pool,0,2,2,13.169862747192385
BAAI/bge-m3,en,4,mean_pool,-2,2,4,12.465997695922852
BAAI/bge-m3,en,5,mean_pool,-2,-1,1,4.738832473754883
BAAI/bge-m3,en,5,mean_pool,-1,0,1,8.671746253967285
BAAI/bge-m3,en,5,mean_pool,0,1,1,12.298911094665527
BAAI/bge-m3,en,5,mean_pool,1,2,1,3.3147165775299072
BAAI/bge-m3,en,5,mean_pool,-2,0,2,9.76044750213623
BAAI/bge-m3,en,5,mean_pool,-1,1,2,10.61719036102295
BAAI/bge-m3,en,5,mean_pool,0,2,2,12.939901351928713
BAAI/bge-m3,en,5,mean_pool,-2,2,4,12.381362915039062
BAAI/bge-m3,en,6,mean_pool,-2,-1,1,6.005605220794678
BAAI/bge-m3,en,6,mean_pool,-1,0,1,11.142593383789062
BAAI/bge-m3,en,6,mean_pool,0,1,1,14.423428535461426
BAAI/bge-m3,en,6,mean_pool,1,2,1,4.827710151672363
BAAI/bge-m3,en,6,mean_pool,-2,0,2,11.67044162750244
BAAI/bge-m3,en,6,mean_pool,-1,1,2,11.93873119354248
BAAI/bge-m3,en,6,mean_pool,0,2,2,15.486934661865234
BAAI/bge-m3,en,6,mean_pool,-2,2,4,14.577836990356444
BAAI/bge-m3,en,7,mean_pool,-2,-1,1,4.207512855529785
BAAI/bge-m3,en,7,mean_pool,-1,0,1,9.79499626159668
BAAI/bge-m3,en,7,mean_pool,0,1,1,11.00525951385498
BAAI/bge-m3,en,7,mean_pool,1,2,1,2.8383116722106934
BAAI/bge-m3,en,7,mean_pool,-2,0,2,10.477371215820312
BAAI/bge-m3,en,7,mean_pool,-1,1,2,9.757357597351074
BAAI/bge-m3,en,7,mean_pool,0,2,2,11.9947509765625
BAAI/bge-m3,en,7,mean_pool,-2,2,4,11.306022644042969
BAAI/bge-m3,en,8,mean_pool,-2,-1,1,5.429088115692139
BAAI/bge-m3,en,8,mean_pool,-1,0,1,9.298384666442873
BAAI/bge-m3,en,8,mean_pool,0,1,1,13.432175636291504
BAAI/bge-m3,en,8,mean_pool,1,2,1,3.472021102905273
BAAI/bge-m3,en,8,mean_pool,-2,0,2,10.057705879211426
BAAI/bge-m3,en,8,mean_pool,-1,1,2,10.649665832519531
BAAI/bge-m3,en,8,mean_pool,0,2,2,14.46191120147705
BAAI/bge-m3,en,8,mean_pool,-2,2,4,13.614461898803713
BAAI/bge-m3,en,9,mean_pool,-2,-1,1,4.8466081619262695
BAAI/bge-m3,en,9,mean_pool,-1,0,1,10.720656394958496
BAAI/bge-m3,en,9,mean_pool,0,1,1,13.891731262207031
BAAI/bge-m3,en,9,mean_pool,1,2,1,2.588783264160156
BAAI/bge-m3,en,9,mean_pool,-2,0,2,11.051945686340332
BAAI/bge-m3,en,9,mean_pool,-1,1,2,11.474431991577148
BAAI/bge-m3,en,9,mean_pool,0,2,2,14.416343688964844
BAAI/bge-m3,en,9,mean_pool,-2,2,4,13.487695693969728
