model,language,path,direct,mean_residual_norm,mean_direct_norm,relative_residual_norm,mean_cosine_composed_direct,note
distilbert-base-multilingual-cased,ar,-2->-1->0,-2->0,1.1099507446488133e-07,2.560155153274536,4.3354823731078795e-08,1.0,sanity_identity_for_same_endpoint_path
distilbert-base-multilingual-cased,ar,-1->0->1,-1->1,1.0075866896386287e-07,1.3211114406585693,7.62681082733252e-08,1.0,sanity_identity_for_same_endpoint_path
distilbert-base-multilingual-cased,ar,0->1->2,0->2,1.0902176938998309e-07,2.376396894454956,4.587692004065502e-08,1.0,sanity_identity_for_same_endpoint_path
distilbert-base-multilingual-cased,ar,-2->0->2,-2->2,9.81958905299507e-08,1.9293733835220337,5.089522403523006e-08,1.0,sanity_identity_for_same_endpoint_path
distilbert-base-multilingual-cased,de,-2->-1->0,-2->0,1.4347524768254516e-07,3.4430572986602783,4.167088718531886e-08,1.0,sanity_identity_for_same_endpoint_path
distilbert-base-multilingual-cased,de,-1->0->1,-1->1,1.335393733370438e-07,1.9953025579452515,6.69268800379541e-08,1.0,sanity_identity_for_same_endpoint_path
distilbert-base-multilingual-cased,de,0->1->2,0->2,1.4405441106646322e-07,3.61332631111145,3.9867533274673406e-08,1.0,sanity_identity_for_same_endpoint_path
distilbert-base-multilingual-cased,de,-2->0->2,-2->2,1.382686320994253e-07,2.374587297439575,5.8228490473766215e-08,1.0,sanity_identity_for_same_endpoint_path
distilbert-base-multilingual-cased,en,-2->-1->0,-2->0,1.439722154827905e-07,4.200934410095215,3.427147277079712e-08,1.0,sanity_identity_for_same_endpoint_path
distilbert-base-multilingual-cased,en,-1->0->1,-1->1,1.4746208876204037e-07,2.4125914573669434,6.112186667905917e-08,1.0,sanity_identity_for_same_endpoint_path
distilbert-base-multilingual-cased,en,0->1->2,0->2,1.4160814032493363e-07,4.230080604553223,3.3476464267323536e-08,1.0,sanity_identity_for_same_endpoint_path
distilbert-base-multilingual-cased,en,-2->0->2,-2->2,1.5605047565259156e-07,2.4573206901550293,6.350431647206278e-08,1.0,sanity_identity_for_same_endpoint_path
distilbert-base-multilingual-cased,es,-2->-1->0,-2->0,1.450178075401709e-07,3.217215061187744,4.507556994326478e-08,1.0,sanity_identity_for_same_endpoint_path
distilbert-base-multilingual-cased,es,-1->0->1,-1->1,1.274512868576494e-07,1.6513550281524658,7.71798198684337e-08,1.0,sanity_identity_for_same_endpoint_path
distilbert-base-multilingual-cased,es,0->1->2,0->2,1.3694742051484354e-07,3.5427451133728027,3.8655734613257664e-08,1.0,sanity_identity_for_same_endpoint_path
distilbert-base-multilingual-cased,es,-2->0->2,-2->2,1.268659275410755e-07,2.2276482582092285,5.6950611337924784e-08,1.0,sanity_identity_for_same_endpoint_path
distilbert-base-multilingual-cased,fr,-2->-1->0,-2->0,1.6744058939366369e-07,3.687802791595459,4.540389042517745e-08,1.0,sanity_identity_for_same_endpoint_path
distilbert-base-multilingual-cased,fr,-1->0->1,-1->1,1.4393815206403815e-07,2.1486079692840576,6.699135468579698e-08,1.0,sanity_identity_for_same_endpoint_path
distilbert-base-multilingual-cased,fr,0->1->2,0->2,1.4662467151538294e-07,3.6591579914093018,4.0070602835839964e-08,1.0,sanity_identity_for_same_endpoint_path
distilbert-base-multilingual-cased,fr,-2->0->2,-2->2,1.4727156383287365e-07,2.7126452922821045,5.429075500273939e-08,1.0,sanity_identity_for_same_endpoint_path
distilbert-base-multilingual-cased,ru,-2->-1->0,-2->0,1.0637209868491482e-07,2.4482293128967285,4.344858339777602e-08,1.0,sanity_identity_for_same_endpoint_path
distilbert-base-multilingual-cased,ru,-1->0->1,-1->1,1.1415552592097811e-07,2.8203861713409424,4.047513968430394e-08,1.0,sanity_identity_for_same_endpoint_path
distilbert-base-multilingual-cased,ru,0->1->2,0->2,1.0160522379010217e-07,2.4352669715881348,4.1722415744516184e-08,1.0,sanity_identity_for_same_endpoint_path
distilbert-base-multilingual-cased,ru,-2->0->2,-2->2,9.81245165121436e-08,2.180878162384033,4.499312211692086e-08,1.0,sanity_identity_for_same_endpoint_path
distilbert-base-multilingual-cased,zh,-2->-1->0,-2->0,1.1065721849945476e-07,2.3759799003601074,4.6573298106977745e-08,1.0,sanity_identity_for_same_endpoint_path
distilbert-base-multilingual-cased,zh,-1->0->1,-1->1,1.0284361451340374e-07,2.002582550048828,5.135549230317338e-08,1.0,sanity_identity_for_same_endpoint_path
distilbert-base-multilingual-cased,zh,0->1->2,0->2,1.0330802524549654e-07,2.5232343673706055,4.094269812071616e-08,1.0,sanity_identity_for_same_endpoint_path
distilbert-base-multilingual-cased,zh,-2->0->2,-2->2,9.695166625078855e-08,2.2129950523376465,4.381016083243594e-08,1.0,sanity_identity_for_same_endpoint_path
