model,language,from_level,to_level,step_size,mean_delta_norm,centroid_norm,n
distilbert-base-multilingual-cased,ar,-2,-1,1,2.187635898590088,2.096909761428833,160
distilbert-base-multilingual-cased,ar,-1,0,1,2.839296817779541,2.7418105602264404,160
distilbert-base-multilingual-cased,ar,0,1,1,2.704472303390503,2.586345672607422,160
distilbert-base-multilingual-cased,ar,1,2,1,2.140904188156128,2.048023223876953,160
distilbert-base-multilingual-cased,ar,-2,0,2,2.560155153274536,2.436981439590454,160
distilbert-base-multilingual-cased,ar,-1,1,2,1.3211114406585693,1.2652219533920288,160
distilbert-base-multilingual-cased,ar,0,2,2,2.376396894454956,2.2543463706970215,160
distilbert-base-multilingual-cased,ar,-2,2,4,1.9293733835220337,1.843029260635376,160
distilbert-base-multilingual-cased,de,-2,-1,1,2.7701950073242188,2.6313259601593018,160
distilbert-base-multilingual-cased,de,-1,0,1,3.629938840866089,3.4368999004364014,160
distilbert-base-multilingual-cased,de,0,1,1,3.4880881309509277,3.194467544555664,160
distilbert-base-multilingual-cased,de,1,2,1,2.564570903778076,2.4165360927581787,160
distilbert-base-multilingual-cased,de,-2,0,2,3.4430572986602783,3.2045092582702637,160
distilbert-base-multilingual-cased,de,-1,1,2,1.9953025579452515,1.8623936176300049,160
distilbert-base-multilingual-cased,de,0,2,2,3.61332631111145,3.3470566272735596,160
distilbert-base-multilingual-cased,de,-2,2,4,2.374587297439575,2.247342586517334,160
distilbert-base-multilingual-cased,en,-2,-1,1,2.5483546257019043,2.4410698413848877,160
distilbert-base-multilingual-cased,en,-1,0,1,3.626046657562256,3.462059259414673,160
distilbert-base-multilingual-cased,en,0,1,1,4.185642719268799,3.9442670345306396,160
distilbert-base-multilingual-cased,en,1,2,1,2.2610416412353516,2.0738041400909424,160
distilbert-base-multilingual-cased,en,-2,0,2,4.200934410095215,3.971750020980835,160
distilbert-base-multilingual-cased,en,-1,1,2,2.4125914573669434,2.2670962810516357,160
distilbert-base-multilingual-cased,en,0,2,2,4.230080604553223,4.01204252243042,160
distilbert-base-multilingual-cased,en,-2,2,4,2.4573206901550293,2.296535015106201,160
distilbert-base-multilingual-cased,es,-2,-1,1,2.827660322189331,2.6612658500671387,160
distilbert-base-multilingual-cased,es,-1,0,1,3.555450439453125,3.3622384071350098,160
distilbert-base-multilingual-cased,es,0,1,1,3.514366865158081,3.2721593379974365,160
distilbert-base-multilingual-cased,es,1,2,1,2.408783197402954,2.2311160564422607,160
distilbert-base-multilingual-cased,es,-2,0,2,3.217215061187744,2.913801670074463,160
distilbert-base-multilingual-cased,es,-1,1,2,1.6513550281524658,1.5545088052749634,160
distilbert-base-multilingual-cased,es,0,2,2,3.5427451133728027,3.220258951187134,160
distilbert-base-multilingual-cased,es,-2,2,4,2.2276482582092285,2.0894205570220947,160
distilbert-base-multilingual-cased,fr,-2,-1,1,3.856459379196167,3.605412006378174,160
distilbert-base-multilingual-cased,fr,-1,0,1,3.9371132850646973,3.7857258319854736,160
distilbert-base-multilingual-cased,fr,0,1,1,3.795473575592041,3.5799179077148438,160
distilbert-base-multilingual-cased,fr,1,2,1,2.9519474506378174,2.727423667907715,160
distilbert-base-multilingual-cased,fr,-2,0,2,3.687802791595459,3.4608893394470215,160
distilbert-base-multilingual-cased,fr,-1,1,2,2.1486079692840576,2.0282323360443115,160
distilbert-base-multilingual-cased,fr,0,2,2,3.6591579914093018,3.4121663570404053,160
distilbert-base-multilingual-cased,fr,-2,2,4,2.7126452922821045,2.532775640487671,160
distilbert-base-multilingual-cased,ru,-2,-1,1,2.5438482761383057,2.407942533493042,160
distilbert-base-multilingual-cased,ru,-1,0,1,2.660141706466675,2.558025360107422,160
distilbert-base-multilingual-cased,ru,0,1,1,2.705134868621826,2.545940399169922,160
distilbert-base-multilingual-cased,ru,1,2,1,2.212482452392578,2.1068460941314697,160
distilbert-base-multilingual-cased,ru,-2,0,2,2.4482293128967285,2.289918899536133,160
distilbert-base-multilingual-cased,ru,-1,1,2,2.8203861713409424,2.7120707035064697,160
distilbert-base-multilingual-cased,ru,0,2,2,2.4352669715881348,2.29491925239563,160
distilbert-base-multilingual-cased,ru,-2,2,4,2.180878162384033,2.057645082473755,160
distilbert-base-multilingual-cased,zh,-2,-1,1,2.556452989578247,2.424921989440918,160
distilbert-base-multilingual-cased,zh,-1,0,1,2.9387600421905518,2.7981274127960205,160
distilbert-base-multilingual-cased,zh,0,1,1,2.4424076080322266,2.257343053817749,160
distilbert-base-multilingual-cased,zh,1,2,1,2.46818470954895,2.3679428100585938,160
distilbert-base-multilingual-cased,zh,-2,0,2,2.3759799003601074,2.1785778999328613,160
distilbert-base-multilingual-cased,zh,-1,1,2,2.002582550048828,1.895282506942749,160
distilbert-base-multilingual-cased,zh,0,2,2,2.5232343673706055,2.3222849369049072,160
distilbert-base-multilingual-cased,zh,-2,2,4,2.2129950523376465,2.117271900177002,160
