model,language,from_level,to_level,step_size,mean_delta_norm,centroid_norm,n
intfloat/multilingual-e5-large,ar,-2,-1,1,4.393133640289307,3.98288893699646,160
intfloat/multilingual-e5-large,ar,-1,0,1,4.806020259857178,4.482544898986816,160
intfloat/multilingual-e5-large,ar,0,1,1,4.951944351196289,4.628683567047119,160
intfloat/multilingual-e5-large,ar,1,2,1,4.014320373535156,3.769303321838379,160
intfloat/multilingual-e5-large,ar,-2,0,2,5.366917610168457,4.988613128662109,160
intfloat/multilingual-e5-large,ar,-1,1,2,1.9099605083465576,1.5473510026931763,160
intfloat/multilingual-e5-large,ar,0,2,2,5.719605922698975,5.349328517913818,160
intfloat/multilingual-e5-large,ar,-2,2,4,3.991544246673584,3.742950916290283,160
intfloat/multilingual-e5-large,de,-2,-1,1,7.126983642578125,6.67655611038208,160
intfloat/multilingual-e5-large,de,-1,0,1,9.742497444152832,9.11398696899414,160
intfloat/multilingual-e5-large,de,0,1,1,8.457854270935059,7.833892822265625,160
intfloat/multilingual-e5-large,de,1,2,1,4.088503360748291,3.5469508171081543,160
intfloat/multilingual-e5-large,de,-2,0,2,9.221105575561523,8.617049217224121,160
intfloat/multilingual-e5-large,de,-1,1,2,8.783708572387695,8.308353424072266,160
intfloat/multilingual-e5-large,de,0,2,2,9.389323234558105,8.684962272644043,160
intfloat/multilingual-e5-large,de,-2,2,4,9.445178985595703,9.069816589355469,160
intfloat/multilingual-e5-large,en,-2,-1,1,3.7817203998565674,3.488340377807617,160
intfloat/multilingual-e5-large,en,-1,0,1,8.597790718078613,8.239145278930664,160
intfloat/multilingual-e5-large,en,0,1,1,12.357287406921387,11.806981086730957,160
intfloat/multilingual-e5-large,en,1,2,1,4.883264064788818,4.46273946762085,160
intfloat/multilingual-e5-large,en,-2,0,2,9.188562393188477,8.862754821777344,160
intfloat/multilingual-e5-large,en,-1,1,2,11.435625076293945,10.980326652526855,160
intfloat/multilingual-e5-large,en,0,2,2,13.27820873260498,12.731303215026855,160
intfloat/multilingual-e5-large,en,-2,2,4,12.472295761108398,12.007451057434082,160
intfloat/multilingual-e5-large,es,-2,-1,1,6.6649675369262695,6.373481750488281,160
intfloat/multilingual-e5-large,es,-1,0,1,8.157254219055176,7.711727142333984,160
intfloat/multilingual-e5-large,es,0,1,1,10.28453254699707,9.760690689086914,160
intfloat/multilingual-e5-large,es,1,2,1,4.667921543121338,4.324593544006348,160
intfloat/multilingual-e5-large,es,-2,0,2,9.037698745727539,8.542476654052734,160
intfloat/multilingual-e5-large,es,-1,1,2,8.631680488586426,8.303899765014648,160
intfloat/multilingual-e5-large,es,0,2,2,10.780078887939453,10.16727352142334,160
intfloat/multilingual-e5-large,es,-2,2,4,9.296475410461426,8.953445434570312,160
intfloat/multilingual-e5-large,fr,-2,-1,1,6.424127101898193,6.103312015533447,160
intfloat/multilingual-e5-large,fr,-1,0,1,8.029228210449219,7.671200752258301,160
intfloat/multilingual-e5-large,fr,0,1,1,9.67397689819336,9.299654960632324,160
intfloat/multilingual-e5-large,fr,1,2,1,3.5474038124084473,3.2257232666015625,160
intfloat/multilingual-e5-large,fr,-2,0,2,8.04374885559082,7.6800079345703125,160
intfloat/multilingual-e5-large,fr,-1,1,2,8.631827354431152,8.321693420410156,160
intfloat/multilingual-e5-large,fr,0,2,2,9.965948104858398,9.554059982299805,160
intfloat/multilingual-e5-large,fr,-2,2,4,8.818384170532227,8.556315422058105,160
intfloat/multilingual-e5-large,ru,-2,-1,1,5.772441864013672,5.117093563079834,160
intfloat/multilingual-e5-large,ru,-1,0,1,6.611082553863525,5.789134502410889,160
intfloat/multilingual-e5-large,ru,0,1,1,6.510117530822754,5.756095886230469,160
intfloat/multilingual-e5-large,ru,1,2,1,7.229875087738037,6.770257472991943,160
intfloat/multilingual-e5-large,ru,-2,0,2,8.571200370788574,7.680066108703613,160
intfloat/multilingual-e5-large,ru,-1,1,2,7.016071319580078,6.56198787689209,160
intfloat/multilingual-e5-large,ru,0,2,2,7.174017429351807,6.242176532745361,160
intfloat/multilingual-e5-large,ru,-2,2,4,8.91516399383545,8.000435829162598,160
intfloat/multilingual-e5-large,zh,-2,-1,1,4.56456184387207,4.1670074462890625,160
intfloat/multilingual-e5-large,zh,-1,0,1,5.546015739440918,5.197870254516602,160
intfloat/multilingual-e5-large,zh,0,1,1,5.734341621398926,5.3505778312683105,160
intfloat/multilingual-e5-large,zh,1,2,1,3.8812148571014404,3.534381628036499,160
intfloat/multilingual-e5-large,zh,-2,0,2,6.353161811828613,6.008881092071533,160
intfloat/multilingual-e5-large,zh,-1,1,2,3.2561912536621094,2.904364824295044,160
intfloat/multilingual-e5-large,zh,0,2,2,5.942422866821289,5.624362945556641,160
intfloat/multilingual-e5-large,zh,-2,2,4,4.893008232116699,4.578166961669922,160
