method,pair,mean_closure_residual_ratio,std_closure_residual_ratio,mean_random_subspace_null,mean_empirical_p,cells
affine,MT_minus_TM,0.9871102623621514,0.017395021555031833,0.9998779553810371,0.0009990009990009,63
affine,NM_minus_MN,0.9742092119773166,0.045221105613835924,0.9998779793615661,0.006549006549006451,63
affine,NQ_minus_QN,0.9583229905102799,0.05196178754223211,0.9998776982442065,0.0011417154274296142,63
affine,NT_minus_TN,0.9665127778211153,0.05346385169724616,0.9998774939657555,0.0013637156494298364,63
affine,QM_minus_MQ,0.974120401656998,0.03218032563364492,0.9998779380581247,0.011195154052296812,63
affine,QT_minus_TQ,0.9625812026792113,0.04820495368768321,0.9998776630979653,0.0009990009990009,63
linear,MT_minus_TM,0.9845816073240626,0.024240747524713675,0.9998788944566279,0.0009990009990009,63
linear,NM_minus_MN,0.9761691810677101,0.03896435813223893,0.9998774548110683,0.002648145505288265,63
linear,NQ_minus_QN,0.9778120419806818,0.025766984740240154,0.9998772250163122,0.001569858712715757,63
linear,NT_minus_TN,0.9643630227741096,0.05626587717641744,0.9998780668490256,0.0017442874585730744,63
linear,QM_minus_MQ,0.9769763937768536,0.029256516795409776,0.9998773815901711,0.004265575694147025,63
linear,QT_minus_TQ,0.968336776887512,0.04223497915133275,0.9998783222921414,0.0009990009990009,63
