model,heldout_language,method,triple,basis_rank,relative_jacobi_operator_norm,jacobi_coeff_norm,jacobi_coef_N,jacobi_coef_Q,jacobi_coef_M,jacobi_coef_T
bert-base-multilingual-cased,en,linear,NQM,4,0.06621003598131783,0.006913693277108759,0.0036154847792288095,-0.0004315084276651565,-0.005552281870718877,0.0019270160990619892
bert-base-multilingual-cased,en,linear,NQT,4,0.011695257300071983,0.001526781317968691,0.0012958481072511182,-0.00020275104968993547,-8.1344550114427e-05,-0.000777247677287117
bert-base-multilingual-cased,en,linear,NMT,4,0.04617915059306409,0.0025524404061201917,0.0009919744182473496,-7.417059947711566e-05,0.0014352878352326488,-0.0018615548158848892
bert-base-multilingual-cased,en,linear,QMT,4,0.059601452128811225,0.005639821149604487,0.0024214065529301423,-0.00046758597397737744,-0.00448914383575643,0.0023607888265964657
bert-base-multilingual-cased,en,affine,NQM,4,0.07664024305049871,0.008315928330251528,0.0039007602425497876,-0.000559182448163437,-0.006749117804230227,0.0028417349240052914
bert-base-multilingual-cased,en,affine,NQT,4,0.03473872956067379,0.0049285732731272226,0.0031523335329710815,0.00022160579808879442,0.0003149301721334809,-0.003768996904008207
bert-base-multilingual-cased,en,affine,NMT,4,0.0379832022573821,0.0022539638243541703,0.0007171035840328253,0.00043585966394181193,0.0010961642224782795,-0.0017817311025998487
bert-base-multilingual-cased,en,affine,QMT,4,0.07396978957876879,0.0074037979317596895,0.0010867534649359983,-0.001091888875573174,-0.005198345113649248,0.005041842667475573
bert-base-multilingual-cased,es,linear,NQM,4,0.08422593606597603,0.009260908128270474,0.006096988580926903,-0.0013483643049134368,-0.006671993108393863,0.0015025216361481083
bert-base-multilingual-cased,es,linear,NQT,4,0.009975242194398758,0.0012700224942604867,0.0006774788951305014,0.0001847660149512289,0.00029149752558245174,-0.0010172856997317584
bert-base-multilingual-cased,es,linear,NMT,4,0.061630151355692525,0.0021446670379449135,-0.0008264473015959154,0.001163930340222944,0.0008515276441644909,-0.0013552669093814741
bert-base-multilingual-cased,es,linear,QMT,4,0.08344072019502344,0.008299062007086081,0.004219487062696379,-0.0005877261917762409,-0.006619743440413177,0.0026275337927045665
bert-base-multilingual-cased,es,affine,NQM,4,0.0942906641028513,0.011332827119989489,0.007032204041422774,-0.0014208925090486643,-0.008460284794388706,0.0023207159513674
bert-base-multilingual-cased,es,affine,NQT,4,0.038826749665604156,0.005505150833534291,0.003029653794576922,0.00043835462029736226,0.0012577719217820383,-0.004399288420257262
bert-base-multilingual-cased,es,affine,NMT,4,0.05793552594272832,0.002112126201304139,-0.0008372114218085733,0.0013658947606806791,0.0005423708581301992,-0.0012650373434902626
bert-base-multilingual-cased,es,affine,QMT,4,0.0980997226840365,0.010515425682153133,0.0028314999696026416,-0.0010006482903451193,-0.008166810363017965,0.005904125396073299
bert-base-multilingual-cased,fr,linear,NQM,4,0.06332304468330327,0.007032714372149364,0.00529974019023472,-0.0008063806369504036,-0.004542222749085539,-0.000299646662401472
bert-base-multilingual-cased,fr,linear,NQT,4,0.015699895897936342,0.0018369217785078906,0.0016090419349318909,-0.00032137633871908225,1.0511915234517454e-05,-0.0008257556663667821
bert-base-multilingual-cased,fr,linear,NMT,4,0.027734143843709824,0.0008836607382348065,-0.00032091953519912896,0.0005511692212126261,0.00042269965637982805,-0.00044204574685150025
bert-base-multilingual-cased,fr,linear,QMT,4,0.06138226327663293,0.005535347731755341,0.003355731110252871,-0.0004055643970016197,-0.004218563990725563,0.001190957011469497
bert-base-multilingual-cased,fr,affine,NQM,4,0.07802626315595974,0.009053143485063465,0.0062177385012420015,-0.0008715255843738667,-0.006507398388114003,0.00043970929655057396
bert-base-multilingual-cased,fr,affine,NQT,4,0.03571438152519833,0.005127719418347545,0.003699714244198891,-0.00024447843912827477,0.0003433411824842616,-0.0035253323346575464
bert-base-multilingual-cased,fr,affine,NMT,4,0.029144430152142353,0.0010511972133215846,-0.0001746401431157336,0.0007747840959657385,0.00027454138838019725,-0.0006315481235918668
bert-base-multilingual-cased,fr,affine,QMT,4,0.07687650270432715,0.007388510123544841,0.0021813473267209226,-0.000678458748581693,-0.005814173992776265,0.003945488587504614
bert-base-multilingual-cased,de,linear,NQM,4,0.07365394580088323,0.008078843457510605,0.005084362361267727,-0.0005095652685343016,-0.006148576372190904,0.0011628941580063392
bert-base-multilingual-cased,de,linear,NQT,4,0.023103068914972765,0.0030555999608536505,0.0017684613799054342,0.00020427589560760573,0.0006793131742458151,-0.002388731972893063
bert-base-multilingual-cased,de,linear,NMT,4,0.034877675607604776,0.0014712919467308099,0.0005202591876207333,-0.00020468466557600892,0.0009420649503948605,-0.0009821650508579083
bert-base-multilingual-cased,de,linear,QMT,4,0.08007868601438362,0.007693332057799934,0.002901076545066481,-0.0007886074158456342,-0.006001819259437859,0.0037586403062745133
bert-base-multilingual-cased,de,affine,NQM,4,0.08503883391956558,0.009672082671323697,0.005654705015447456,-0.000757785024533544,-0.007536342113412493,0.0020500740950979185
bert-base-multilingual-cased,de,affine,NQT,4,0.04894751935244771,0.006630958642075649,0.0038195821451338366,0.00022703829244193237,0.0015143413178539526,-0.005199579669194226
bert-base-multilingual-cased,de,affine,NMT,4,0.02625987653698127,0.0012070622172843603,0.00028836244096584946,0.00035826058630030627,0.0005429662244665239,-0.0009750299125811383
bert-base-multilingual-cased,de,affine,QMT,4,0.09633798481490316,0.009979416195209046,0.0012114780496569402,-0.0010779932290719187,-0.0071977308802460204,0.0067194991856557255
bert-base-multilingual-cased,ru,linear,NQM,4,0.08837417060337513,0.009855159028312577,0.007073255018798328,-0.0018100202229958473,-0.0064831760675327955,0.0013362177150791049
bert-base-multilingual-cased,ru,linear,NQT,4,0.007856389202832152,0.0008788252003685928,0.0003182110881780383,-8.984654200823797e-06,0.0005951118614634116,-0.0005628823895787562
bert-base-multilingual-cased,ru,linear,NMT,4,0.05488202772635681,0.0020314791332259993,-0.0011477680764232184,0.0009603922758131365,0.0010358079056428605,-0.0009023771775940576
bert-base-multilingual-cased,ru,linear,QMT,4,0.08163135049143479,0.007885357856982085,0.00437532544134374,-0.0011565808013907723,-0.0057711447979442426,0.0028968266061355297
bert-base-multilingual-cased,ru,affine,NQM,4,0.10784145983174401,0.013215982006899886,0.00917794902866685,-0.002062741346586478,-0.009116308549134042,0.0017508422567333016
bert-base-multilingual-cased,ru,affine,NQT,4,0.03707815906221829,0.005079536753805056,0.0023765480526282343,0.00027674747159662713,0.0019002326286002506,-0.004057861478780813
bert-base-multilingual-cased,ru,affine,NMT,4,0.06808970310735932,0.002624812287501151,-0.0015840729329021986,0.0017442367956721763,0.0006633135509033235,-0.0009476315854143613
bert-base-multilingual-cased,ru,affine,QMT,4,0.10295359915742003,0.010773585044148198,0.0034785769152599565,-0.001845666397470986,-0.007875463656998132,0.00620807740646509
bert-base-multilingual-cased,zh,linear,NQM,4,0.06702722540557768,0.00714768811667333,0.004840368765676593,-0.0008251429046828547,-0.005094175745276599,0.0010142920134668975
bert-base-multilingual-cased,zh,linear,NQT,4,0.00834797379143975,0.0008630850301195032,0.0004169317197104602,-0.0003952671292190464,0.000508156281956591,-0.0003957585122049169
bert-base-multilingual-cased,zh,linear,NMT,4,0.042719748236045414,0.0016177794782776171,0.0002238133803223978,0.0007815315836894232,0.0005982395604569903,-0.0012642926176819154
bert-base-multilingual-cased,zh,linear,QMT,4,0.0722486159131678,0.006768162299234347,0.003922178515715141,-0.0003936480948715515,-0.0051571509475710296,0.0019166042577984013
bert-base-multilingual-cased,zh,affine,NQM,4,0.07974718145680325,0.009168276124212582,0.0058782718685049095,-0.0007330880163828688,-0.006883451377562401,0.0012585253365429005
bert-base-multilingual-cased,zh,affine,NQT,4,0.036294166828851636,0.0046934137655523615,0.0026961079398200964,-0.00018377017007836956,0.0011399535261534944,-0.003664132807952656
bert-base-multilingual-cased,zh,affine,NMT,4,0.04554701060615654,0.0018421797984676377,0.00013721159934224184,0.001302189335076641,0.00022322852215652907,-0.0012764291399825836
bert-base-multilingual-cased,zh,affine,QMT,4,0.08490604157212522,0.00837307542051262,0.0026470010913356235,-0.0008774216571111777,-0.006448979668285372,0.0045544011344780325
bert-base-multilingual-cased,ar,linear,NQM,4,0.059503104380896815,0.006600753799854631,0.0044625475310913635,-0.0015440988617388737,-0.004420428090639432,0.0013157486308973587
bert-base-multilingual-cased,ar,linear,NQT,4,0.030805518414078692,0.0036041130768741728,0.001967438913147516,6.802019859800633e-05,0.0010790753526711524,-0.0028195362792077447
bert-base-multilingual-cased,ar,linear,NMT,4,0.031419616621643394,0.0010093314730643752,-0.00011572780065654701,0.0008020220525757522,0.0002119910081011547,-0.0005631851723367135
bert-base-multilingual-cased,ar,linear,QMT,4,0.06784739624092186,0.0069554807059992035,0.0016186973071595557,-0.0014229971299612489,-0.004791919801283387,0.004557533835915189
bert-base-multilingual-cased,ar,affine,NQM,4,0.06556413741878354,0.0074509049759765205,0.00491964990623853,-0.0015293874526916326,-0.005197622974995075,0.0013995424932568643
bert-base-multilingual-cased,ar,affine,NQT,4,0.0537214479379146,0.0062351078155756245,0.0035366254585147794,0.0005305242118409399,0.001135431797009344,-0.0049797779602134915
bert-base-multilingual-cased,ar,affine,NMT,4,0.03600529626321504,0.0013082301035640296,-4.630586160132605e-05,0.0011329427704247328,-0.00020856261807688668,-0.0006182750879145599
bert-base-multilingual-cased,ar,affine,QMT,4,0.07894831072951897,0.00810808579490727,0.0002662265091644268,-0.0017718314335947415,-0.004909491237691103,0.006199007006074042
