model,heldout_language,method,operator,target_cosine,mse,n_test
BAAI/bge-m3,en,additive,N,0.8594987988471985,0.3837282061576843,160
BAAI/bge-m3,en,linear,N,0.915818661633919,0.2372056006585075,160
BAAI/bge-m3,en,affine,N,0.9156762957572936,0.2376151084899902,160
BAAI/bge-m3,en,additive,Q,0.9442617297172546,0.1458320170640945,160
BAAI/bge-m3,en,linear,Q,0.8581835325694754,0.3801220923786245,160
BAAI/bge-m3,en,affine,Q,0.8582272529602051,0.3799377381801605,160
BAAI/bge-m3,en,additive,M,0.98228657245636,0.0480895303189754,160
BAAI/bge-m3,en,linear,M,0.9593365941935608,0.1068712110638769,160
BAAI/bge-m3,en,affine,M,0.9593670964241028,0.1068993657827377,160
BAAI/bge-m3,en,additive,T,0.9453514218330384,0.1524547636508941,160
BAAI/bge-m3,en,linear,T,0.932473443468188,0.1885319339784481,160
BAAI/bge-m3,en,affine,T,0.9328309297561646,0.1875490248203277,160
BAAI/bge-m3,es,additive,N,0.8618721961975098,0.3939732909202575,160
BAAI/bge-m3,es,linear,N,0.8639794031226737,0.3781460814097117,160
BAAI/bge-m3,es,affine,N,0.8734201192855835,0.3592697381973266,160
BAAI/bge-m3,es,additive,Q,0.9469982981681824,0.1533045321702957,160
BAAI/bge-m3,es,linear,Q,0.8852172487775307,0.3364789287363802,160
BAAI/bge-m3,es,affine,Q,0.8865140080451965,0.3363754749298095,160
BAAI/bge-m3,es,additive,M,0.9544795155525208,0.1277608871459961,160
BAAI/bge-m3,es,linear,M,0.9102445173998208,0.2343624329062888,160
BAAI/bge-m3,es,affine,M,0.908255398273468,0.2406156361103058,160
BAAI/bge-m3,es,additive,T,0.9254791140556335,0.2248622924089431,160
BAAI/bge-m3,es,linear,T,0.8791303395663441,0.3339300876401569,160
BAAI/bge-m3,es,affine,T,0.8841465711593628,0.3269948363304138,160
BAAI/bge-m3,fr,additive,N,0.8930782079696655,0.2849233150482178,160
BAAI/bge-m3,fr,linear,N,0.8905524361917543,0.2911092617436316,160
BAAI/bge-m3,fr,affine,N,0.8917570114135742,0.2875239253044128,160
BAAI/bge-m3,fr,additive,Q,0.9153528213500975,0.2388777732849121,160
BAAI/bge-m3,fr,linear,Q,0.9026316149573856,0.2771373386423869,160
BAAI/bge-m3,fr,affine,Q,0.903445601463318,0.2751001715660095,160
BAAI/bge-m3,fr,additive,M,0.956037163734436,0.1127687916159629,160
BAAI/bge-m3,fr,linear,M,0.9306813940663148,0.1729176783305123,160
BAAI/bge-m3,fr,affine,M,0.9302839040756226,0.1738473773002624,160
BAAI/bge-m3,fr,additive,T,0.9529949426651,0.1234264597296714,160
BAAI/bge-m3,fr,linear,T,0.9236330271735074,0.1983542702643554,160
BAAI/bge-m3,fr,affine,T,0.925129532814026,0.1944459378719329,160
BAAI/bge-m3,de,additive,N,0.8885700106620789,0.3138696849346161,160
BAAI/bge-m3,de,linear,N,0.8603976481071125,0.3689244218832065,160
BAAI/bge-m3,de,affine,N,0.865648090839386,0.359163373708725,160
BAAI/bge-m3,de,additive,Q,0.918076992034912,0.2228874415159225,160
BAAI/bge-m3,de,linear,Q,0.9053198753247728,0.2558806093018505,160
BAAI/bge-m3,de,affine,Q,0.9061562418937684,0.2536532878875732,160
BAAI/bge-m3,de,additive,M,0.9618545770645142,0.1009022444486618,160
BAAI/bge-m3,de,linear,M,0.9301419295231046,0.1745276550126445,160
BAAI/bge-m3,de,affine,M,0.9299413561820984,0.1758379787206649,160
BAAI/bge-m3,de,additive,T,0.9246416091918944,0.21071657538414,160
BAAI/bge-m3,de,linear,T,0.8907549085232447,0.2979369343953201,160
BAAI/bge-m3,de,affine,T,0.8958247900009155,0.2858545780181885,160
BAAI/bge-m3,ru,additive,N,0.7809357643127441,0.7109681963920593,160
BAAI/bge-m3,ru,linear,N,0.6177013808526091,1.0324980423757677,160
BAAI/bge-m3,ru,affine,N,0.6035255193710327,1.1128907203674316,160
BAAI/bge-m3,ru,additive,Q,0.8412039875984192,0.5216783285140991,160
BAAI/bge-m3,ru,linear,Q,0.6628289755060301,1.0505356689828207,160
BAAI/bge-m3,ru,affine,Q,0.6569435000419617,1.0939207077026367,160
BAAI/bge-m3,ru,additive,M,0.935832142829895,0.1877458840608596,160
BAAI/bge-m3,ru,linear,M,0.8020325303872882,0.528903446335219,160
BAAI/bge-m3,ru,affine,M,0.7991294860839844,0.5396308898925781,160
BAAI/bge-m3,ru,additive,T,0.9027081727981568,0.2873455286026001,160
BAAI/bge-m3,ru,linear,T,0.7009313496431769,0.7831880904823755,160
BAAI/bge-m3,ru,affine,T,0.7312008738517761,0.7110397815704346,160
BAAI/bge-m3,zh,additive,N,0.9028300046920776,0.2735157907009125,160
BAAI/bge-m3,zh,linear,N,0.8513929996042118,0.4062927762328662,160
BAAI/bge-m3,zh,affine,N,0.8561805486679077,0.3999110460281372,160
BAAI/bge-m3,zh,additive,Q,0.9333924055099488,0.1895794123411178,160
BAAI/bge-m3,zh,linear,Q,0.8964147858958198,0.2873404304342443,160
BAAI/bge-m3,zh,affine,Q,0.8896535038948059,0.3084378838539123,160
BAAI/bge-m3,zh,additive,M,0.9775152206420898,0.0602398738265037,160
BAAI/bge-m3,zh,linear,M,0.9417517935027158,0.1519307141680552,160
BAAI/bge-m3,zh,affine,M,0.9430853128433228,0.1484615504741668,160
BAAI/bge-m3,zh,additive,T,0.9541274309158324,0.1256109774112701,160
BAAI/bge-m3,zh,linear,T,0.9131154671921944,0.2305573911762402,160
BAAI/bge-m3,zh,affine,T,0.912165343761444,0.2358182221651077,160
BAAI/bge-m3,ar,additive,N,0.7329573631286621,0.9800283312797546,160
BAAI/bge-m3,ar,linear,N,0.4643353401919471,1.607702438484699,160
BAAI/bge-m3,ar,affine,N,0.3159655928611755,2.3775947093963623,160
BAAI/bge-m3,ar,additive,Q,0.7821540236473083,0.7636414766311646,160
BAAI/bge-m3,ar,linear,Q,0.529202719523142,1.452398878566759,160
BAAI/bge-m3,ar,affine,Q,0.5004156231880188,1.6178810596466064,160
BAAI/bge-m3,ar,additive,M,0.9402869939804076,0.1939722001552581,160
BAAI/bge-m3,ar,linear,M,0.7077462136665782,0.8106338278274077,160
BAAI/bge-m3,ar,affine,M,0.5921667814254761,1.169963240623474,160
BAAI/bge-m3,ar,additive,T,0.8160204887390137,0.6108875870704651,160
BAAI/bge-m3,ar,linear,T,0.5690758118751156,1.2365744010354305,160
BAAI/bge-m3,ar,affine,T,0.4899440407752991,1.540024757385254,160
bert-base-multilingual-cased,en,additive,N,0.8850167989730835,0.1126895993947982,160
