method,pair,mean_closure_residual_ratio,std_closure_residual_ratio,mean_random_subspace_null,mean_empirical_p,cells
affine,MT_minus_TM,0.9849814812825272,0.019176581653562348,0.9998778757923672,0.0049751243781094,49
affine,NM_minus_MN,0.9686317796010323,0.04996373096723154,0.9998772347465179,0.012488577520560411,49
affine,NQ_minus_QN,0.9496343406024697,0.05592465399906389,0.9998789632417757,0.005076657528683063,49
affine,NT_minus_TN,0.9594163215122374,0.0587815242214625,0.9998772933359819,0.005584323281551375,49
affine,QM_minus_MQ,0.9693323481659689,0.035049260231554955,0.9998788665714982,0.01786983450096451,49
affine,QT_minus_TQ,0.9554754163361311,0.052596983681042334,0.9998787805031119,0.0049751243781094,49
linear,MT_minus_TM,0.9813301624227344,0.026632238942385186,0.9998775042815651,0.0049751243781094,49
linear,NM_minus_MN,0.9711323869292103,0.0429158412169718,0.9998790458299297,0.006599654787287998,49
linear,NQ_minus_QN,0.9741389120353068,0.02804636296966011,0.9998781290830806,0.005787389582698698,49
linear,NT_minus_TN,0.9567735226949106,0.061770358755391414,0.999876830072336,0.0059904558838460254,49
linear,QM_minus_MQ,0.9726220540822726,0.031865878878843526,0.9998774296185166,0.009036450401055891,49
linear,QT_minus_TQ,0.9624073262263138,0.046257660057707525,0.999878463090288,0.0049751243781094,49
