model,heldout_language,method,triple,basis_rank,relative_jacobi_operator_norm,jacobi_coeff_norm,jacobi_coef_N,jacobi_coef_Q,jacobi_coef_M,jacobi_coef_T
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,linear,NQM,4,0.11729786470140492,0.03902763956051947,-0.012652146535922067,0.02745924167857669,0.008801282613876558,-0.023056610949737828
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,linear,NQT,4,0.13561206633882816,0.05057786967100695,-0.01623547342130871,0.0354531925671215,0.011542147373687108,-0.03007291595515859
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,linear,NMT,4,0.054020579081982434,0.014135695326020428,-0.007777992204115909,0.004031034273254186,0.009538156398665978,-0.005665249758415357
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,linear,QMT,4,0.05033379779424968,0.01169890926301653,0.0016873686643255129,0.002783180554094121,0.00516144865365371,-0.009981513849810306
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,affine,NQM,4,0.06582353097376104,0.031062889957239173,0.003989287700784147,0.011264153593132695,0.011241570674701669,-0.02637678238019046
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,affine,NQT,4,0.04612350368688492,0.024131168757340497,-0.0017760484070745292,0.014275405527318916,0.006025403816068916,-0.018413752022194415
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,affine,NMT,4,0.05325068686086154,0.02060757511377561,-0.004108279631384215,0.001749052219156999,-0.013156477360930827,0.015219793373309441
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,en,affine,QMT,4,0.05068838802844065,0.010721004450851505,-0.000579619001612,0.0020890627699686262,-0.008259590497811112,0.006482203313669471
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,es,linear,NQM,4,0.13460829245744224,0.0454380723236585,-0.017011106621373187,0.033425560144334454,0.008462935270278726,-0.024214692309728957
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,es,linear,NQT,4,0.1572882440940567,0.06139528030849654,-0.01772349432666825,0.036569170089675654,0.02210757646965163,-0.04036346187583887
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,es,linear,NMT,4,0.09025218936618798,0.037349602357173155,-0.0018553318059225318,0.005786190630305919,0.02375447679925342,-0.028174374351746977
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,es,linear,QMT,4,0.06376591092485728,0.020402513330460188,0.0036573516241892104,-0.006402639695135395,0.014414692064385459,-0.012414072132860578
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,es,affine,NQM,4,0.11183194717644834,0.056291590845817134,0.004752709199193572,0.024294292518212385,0.018015329907890187,-0.04723759302261485
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,es,affine,NQT,4,0.13148991346322764,0.06787792516479643,0.0006638703967631887,0.03733896521053335,0.01602042174246647,-0.0543702102715641
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,es,affine,NMT,4,0.039421775562179795,0.015154201465060099,-0.003909078836692975,0.008710104355552136,-0.010538336762383707,0.005238937400860268
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,es,affine,QMT,4,0.047714793958570874,0.01775811938672283,-0.0011650028800650938,0.0011964440473807986,-0.012775138021473776,0.012221208721575921
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,fr,linear,NQM,4,0.11267943444590191,0.037809526871778416,-0.007750736715754446,0.02944364746058236,0.0010825149654016542,-0.02239165443189524
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,fr,linear,NQT,4,0.14069165775272713,0.056444554912036364,-0.009898882643929609,0.04442980619281259,-0.0004762376410541308,-0.03337312423190182
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,fr,linear,NMT,4,0.04883959198286351,0.014359752857889221,-0.006833840832026969,0.007477151856231153,0.006993225059208415,-0.0073951419872979535
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,fr,linear,QMT,4,0.0828529396688261,0.021666228113723145,0.0035175366918641995,-0.0035378828072526944,0.014678651966553921,-0.015135155697388936
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,fr,affine,NQM,4,0.1045433960896723,0.044445066038320914,0.0063888086747618394,0.02147327310221308,0.00946164983425098,-0.03720111212799673
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,fr,affine,NQT,4,0.12615566626864605,0.057999602084676964,0.0021932899626211227,0.040162541055492225,-0.0004482768539829686,-0.04178411976994148
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,fr,affine,NMT,4,0.05361839586021995,0.019551697138543742,-0.004660723729983801,0.008749964168712113,-0.013905973803816717,0.00951885155488428
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,fr,affine,QMT,4,0.046349227138182396,0.012412253303628148,-0.0008997983417131077,0.0015756239965549132,-0.00922215741444603,0.008107010340584048
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,de,linear,NQM,4,0.1119539821617982,0.038555796455031655,-0.013271054076246208,0.03333706465150928,-0.00771382316349173,-0.01181378925707792
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,de,linear,NQT,4,0.13132902562719165,0.05021979298267061,-0.01588106676875832,0.04077329134076092,0.0005783048801746501,-0.02463784897704199
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,de,linear,NMT,4,0.050479236369601416,0.01985481957978155,-0.004179985560499755,0.006896787463511404,0.011389953329650003,-0.014122495073153224
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,de,linear,QMT,4,0.016431976752331275,0.0015616622657072278,-0.00027885366502580604,-0.0010863665489112134,-0.00034955706128229555,0.0010289058498958656
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,de,affine,NQM,4,0.05471137150458545,0.024442733829914975,0.0022070282148005937,0.015345481945470876,0.001548206887027382,-0.018833361432185503
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,de,affine,NQT,4,0.08192174595975513,0.03870238532204511,-0.0013359461673087825,0.03003306571827416,-0.00438866889774912,-0.02397591346167776
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,de,affine,NMT,4,0.049180695882444544,0.021420731442339518,-0.003993050379930141,0.007858871892837592,-0.015749590284899577,0.011536542923161024
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,de,affine,QMT,4,0.08150581340327964,0.023310776358418113,-0.002009994894358497,0.0007246056323759603,-0.016003319824523396,0.01681430689110863
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ru,linear,NQM,4,0.11044463668554641,0.03707039845672141,-0.010422841815300204,0.029856696208693988,0.0004130753809046088,-0.019338714291926726
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,ru,linear,NQT,4,0.14233855060802386,0.06015581073858865,-0.0153915615435024,0.049130515388034146,-0.0017590899985103318,-0.031063152752944398
