method,operator,mean_target_cosine,std_target_cosine,mean_mse,cells
additive,M,0.9399526167889031,0.030539343522908338,0.07967741681947083,49
additive,N,0.8586094938978857,0.08359228968533172,0.18361069425009188,49
additive,Q,0.8639651451792035,0.07239045099603146,0.17354700918670513,49
additive,T,0.9154882491851339,0.03524588770573465,0.11725179853906129,49
affine,M,0.7368664206290731,0.18495776359209176,0.2110370210923102,49
affine,N,0.6700093064989362,0.1919928697546615,0.319191126380952,49
affine,Q,0.6573741113652989,0.20998324737446827,0.314462760824482,49
affine,T,0.7068457001326035,0.19124854373796218,0.2601743270548022,49
linear,M,0.7891711615984855,0.11746141360043426,0.19014543492500294,49
linear,N,0.7180633025177375,0.13970714117723884,0.28581088964059603,49
linear,Q,0.6826373226113829,0.18086178180300136,0.2993063301110968,49
linear,T,0.7515274873030637,0.1346242427316488,0.24472764763051727,49
