model,heldout_language,method,operator,target_cosine,mse,n_test
xlm-roberta-base,en,additive,N,0.9194687008857727,0.001936247805133462,160
xlm-roberta-base,en,linear,N,0.5947573584840542,0.007373308736643694,160
xlm-roberta-base,en,affine,N,0.5478149652481079,0.007928092032670975,160
xlm-roberta-base,en,additive,Q,0.9180036783218384,0.0026289508678019047,160
xlm-roberta-base,en,linear,Q,0.6483885706574902,0.007614146237765756,160
xlm-roberta-base,en,affine,Q,0.5988322496414185,0.008416419848799706,160
xlm-roberta-base,en,additive,M,0.9278427362442017,0.001632333965972066,160
xlm-roberta-base,en,linear,M,0.6164432870988241,0.006962010221314587,160
xlm-roberta-base,en,affine,M,0.5160840153694153,0.008153140544891357,160
xlm-roberta-base,en,additive,T,0.8901964426040649,0.0026886663399636745,160
xlm-roberta-base,en,linear,T,0.5710808793732729,0.007789536288069285,160
xlm-roberta-base,en,affine,T,0.5017707347869873,0.008709611371159554,160
xlm-roberta-base,es,additive,N,0.881801962852478,0.0030688620172441006,160
xlm-roberta-base,es,linear,N,0.5281857788436647,0.008057367608610238,160
xlm-roberta-base,es,affine,N,0.4279037415981293,0.009050109423696995,160
xlm-roberta-base,es,additive,Q,0.8614660501480103,0.0045833224430680275,160
xlm-roberta-base,es,linear,Q,0.48407889830181505,0.013379112694815926,160
xlm-roberta-base,es,affine,Q,0.5694938898086548,0.011803308501839638,160
xlm-roberta-base,es,additive,M,0.9105483889579773,0.0022220532409846783,160
xlm-roberta-base,es,linear,M,0.5652610182671427,0.006927237727482995,160
xlm-roberta-base,es,affine,M,0.43510669469833374,0.00822264514863491,160
xlm-roberta-base,es,additive,T,0.8974241018295288,0.0027568668592721224,160
xlm-roberta-base,es,linear,T,0.5759203506392687,0.007553634848188695,160
xlm-roberta-base,es,affine,T,0.44844478368759155,0.008923477493226528,160
xlm-roberta-base,fr,additive,N,0.8186534643173218,0.0043007852509617805,160
xlm-roberta-base,fr,linear,N,0.4484796565891177,0.009849632599252747,160
xlm-roberta-base,fr,affine,N,0.36699575185775757,0.010546122677624226,160
xlm-roberta-base,fr,additive,Q,0.7390269041061401,0.005827874410897493,160
xlm-roberta-base,fr,linear,Q,0.39186089497466214,0.008504718575136244,160
xlm-roberta-base,fr,affine,Q,0.3031681776046753,0.010214980691671371,160
xlm-roberta-base,fr,additive,M,0.9187997579574585,0.0018025912577286363,160
xlm-roberta-base,fr,linear,M,0.519723355225721,0.007973635809056724,160
xlm-roberta-base,fr,affine,M,0.3753131330013275,0.009192210622131824,160
xlm-roberta-base,fr,additive,T,0.8932842016220093,0.002601098734885454,160
xlm-roberta-base,fr,linear,T,0.5081165437111028,0.009140567132488406,160
xlm-roberta-base,fr,affine,T,0.3697179853916168,0.010459160432219505,160
xlm-roberta-base,de,additive,N,0.9161275625228882,0.0027861990965902805,160
xlm-roberta-base,de,linear,N,0.5969324226428355,0.011796159345744212,160
xlm-roberta-base,de,affine,N,0.4518258571624756,0.013402247801423073,160
xlm-roberta-base,de,additive,Q,0.8952599763870239,0.0027095810510218143,160
xlm-roberta-base,de,linear,Q,0.3466423724389281,0.011202020255126958,160
xlm-roberta-base,de,affine,Q,0.2611778974533081,0.011674506589770317,160
xlm-roberta-base,de,additive,M,0.9499317407608032,0.0015608908142894506,160
xlm-roberta-base,de,linear,M,0.5690486761485763,0.009489246537071453,160
xlm-roberta-base,de,affine,M,0.38252583146095276,0.011550985276699066,160
xlm-roberta-base,de,additive,T,0.9237327575683594,0.002306676469743252,160
xlm-roberta-base,de,linear,T,0.5793199681581903,0.00963120316636031,160
xlm-roberta-base,de,affine,T,0.3940742611885071,0.011852480471134186,160
xlm-roberta-base,ru,additive,N,0.9228858947753906,0.0025674584321677685,160
xlm-roberta-base,ru,linear,N,0.7295257002112316,0.00789887770361786,160
xlm-roberta-base,ru,affine,N,0.5903854370117188,0.010785114951431751,160
xlm-roberta-base,ru,additive,Q,0.9020442962646484,0.004917842801660299,160
xlm-roberta-base,ru,linear,Q,0.6913039696175801,0.013376263790556115,160
xlm-roberta-base,ru,affine,Q,0.6377180814743042,0.013393493369221687,160
xlm-roberta-base,ru,additive,M,0.8516925573348999,0.005369595251977444,160
xlm-roberta-base,ru,linear,M,0.6529269984265976,0.009237939013207127,160
xlm-roberta-base,ru,affine,M,0.560775637626648,0.010877503082156181,160
xlm-roberta-base,ru,additive,T,0.9248434901237488,0.0027797338552773,160
xlm-roberta-base,ru,linear,T,0.7330766279953563,0.007902009302443825,160
xlm-roberta-base,ru,affine,T,0.634731113910675,0.009812546893954277,160
xlm-roberta-base,zh,additive,N,0.9349123239517212,0.0027273879386484623,160
xlm-roberta-base,zh,linear,N,0.6832098466341128,0.011901951357524887,160
xlm-roberta-base,zh,affine,N,0.5478910207748413,0.01478680968284607,160
xlm-roberta-base,zh,additive,Q,0.9100536108016968,0.003950339742004871,160
xlm-roberta-base,zh,linear,Q,0.607753911311517,0.013285851263401607,160
xlm-roberta-base,zh,affine,Q,0.4927406311035156,0.015364617109298706,160
xlm-roberta-base,zh,additive,M,0.9552475214004517,0.0017537083476781845,160
xlm-roberta-base,zh,linear,M,0.6417785836163704,0.010572095890274691,160
xlm-roberta-base,zh,affine,M,0.5401705503463745,0.012620136141777039,160
xlm-roberta-base,zh,additive,T,0.9374076724052429,0.0025937259197235107,160
xlm-roberta-base,zh,linear,T,0.6551962423509484,0.012227200897017888,160
xlm-roberta-base,zh,affine,T,0.5361817479133606,0.014564640820026398,160
xlm-roberta-base,ar,additive,N,0.9059696197509766,0.005260790232568979,160
xlm-roberta-base,ar,linear,N,0.656494801130027,0.016191443075971482,160
xlm-roberta-base,ar,affine,N,0.22701898217201233,0.026804178953170776,160
xlm-roberta-base,ar,additive,Q,0.9180006980895996,0.004625683184713125,160
xlm-roberta-base,ar,linear,Q,0.5186465900934609,0.021836319796962933,160
xlm-roberta-base,ar,affine,Q,0.1332131028175354,0.03026590868830681,160
xlm-roberta-base,ar,additive,M,0.9652576446533203,0.00210406631231308,160
xlm-roberta-base,ar,linear,M,0.6849536640297327,0.017241596773302177,160
xlm-roberta-base,ar,affine,M,0.20139122009277344,0.028958987444639206,160
xlm-roberta-base,ar,additive,T,0.9149891138076782,0.004727443214505911,160
xlm-roberta-base,ar,linear,T,0.7013967607904108,0.014998110463158743,160
xlm-roberta-base,ar,affine,T,0.2091575562953949,0.027453625574707985,160
