model,ridge_alpha,heldout_language,method,operator,target_cosine,mse,n_test
BAAI/bge-m3,10.0,en,linear,N,0.915818661633919,0.2372056006585075,160
BAAI/bge-m3,10.0,en,affine,N,0.9156762957572937,0.23761510848999023,160
BAAI/bge-m3,10.0,en,linear,Q,0.8581835325694754,0.38012209237862454,160
BAAI/bge-m3,10.0,en,affine,Q,0.8582272529602051,0.3799377381801605,160
BAAI/bge-m3,10.0,en,linear,M,0.9593365941935609,0.10687121106387698,160
BAAI/bge-m3,10.0,en,affine,M,0.9593670964241028,0.10689936578273773,160
BAAI/bge-m3,10.0,en,linear,T,0.932473443468188,0.18853193397844814,160
BAAI/bge-m3,10.0,en,affine,T,0.9328309297561646,0.18754902482032776,160
BAAI/bge-m3,10.0,es,linear,N,0.8639794031226737,0.3781460814097117,160
BAAI/bge-m3,10.0,es,affine,N,0.8734201192855835,0.35926973819732666,160
BAAI/bge-m3,10.0,es,linear,Q,0.8852172487775307,0.3364789287363802,160
BAAI/bge-m3,10.0,es,affine,Q,0.8865140080451965,0.33637547492980957,160
BAAI/bge-m3,10.0,es,linear,M,0.9102445173998207,0.23436243290628883,160
BAAI/bge-m3,10.0,es,affine,M,0.908255398273468,0.2406156361103058,160
BAAI/bge-m3,10.0,es,linear,T,0.8791303395663441,0.33393008764015697,160
BAAI/bge-m3,10.0,es,affine,T,0.8841465711593628,0.3269948363304138,160
BAAI/bge-m3,10.0,fr,linear,N,0.8905524361917543,0.2911092617436316,160
BAAI/bge-m3,10.0,fr,affine,N,0.8917570114135742,0.28752392530441284,160
BAAI/bge-m3,10.0,fr,linear,Q,0.9026316149573856,0.27713733864238693,160
BAAI/bge-m3,10.0,fr,affine,Q,0.9034456014633179,0.2751001715660095,160
BAAI/bge-m3,10.0,fr,linear,M,0.9306813940663148,0.17291767833051236,160
BAAI/bge-m3,10.0,fr,affine,M,0.9302839040756226,0.17384737730026245,160
BAAI/bge-m3,10.0,fr,linear,T,0.9236330271735074,0.19835427026435548,160
BAAI/bge-m3,10.0,fr,affine,T,0.9251295328140259,0.19444593787193298,160
BAAI/bge-m3,10.0,de,linear,N,0.8603976481071125,0.3689244218832065,160
BAAI/bge-m3,10.0,de,affine,N,0.865648090839386,0.359163373708725,160
BAAI/bge-m3,10.0,de,linear,Q,0.9053198753247728,0.2558806093018505,160
BAAI/bge-m3,10.0,de,affine,Q,0.9061562418937683,0.25365328788757324,160
BAAI/bge-m3,10.0,de,linear,M,0.9301419295231046,0.1745276550126445,160
BAAI/bge-m3,10.0,de,affine,M,0.9299413561820984,0.17583797872066498,160
BAAI/bge-m3,10.0,de,linear,T,0.8907549085232447,0.29793693439532015,160
BAAI/bge-m3,10.0,de,affine,T,0.8958247900009155,0.2858545780181885,160
BAAI/bge-m3,10.0,ru,linear,N,0.6177013808526091,1.0324980423757675,160
BAAI/bge-m3,10.0,ru,affine,N,0.6035255193710327,1.1128907203674316,160
BAAI/bge-m3,10.0,ru,linear,Q,0.6628289755060301,1.0505356689828207,160
BAAI/bge-m3,10.0,ru,affine,Q,0.6569435000419617,1.0939207077026367,160
BAAI/bge-m3,10.0,ru,linear,M,0.8020325303872882,0.528903446335219,160
BAAI/bge-m3,10.0,ru,affine,M,0.7991294860839844,0.5396308898925781,160
BAAI/bge-m3,10.0,ru,linear,T,0.7009313496431769,0.7831880904823755,160
BAAI/bge-m3,10.0,ru,affine,T,0.7312008738517761,0.7110397815704346,160
BAAI/bge-m3,10.0,zh,linear,N,0.8513929996042118,0.4062927762328662,160
BAAI/bge-m3,10.0,zh,affine,N,0.8561805486679077,0.3999110460281372,160
BAAI/bge-m3,10.0,zh,linear,Q,0.8964147858958198,0.2873404304342443,160
BAAI/bge-m3,10.0,zh,affine,Q,0.8896535038948059,0.30843788385391235,160
BAAI/bge-m3,10.0,zh,linear,M,0.9417517935027158,0.1519307141680552,160
BAAI/bge-m3,10.0,zh,affine,M,0.9430853128433228,0.14846155047416687,160
BAAI/bge-m3,10.0,zh,linear,T,0.9131154671921944,0.23055739117624025,160
BAAI/bge-m3,10.0,zh,affine,T,0.9121653437614441,0.23581822216510773,160
BAAI/bge-m3,10.0,ar,linear,N,0.4643353401919471,1.607702438484699,160
BAAI/bge-m3,10.0,ar,affine,N,0.31596559286117554,2.3775947093963623,160
BAAI/bge-m3,10.0,ar,linear,Q,0.529202719523142,1.452398878566759,160
BAAI/bge-m3,10.0,ar,affine,Q,0.5004156231880188,1.6178810596466064,160
BAAI/bge-m3,10.0,ar,linear,M,0.7077462136665782,0.8106338278274077,160
BAAI/bge-m3,10.0,ar,affine,M,0.5921667814254761,1.1699632406234741,160
BAAI/bge-m3,10.0,ar,linear,T,0.5690758118751156,1.2365744010354303,160
BAAI/bge-m3,10.0,ar,affine,T,0.4899440407752991,1.540024757385254,160
