model,ridge_alpha,heldout_language,method,operator,target_cosine,mse,n_test
bert-base-multilingual-cased,10.0,en,linear,N,0.6940069326529195,0.2587879039691042,160
bert-base-multilingual-cased,10.0,en,affine,N,0.6810379028320312,0.26838403940200806,160
bert-base-multilingual-cased,10.0,en,linear,Q,0.5419178822382755,0.34865465107058835,160
bert-base-multilingual-cased,10.0,en,affine,Q,0.533397376537323,0.363525927066803,160
bert-base-multilingual-cased,10.0,en,linear,M,0.7895483436937225,0.18059023787051035,160
bert-base-multilingual-cased,10.0,en,affine,M,0.7866419553756714,0.18203338980674744,160
bert-base-multilingual-cased,10.0,en,linear,T,0.6493239174342319,0.24456060380640068,160
bert-base-multilingual-cased,10.0,en,affine,T,0.6429303884506226,0.2535881996154785,160
bert-base-multilingual-cased,10.0,es,linear,N,0.6181405831793143,0.24084495195451644,160
bert-base-multilingual-cased,10.0,es,affine,N,0.601474404335022,0.25489768385887146,160
bert-base-multilingual-cased,10.0,es,linear,Q,0.5019459457002275,0.3060857537896731,160
bert-base-multilingual-cased,10.0,es,affine,Q,0.5005855560302734,0.31670501828193665,160
bert-base-multilingual-cased,10.0,es,linear,M,0.7094900824297508,0.1799189732354271,160
bert-base-multilingual-cased,10.0,es,affine,M,0.6930525302886963,0.18788301944732666,160
bert-base-multilingual-cased,10.0,es,linear,T,0.6615279710776868,0.21788912875950572,160
bert-base-multilingual-cased,10.0,es,affine,T,0.6345418691635132,0.23438164591789246,160
bert-base-multilingual-cased,10.0,fr,linear,N,0.6713968056698463,0.22068602674240417,160
bert-base-multilingual-cased,10.0,fr,affine,N,0.6554251909255981,0.2398545742034912,160
bert-base-multilingual-cased,10.0,fr,linear,Q,0.5050336043098236,0.3699238337345988,160
bert-base-multilingual-cased,10.0,fr,affine,Q,0.5200921893119812,0.3715952932834625,160
bert-base-multilingual-cased,10.0,fr,linear,M,0.7329111474280917,0.17178378102714273,160
bert-base-multilingual-cased,10.0,fr,affine,M,0.6852405071258545,0.19991903007030487,160
bert-base-multilingual-cased,10.0,fr,linear,T,0.6575781339020036,0.22583665442670703,160
bert-base-multilingual-cased,10.0,fr,affine,T,0.6520197987556458,0.23336677253246307,160
bert-base-multilingual-cased,10.0,de,linear,N,0.6491606920148889,0.21692025935193113,160
bert-base-multilingual-cased,10.0,de,affine,N,0.6168621778488159,0.24564993381500244,160
bert-base-multilingual-cased,10.0,de,linear,Q,0.4532524481004584,0.31687923135395646,160
bert-base-multilingual-cased,10.0,de,affine,Q,0.44800272583961487,0.3315582871437073,160
bert-base-multilingual-cased,10.0,de,linear,M,0.6984061366874112,0.1887639046614006,160
bert-base-multilingual-cased,10.0,de,affine,M,0.6909552812576294,0.1925177276134491,160
bert-base-multilingual-cased,10.0,de,linear,T,0.6243565592773501,0.2231474729664476,160
bert-base-multilingual-cased,10.0,de,affine,T,0.6029149293899536,0.24696390330791473,160
bert-base-multilingual-cased,10.0,ru,linear,N,0.600132672251946,0.250366343575992,160
bert-base-multilingual-cased,10.0,ru,affine,N,0.5927854776382446,0.2565550208091736,160
bert-base-multilingual-cased,10.0,ru,linear,Q,0.44465215480178044,0.3135802889157377,160
bert-base-multilingual-cased,10.0,ru,affine,Q,0.42232608795166016,0.33201950788497925,160
bert-base-multilingual-cased,10.0,ru,linear,M,0.7365817503248685,0.1738889622593358,160
bert-base-multilingual-cased,10.0,ru,affine,M,0.7269287109375,0.17847415804862976,160
bert-base-multilingual-cased,10.0,ru,linear,T,0.6234478164942037,0.2270823557008197,160
bert-base-multilingual-cased,10.0,ru,affine,T,0.6262094378471375,0.22898152470588684,160
bert-base-multilingual-cased,10.0,zh,linear,N,0.6886026408306141,0.2515068490016678,160
bert-base-multilingual-cased,10.0,zh,affine,N,0.6751615405082703,0.2614838480949402,160
bert-base-multilingual-cased,10.0,zh,linear,Q,0.47364068280116545,0.3920911241819208,160
bert-base-multilingual-cased,10.0,zh,affine,Q,0.4568096101284027,0.41368913650512695,160
bert-base-multilingual-cased,10.0,zh,linear,M,0.7766161756601305,0.199896480837436,160
bert-base-multilingual-cased,10.0,zh,affine,M,0.7634702920913696,0.20985352993011475,160
bert-base-multilingual-cased,10.0,zh,linear,T,0.6631548728892966,0.26669523530037875,160
bert-base-multilingual-cased,10.0,zh,affine,T,0.655124843120575,0.27324965596199036,160
bert-base-multilingual-cased,10.0,ar,linear,N,0.6402241960146732,0.42542217559741163,160
bert-base-multilingual-cased,10.0,ar,affine,N,0.4500623345375061,0.615742564201355,160
bert-base-multilingual-cased,10.0,ar,linear,Q,0.4777789444508068,0.5620468520773744,160
bert-base-multilingual-cased,10.0,ar,affine,Q,0.4005003869533539,0.6559489965438843,160
bert-base-multilingual-cased,10.0,ar,linear,M,0.754630352329378,0.32639808517618485,160
bert-base-multilingual-cased,10.0,ar,affine,M,0.6302592158317566,0.4599873423576355,160
bert-base-multilingual-cased,10.0,ar,linear,T,0.6122571079323056,0.42964957310359286,160
bert-base-multilingual-cased,10.0,ar,affine,T,0.4615848660469055,0.5699607729911804,160
