model,ridge_alpha,heldout_language,method,operator,target_cosine,mse,n_test
xlm-roberta-base,100.0,en,linear,N,0.48047713534861225,0.008770806576242091,160
xlm-roberta-base,100.0,en,affine,N,0.40524822473526,0.009464528411626816,160
xlm-roberta-base,100.0,en,linear,Q,0.5477169123590513,0.009153357148307258,160
xlm-roberta-base,100.0,en,affine,Q,0.5014179944992065,0.00975368358194828,160
xlm-roberta-base,100.0,en,linear,M,0.47863128511533154,0.008662625044120964,160
xlm-roberta-base,100.0,en,affine,M,0.3279612958431244,0.009996557608246803,160
xlm-roberta-base,100.0,en,linear,T,0.45168076495570375,0.009148689227697113,160
xlm-roberta-base,100.0,en,affine,T,0.35847100615501404,0.010111907497048378,160
xlm-roberta-base,100.0,es,linear,N,0.42109084982028844,0.009135951988212812,160
xlm-roberta-base,100.0,es,affine,N,0.29131218791007996,0.010194520466029644,160
xlm-roberta-base,100.0,es,linear,Q,0.48008869275330357,0.013672954613369514,160
xlm-roberta-base,100.0,es,affine,Q,0.5400129556655884,0.012410065159201622,160
xlm-roberta-base,100.0,es,linear,M,0.44180631318240027,0.008170119396832516,160
xlm-roberta-base,100.0,es,affine,M,0.25987690687179565,0.009579325094819069,160
xlm-roberta-base,100.0,es,linear,T,0.46411347758501514,0.008795487462562068,160
xlm-roberta-base,100.0,es,affine,T,0.3000708818435669,0.01022743247449398,160
xlm-roberta-base,100.0,fr,linear,N,0.34102644740794974,0.010948711477392634,160
xlm-roberta-base,100.0,fr,affine,N,0.1926533579826355,0.011906232684850693,160
xlm-roberta-base,100.0,fr,linear,Q,0.3392131227761431,0.008845580099145881,160
xlm-roberta-base,100.0,fr,affine,Q,0.19106325507164001,0.011013545095920563,160
xlm-roberta-base,100.0,fr,linear,M,0.39259399866085054,0.009232280460152833,160
xlm-roberta-base,100.0,fr,affine,M,0.1485651731491089,0.010772591456770897,160
xlm-roberta-base,100.0,fr,linear,T,0.3942850934987174,0.01044412508085157,160
xlm-roberta-base,100.0,fr,affine,T,0.17963621020317078,0.011941681616008282,160
xlm-roberta-base,100.0,de,linear,N,0.5560385586933051,0.013179563469365224,160
xlm-roberta-base,100.0,de,affine,N,0.3191099762916565,0.015187296085059643,160
xlm-roberta-base,100.0,de,linear,Q,0.31069945899062973,0.010945800835747924,160
xlm-roberta-base,100.0,de,affine,Q,0.13715074956417084,0.012834650464355946,160
xlm-roberta-base,100.0,de,linear,M,0.46491293631574804,0.010967319591934177,160
xlm-roberta-base,100.0,de,affine,M,0.1882115602493286,0.013313328847289085,160
xlm-roberta-base,100.0,de,linear,T,0.4883829589190629,0.011147920722255423,160
xlm-roberta-base,100.0,de,affine,T,0.22701676189899445,0.013516011647880077,160
xlm-roberta-base,100.0,ru,linear,N,0.6681400557012237,0.0100434606323231,160
xlm-roberta-base,100.0,ru,affine,N,0.31624647974967957,0.014482550323009491,160
xlm-roberta-base,100.0,ru,linear,Q,0.6460923477892246,0.01594913395765176,160
xlm-roberta-base,100.0,ru,affine,Q,0.5374641418457031,0.01601256988942623,160
xlm-roberta-base,100.0,ru,linear,M,0.5620216311171315,0.011311005653388204,160
xlm-roberta-base,100.0,ru,affine,M,0.3389422297477722,0.01392461359500885,160
xlm-roberta-base,100.0,ru,linear,T,0.6608829636265383,0.010435329051891925,160
xlm-roberta-base,100.0,ru,affine,T,0.42940911650657654,0.013289990834891796,160
xlm-roberta-base,100.0,zh,linear,N,0.5722639553235869,0.01476450028505436,160
xlm-roberta-base,100.0,zh,affine,N,0.3596983850002289,0.018126506358385086,160
xlm-roberta-base,100.0,zh,linear,Q,0.5163214706003707,0.015365710018194857,160
xlm-roberta-base,100.0,zh,affine,Q,0.3571230471134186,0.01792476698756218,160
xlm-roberta-base,100.0,zh,linear,M,0.506526069352452,0.01337080680446819,160
xlm-roberta-base,100.0,zh,affine,M,0.31654971837997437,0.015992052853107452,160
xlm-roberta-base,100.0,zh,linear,T,0.5208045304543871,0.015237510645137054,160
xlm-roberta-base,100.0,zh,affine,T,0.34904247522354126,0.017799535766243935,160
xlm-roberta-base,100.0,ar,linear,N,0.6280174057676247,0.018438325361367656,160
xlm-roberta-base,100.0,ar,affine,N,-0.12385322898626328,0.031174693256616592,160
xlm-roberta-base,100.0,ar,linear,Q,0.5122110446572216,0.02080818187856063,160
xlm-roberta-base,100.0,ar,affine,Q,-0.18658879399299622,0.03507936745882034,160
xlm-roberta-base,100.0,ar,linear,M,0.6624468952948299,0.02001065929877851,160
xlm-roberta-base,100.0,ar,affine,M,-0.11753152310848236,0.03317287564277649,160
xlm-roberta-base,100.0,ar,linear,T,0.663962488074267,0.01803682914313618,160
xlm-roberta-base,100.0,ar,affine,T,-0.1806332916021347,0.03253958374261856,160
