model,ridge_alpha,heldout_language,method,operator,operator_fro_norm,operator_spectral_norm,operator_trace
Qwen/Qwen3-Embedding-0.6B,10.0,en,linear,N,8.533463407161625,3.578683441849989,-33.37792494893074
Qwen/Qwen3-Embedding-0.6B,10.0,en,linear,Q,6.286909400010426,1.8878263545459573,-20.777371168136597
Qwen/Qwen3-Embedding-0.6B,10.0,en,linear,M,7.092430479857063,2.5128154606694304,-29.10790455341339
Qwen/Qwen3-Embedding-0.6B,10.0,en,linear,T,7.197496550710026,2.5957199811344682,-27.115015387535095
Qwen/Qwen3-Embedding-0.6B,10.0,en,affine,N,8.502024862892306,3.594493169570787,-33.252680361270905
Qwen/Qwen3-Embedding-0.6B,10.0,en,affine,Q,6.207114003792071,1.8931328322223182,-20.765124440193176
Qwen/Qwen3-Embedding-0.6B,10.0,en,affine,M,7.120487257640888,2.5146017132337044,-29.25884199142456
Qwen/Qwen3-Embedding-0.6B,10.0,en,affine,T,7.147946593481191,2.5248360296911367,-27.235994517803192
Qwen/Qwen3-Embedding-0.6B,10.0,es,linear,N,8.541515179309203,3.505759179432035,-32.48876404762268
Qwen/Qwen3-Embedding-0.6B,10.0,es,linear,Q,6.600479758922355,1.984757286192614,-22.793453872203827
Qwen/Qwen3-Embedding-0.6B,10.0,es,linear,M,6.860482074730612,2.386815841653292,-26.739676356315613
Qwen/Qwen3-Embedding-0.6B,10.0,es,linear,T,7.185651055441489,2.2962444684075045,-27.483084082603455
Qwen/Qwen3-Embedding-0.6B,10.0,es,affine,N,8.549738832406463,3.5582854572020404,-32.477633357048035
Qwen/Qwen3-Embedding-0.6B,10.0,es,affine,Q,6.536012848462231,1.9872448416999873,-22.9110888838768
Qwen/Qwen3-Embedding-0.6B,10.0,es,affine,M,6.967598356251549,2.494996746796804,-26.880144119262695
Qwen/Qwen3-Embedding-0.6B,10.0,es,affine,T,7.145935361563072,2.1874446373371015,-27.62504106760025
Qwen/Qwen3-Embedding-0.6B,10.0,fr,linear,N,8.757245911055524,4.153403534197181,-32.973714113235474
Qwen/Qwen3-Embedding-0.6B,10.0,fr,linear,Q,6.554324209278749,2.0313381392453222,-22.36653161048889
Qwen/Qwen3-Embedding-0.6B,10.0,fr,linear,M,7.121759746495399,2.719514925342875,-27.664303600788116
Qwen/Qwen3-Embedding-0.6B,10.0,fr,linear,T,7.414895562299392,2.4421941565237977,-28.5161275267601
Qwen/Qwen3-Embedding-0.6B,10.0,fr,affine,N,8.792099339357053,4.2196317418978895,-33.22281566262245
Qwen/Qwen3-Embedding-0.6B,10.0,fr,affine,Q,6.56283434386162,2.04191536275788,-22.70152235031128
Qwen/Qwen3-Embedding-0.6B,10.0,fr,affine,M,7.314561673194858,3.092166807032125,-28.07004886865616
Qwen/Qwen3-Embedding-0.6B,10.0,fr,affine,T,7.455358575337076,2.369345133224753,-28.860648959875107
Qwen/Qwen3-Embedding-0.6B,10.0,de,linear,N,8.44492617633219,3.7034547327500773,-32.58117988705635
Qwen/Qwen3-Embedding-0.6B,10.0,de,linear,Q,6.492572959825501,1.9789623852877956,-21.531963229179382
Qwen/Qwen3-Embedding-0.6B,10.0,de,linear,M,7.038987960925441,2.406357764573067,-27.02039670944214
