model,ridge_alpha,heldout_language,method,operator,operator_fro_norm,operator_spectral_norm,operator_trace
distilbert-base-multilingual-cased,100.0,en,linear,N,8.977519392238081,1.1306153669418,-94.43424851447344
distilbert-base-multilingual-cased,100.0,en,linear,Q,9.191262610395935,1.6881720791490367,-96.44086862914264
distilbert-base-multilingual-cased,100.0,en,linear,M,8.846807022757563,1.0334747580164876,-93.3414226025343
distilbert-base-multilingual-cased,100.0,en,linear,T,8.889482820911162,1.101213898516407,-93.00623703747988
distilbert-base-multilingual-cased,100.0,en,affine,N,9.008293383975001,1.0887527346283274,-95.02917208150029
distilbert-base-multilingual-cased,100.0,en,affine,Q,9.113449952284503,1.1225838487853224,-96.1375229395926
distilbert-base-multilingual-cased,100.0,en,affine,M,8.889307471338052,1.0281424656527043,-94.06944740563631
distilbert-base-multilingual-cased,100.0,en,affine,T,8.92461757797557,1.0861730561235414,-93.69528011977673
distilbert-base-multilingual-cased,100.0,es,linear,N,8.936389435234874,1.1393146454710497,-93.74004255607724
distilbert-base-multilingual-cased,100.0,es,linear,Q,9.194563160639442,1.7096987190535653,-96.36365802027285
distilbert-base-multilingual-cased,100.0,es,linear,M,8.781828068834585,1.0372234884401559,-92.28374468162656
distilbert-base-multilingual-cased,100.0,es,linear,T,8.875307063766638,1.120663152187737,-92.6774937659502
distilbert-base-multilingual-cased,100.0,es,affine,N,8.967714848753356,1.099651476128306,-94.35501047968864
distilbert-base-multilingual-cased,100.0,es,affine,Q,9.114569485192055,1.1333465198614174,-96.07099067978561
distilbert-base-multilingual-cased,100.0,es,affine,M,8.823941467962701,1.031417552376954,-93.01572274044156
distilbert-base-multilingual-cased,100.0,es,affine,T,8.909765005146784,1.0817035467597131,-93.36671278625727
distilbert-base-multilingual-cased,100.0,fr,linear,N,8.95586333622474,1.1541082798050228,-93.83482272177935
distilbert-base-multilingual-cased,100.0,fr,linear,Q,9.185689197302,1.6687840905739297,-96.18793502636254
distilbert-base-multilingual-cased,100.0,fr,linear,M,8.794642512630398,1.0343215613912535,-92.43587181717157
distilbert-base-multilingual-cased,100.0,fr,linear,T,8.920960559742946,1.1301818811770523,-93.12316955626011
distilbert-base-multilingual-cased,100.0,fr,affine,N,8.989659472115052,1.1196437462423006,-94.47752444446087
distilbert-base-multilingual-cased,100.0,fr,affine,Q,9.115954868471492,1.138505651348526,-95.94386112131178
distilbert-base-multilingual-cased,100.0,fr,affine,M,8.83677335860666,1.0321435753220682,-93.17759747803211
distilbert-base-multilingual-cased,100.0,fr,affine,T,8.95516251083171,1.101575534911574,-93.81637451797724
distilbert-base-multilingual-cased,100.0,de,linear,N,8.966754886731717,1.159232592047963,-94.02514816075563
distilbert-base-multilingual-cased,100.0,de,linear,Q,9.192678184833893,1.6640638115244595,-96.2952213846147
distilbert-base-multilingual-cased,100.0,de,linear,M,8.808554472644143,1.0310338678711155,-92.66643630713224
distilbert-base-multilingual-cased,100.0,de,linear,T,8.907626437307188,1.1152564923321249,-93.02906727790833
distilbert-base-multilingual-cased,100.0,de,affine,N,8.999630826735924,1.1250332645763905,-94.66059214994311
distilbert-base-multilingual-cased,100.0,de,affine,Q,9.11925730229601,1.1291508060828372,-96.01941032148898
distilbert-base-multilingual-cased,100.0,de,affine,M,8.85121817926975,1.0304240656104962,-93.39105850085616
distilbert-base-multilingual-cased,100.0,de,affine,T,8.94277765636255,1.0958157575681868,-93.71880435943604
distilbert-base-multilingual-cased,100.0,ru,linear,N,9.067171492073092,1.1610124679023393,-95.1938956528902
distilbert-base-multilingual-cased,100.0,ru,linear,Q,9.307523553122184,1.7510949266641307,-97.5506927985698
distilbert-base-multilingual-cased,100.0,ru,linear,M,8.825435364866754,1.0321015344235853,-92.64156768098474
distilbert-base-multilingual-cased,100.0,ru,linear,T,9.002997689690845,1.127728554076643,-93.99767823144794
distilbert-base-multilingual-cased,100.0,ru,affine,N,9.09494680759974,1.1170696410726342,-95.76986763998866
distilbert-base-multilingual-cased,100.0,ru,affine,Q,9.217496314277696,1.1355620411899199,-97.19085307791829
distilbert-base-multilingual-cased,100.0,ru,affine,M,8.866216550885945,1.0167582709789285,-93.35266739502549
distilbert-base-multilingual-cased,100.0,ru,affine,T,9.035953193515756,1.1022936031072317,-94.66621739789844
distilbert-base-multilingual-cased,100.0,zh,linear,N,9.107951612151993,1.172156526489925,-95.99369172379375
distilbert-base-multilingual-cased,100.0,zh,linear,Q,9.30309465743784,1.6381090909879497,-97.85595672018826
distilbert-base-multilingual-cased,100.0,zh,linear,M,8.901151346198539,1.0256088327747135,-94.03321753069758
distilbert-base-multilingual-cased,100.0,zh,linear,T,9.050668017480206,1.1322249875765629,-94.95011062920094
distilbert-base-multilingual-cased,100.0,zh,affine,N,9.137241787818567,1.1233598627680197,-96.58197980746627
distilbert-base-multilingual-cased,100.0,zh,affine,Q,9.236972329852687,1.1288934933967898,-97.61860953643918
distilbert-base-multilingual-cased,100.0,zh,affine,M,8.943715197354457,1.0245240991640665,-94.7736781872809
distilbert-base-multilingual-cased,100.0,zh,affine,T,9.084284686841706,1.1079753812743283,-95.62644630298018
distilbert-base-multilingual-cased,100.0,ar,linear,N,8.87880929221954,1.1465742048025838,-92.87984566390514
distilbert-base-multilingual-cased,100.0,ar,linear,Q,9.092811087179367,1.5375857887072515,-95.08247803151608
distilbert-base-multilingual-cased,100.0,ar,linear,M,8.718926097556261,1.0334231547183799,-91.43100137636065
distilbert-base-multilingual-cased,100.0,ar,linear,T,8.804036155805672,1.1203210855898493,-91.57637213543057
distilbert-base-multilingual-cased,100.0,ar,affine,N,8.912764044966586,1.114555851650034,-93.54691807553172
distilbert-base-multilingual-cased,100.0,ar,affine,Q,9.049393908626074,1.1294860727267488,-95.03577126190066
distilbert-base-multilingual-cased,100.0,ar,affine,M,8.764693967882716,1.0327558082829373,-92.21560378745198
distilbert-base-multilingual-cased,100.0,ar,affine,T,8.841714771477278,1.0984520943565965,-92.30830121785402
