model,ridge_alpha,heldout_language,method,operator,operator_fro_norm,operator_spectral_norm,operator_trace
intfloat/multilingual-e5-large,10.0,en,linear,N,8.093255853904303,2.6808876246330375,-51.60155752301216
intfloat/multilingual-e5-large,10.0,en,linear,Q,7.6553350544921,2.100004640468868,-35.71565568447113
intfloat/multilingual-e5-large,10.0,en,linear,M,6.327667412869361,1.835039648471985,-40.717289447784424
intfloat/multilingual-e5-large,10.0,en,linear,T,6.861980912286342,2.056833289124619,-41.54050290584564
intfloat/multilingual-e5-large,10.0,en,affine,N,8.095997417127302,2.6756891435591457,-52.05323016643524
intfloat/multilingual-e5-large,10.0,en,affine,Q,7.580057488560553,2.091782550866795,-35.59326258301735
intfloat/multilingual-e5-large,10.0,en,affine,M,6.371930834146948,1.86075978305218,-41.290881007909775
intfloat/multilingual-e5-large,10.0,en,affine,T,6.882573174939366,2.0515212548833333,-42.148638010025024
intfloat/multilingual-e5-large,10.0,es,linear,N,8.266674484347345,2.9721362520396966,-51.21822988986969
intfloat/multilingual-e5-large,10.0,es,linear,Q,7.58211623311851,1.9573831868601623,-33.269764959812164
intfloat/multilingual-e5-large,10.0,es,linear,M,6.168904068527526,1.754545648100356,-40.73175993561745
intfloat/multilingual-e5-large,10.0,es,linear,T,6.735568147538285,2.0285112488840116,-41.38019281625748
intfloat/multilingual-e5-large,10.0,es,affine,N,8.27405475954982,2.9725308627331004,-51.60167837142944
intfloat/multilingual-e5-large,10.0,es,affine,Q,7.51285592857815,1.7960570223687093,-33.238021314144135
intfloat/multilingual-e5-large,10.0,es,affine,M,6.211697078517725,1.7856005710236103,-41.3151892721653
intfloat/multilingual-e5-large,10.0,es,affine,T,6.749234459504769,2.022665555862532,-41.97326561808586
intfloat/multilingual-e5-large,10.0,fr,linear,N,8.172570503107083,2.9640856033652843,-50.15413311123848
intfloat/multilingual-e5-large,10.0,fr,linear,Q,7.461649304237186,1.98756076050617,-34.01274457573891
intfloat/multilingual-e5-large,10.0,fr,linear,M,6.230308340658604,1.8960621981254548,-40.96299475431442
intfloat/multilingual-e5-large,10.0,fr,linear,T,6.8362877490435086,2.103543723191104,-40.8988391160965
intfloat/multilingual-e5-large,10.0,fr,affine,N,8.173831262750435,2.9592972674501534,-50.60475593805313
intfloat/multilingual-e5-large,10.0,fr,affine,Q,7.409254090799574,1.9826071610652256,-33.9764458835125
intfloat/multilingual-e5-large,10.0,fr,affine,M,6.272798290990663,1.9193819544810526,-41.54112979769707
intfloat/multilingual-e5-large,10.0,fr,affine,T,6.838941477961377,2.0729482098486374,-41.455527544021606
intfloat/multilingual-e5-large,10.0,de,linear,N,8.24069502692494,2.9935756599676595,-51.88346600532532
intfloat/multilingual-e5-large,10.0,de,linear,Q,7.603641783198389,2.113345201848272,-34.17590895295143
intfloat/multilingual-e5-large,10.0,de,linear,M,6.2483432528792875,1.7531474260952398,-41.885016947984695
intfloat/multilingual-e5-large,10.0,de,linear,T,6.7242774838145385,1.8503887159815664,-42.495157122612
intfloat/multilingual-e5-large,10.0,de,affine,N,8.254440998230995,2.9902312419481416,-52.33040735125542
intfloat/multilingual-e5-large,10.0,de,affine,Q,7.550203421690423,2.0826133336370267,-34.101309567689896
intfloat/multilingual-e5-large,10.0,de,affine,M,6.287006894063768,1.7728938046323175,-42.46780377626419
intfloat/multilingual-e5-large,10.0,de,affine,T,6.7414454354049855,1.8344297433379728,-43.09440705180168
intfloat/multilingual-e5-large,10.0,ru,linear,N,8.149977260610118,3.063241777372854,-53.20830714702606
intfloat/multilingual-e5-large,10.0,ru,linear,Q,7.7046781503094826,1.9994962531952434,-35.44246006011963
intfloat/multilingual-e5-large,10.0,ru,linear,M,6.257217812891536,1.7992441847864948,-42.19608622789383
intfloat/multilingual-e5-large,10.0,ru,linear,T,6.739036654253528,1.9404640987242396,-43.078916907310486
intfloat/multilingual-e5-large,10.0,ru,affine,N,8.15153586532406,3.0640066308690495,-53.684505462646484
intfloat/multilingual-e5-large,10.0,ru,affine,Q,7.652797268044333,1.9888857583458412,-35.35226136445999
intfloat/multilingual-e5-large,10.0,ru,affine,M,6.298644943027478,1.8249444843492502,-42.77208086848259
intfloat/multilingual-e5-large,10.0,ru,affine,T,6.75296519344732,1.9030293509638465,-43.62991797924042
intfloat/multilingual-e5-large,10.0,zh,linear,N,8.3444564218579,2.952171658173919,-52.46666184067726
intfloat/multilingual-e5-large,10.0,zh,linear,Q,7.771751838700237,2.1032463137895956,-35.655680269002914
intfloat/multilingual-e5-large,10.0,zh,linear,M,6.442073736372303,1.9291249475118974,-42.27246907353401
intfloat/multilingual-e5-large,10.0,zh,linear,T,6.96377835118778,2.1115287468820405,-43.292651027441025
intfloat/multilingual-e5-large,10.0,zh,affine,N,8.347894779283575,2.9435072395008617,-52.90273204445839
intfloat/multilingual-e5-large,10.0,zh,affine,Q,7.714251797686834,2.08886051072081,-35.597766637802124
intfloat/multilingual-e5-large,10.0,zh,affine,M,6.477412566804209,1.929535784759317,-42.86533263325691
