ridge_alpha,method,operator,mean_fro_norm,mean_spectral_norm,mean_trace,cells
10.0,affine,M,7.204581289946766,1.7516048920855676,-56.64324345682112,63
10.0,affine,N,8.518779724788853,2.5221738076458227,-62.53035518175198,63
10.0,affine,Q,8.06311028695493,1.9778824268014852,-56.45215972616441,63
10.0,affine,T,7.8296803945801985,1.9598852432669265,-58.200556718759124,63
10.0,linear,M,7.166690187701626,1.7379839069538543,-56.11673576432088,63
10.0,linear,N,8.527667384631672,2.5946849599924264,-62.23834910492102,63
10.0,linear,Q,8.130843505739483,2.1436263917897938,-56.4716070629065,63
10.0,linear,T,7.815867291134337,1.9864747288914009,-57.65329954453877,63
100.0,affine,M,8.267538493079158,1.1750754012115343,-82.07215898231574,63
100.0,affine,N,8.787515944197539,1.5392094117014763,-85.17699719161892,63
100.0,affine,Q,8.605737683819202,1.5004980512108503,-81.149641337106,63
100.0,affine,T,8.487639503523248,1.252212097891517,-82.62566203007194,63
100.0,linear,M,8.233456738878887,1.1814971110084929,-81.4853794043625,63
100.0,linear,N,8.79295706044425,1.6422596344442557,-84.83899324659733,63
100.0,linear,Q,8.645465238917199,1.6937569636265808,-81.09952982458182,63
100.0,linear,T,8.46878937838371,1.3160052463018834,-82.0370144905626,63
