model,ridge_alpha,heldout_language,method,operator,operator_fro_norm,operator_spectral_norm,operator_trace
xlm-roberta-base,100.0,en,linear,N,10.82952796534819,1.075453483681336,-121.06745939305983
xlm-roberta-base,100.0,en,linear,Q,10.841734352329292,1.2304214681518424,-121.08277596067637
xlm-roberta-base,100.0,en,linear,M,10.802767929078698,1.0365258233056196,-120.90518264193088
xlm-roberta-base,100.0,en,linear,T,10.80117103101421,1.0322125348413793,-120.812427314464
xlm-roberta-base,100.0,en,affine,N,10.841100313159455,1.0243277788482918,-121.28014502627775
xlm-roberta-base,100.0,en,affine,Q,10.839565267682715,1.0602263822962585,-121.30523114465177
xlm-roberta-base,100.0,en,affine,M,10.820154024735672,1.0140858895419997,-121.18122867913917
xlm-roberta-base,100.0,en,affine,T,10.823710321092353,1.0191239099434897,-121.15129956533201
xlm-roberta-base,100.0,es,linear,N,10.842602899926549,1.0712099875824033,-121.20297844405286
xlm-roberta-base,100.0,es,linear,Q,10.856061902923862,1.2008147410194572,-121.31798583641648
xlm-roberta-base,100.0,es,linear,M,10.816857210363313,1.0317438860816333,-121.03475446486846
xlm-roberta-base,100.0,es,linear,T,10.819121980979338,1.0401770038874392,-121.00094711687416
xlm-roberta-base,100.0,es,affine,N,10.855703509491814,1.0251623191656525,-121.44023782014847
xlm-roberta-base,100.0,es,affine,Q,10.857602262958972,1.0582278527023745,-121.53339736699127
xlm-roberta-base,100.0,es,affine,M,10.834856639733575,1.0157968052925521,-121.31874724663794
xlm-roberta-base,100.0,es,affine,T,10.841406566439204,1.0188714734976714,-121.3469664787408
xlm-roberta-base,100.0,fr,linear,N,10.831191467645656,1.0509702414282767,-121.11658922070637
xlm-roberta-base,100.0,fr,linear,Q,10.835551788360233,1.2078291201442533,-121.0064449091442
xlm-roberta-base,100.0,fr,linear,M,10.814132564095877,1.0316414847398148,-121.03886445332319
xlm-roberta-base,100.0,fr,linear,T,10.81623975938874,1.0374576134683207,-121.00983898621053
xlm-roberta-base,100.0,fr,affine,N,10.846014547449958,1.0244673137046931,-121.36023909156211
xlm-roberta-base,100.0,fr,affine,Q,10.837375746451473,1.0469947107709316,-121.29580423654988
xlm-roberta-base,100.0,fr,affine,M,10.831111699918011,1.0159834307258895,-121.30388346873224
xlm-roberta-base,100.0,fr,affine,T,10.837186488832268,1.0191508921875918,-121.33154970454052
xlm-roberta-base,100.0,de,linear,N,10.837998638802645,1.0520288694268498,-121.26238615321927
xlm-roberta-base,100.0,de,linear,Q,10.851733559279142,1.1922805498181812,-121.20443764934316
xlm-roberta-base,100.0,de,linear,M,10.822440683036621,1.0270784419330783,-121.16030768398196
xlm-roberta-base,100.0,de,linear,T,10.820551732838886,1.0330147766866105,-121.07334490865469
xlm-roberta-base,100.0,de,affine,N,10.85433733511149,1.0240699001086544,-121.51806839881465
xlm-roberta-base,100.0,de,affine,Q,10.858090677552218,1.0586476042989568,-121.54119080910459
xlm-roberta-base,100.0,de,affine,M,10.840337412274318,1.0160901148976382,-121.4324929411523
xlm-roberta-base,100.0,de,affine,T,10.842443071766873,1.019371011147273,-121.40501047554426
xlm-roberta-base,100.0,ru,linear,N,10.84757981457681,1.0883040421819252,-121.28015554649755
xlm-roberta-base,100.0,ru,linear,Q,10.866167782820666,1.2249905442555307,-121.45752826333046
xlm-roberta-base,100.0,ru,linear,M,10.809220937233299,1.03201746270031,-120.97660765936598
xlm-roberta-base,100.0,ru,linear,T,10.820762390946186,1.0389993098962318,-121.05219057295471
xlm-roberta-base,100.0,ru,affine,N,10.860642691412268,1.0270924036812932,-121.58192770229653
xlm-roberta-base,100.0,ru,affine,Q,10.865901455370125,1.0533925959636745,-121.67480340017937
xlm-roberta-base,100.0,ru,affine,M,10.829578147849872,1.0066737363614844,-121.30012657493353
xlm-roberta-base,100.0,ru,affine,T,10.844518710030787,1.0220578120886723,-121.4330961026717
xlm-roberta-base,100.0,zh,linear,N,10.855370738972825,1.087946228349093,-121.4612377518788
xlm-roberta-base,100.0,zh,linear,Q,10.858008914082763,1.2129990157599093,-121.37062209704891
xlm-roberta-base,100.0,zh,linear,M,10.825170591293945,1.0312276296287404,-121.22122054127976
xlm-roberta-base,100.0,zh,linear,T,10.827736913602777,1.0378856635317535,-121.21841018972918
xlm-roberta-base,100.0,zh,affine,N,10.865235054523692,1.0242731703431396,-121.6819246863015
xlm-roberta-base,100.0,zh,affine,Q,10.861203268415693,1.0555433625352637,-121.66234821337275
xlm-roberta-base,100.0,zh,affine,M,10.842964588543182,1.0155641105073314,-121.50310691678897
xlm-roberta-base,100.0,zh,affine,T,10.849647004684082,1.0200482118953966,-121.55566585692577
xlm-roberta-base,100.0,ar,linear,N,10.843309382407437,1.0681676493694707,-121.33074516383931
xlm-roberta-base,100.0,ar,linear,Q,10.851719003405899,1.1788944823390046,-121.31491487449966
xlm-roberta-base,100.0,ar,linear,M,10.830787808915623,1.0269785157633855,-121.3540625476744
xlm-roberta-base,100.0,ar,linear,T,10.813830003976785,1.0316238529190247,-121.07018226431683
xlm-roberta-base,100.0,ar,affine,N,10.860694544970542,1.024587982884948,-121.66974444431253
xlm-roberta-base,100.0,ar,affine,Q,10.863692171341862,1.055485873932583,-121.78452945733443
xlm-roberta-base,100.0,ar,affine,M,10.854070747372417,1.0176372631937871,-121.7247497246135
xlm-roberta-base,100.0,ar,affine,T,10.841556485138623,1.0155426574902189,-121.53300557890907
