model,ridge_alpha,heldout_language,method,pair,basis_rank,matrix_commutator_norm,closure_residual_ratio,random_subspace_null_mean,random_subspace_null_std,empirical_p_below_random_subspace,coef_N,coef_Q,coef_M,coef_T
bert-base-multilingual-cased,0.1,en,linear,NQ_minus_QN,4,7.565749175108826,0.9942156266712945,0.999881415960075,8.959495740948723e-05,0.0033222591362126247,-0.05599474228300861,0.07918094338092091,-0.03056018465907723,-0.053636317910634765
bert-base-multilingual-cased,0.1,en,linear,NM_minus_MN,4,5.765724029005551,0.9986367819196883,0.9998698950163375,9.759844043200586e-05,0.0033222591362126247,0.03911701871180217,-0.009416563844895087,-0.02155878510579523,-0.02002692987123844
bert-base-multilingual-cased,0.1,en,linear,NT_minus_TN,4,6.055593366708395,0.9978986217234197,0.9998828831972583,8.187166290470597e-05,0.0033222591362126247,-0.04494386986583831,0.020125593516963906,-0.02609071171916617,0.007687509202830552
bert-base-multilingual-cased,0.1,en,linear,QM_minus_MQ,4,6.8250347205592625,0.99745745366925,0.9998806898148198,9.025718118596406e-05,0.0033222591362126247,0.047840935215671676,-0.03982360388085371,-0.027400943118265134,-0.010465830890267232
bert-base-multilingual-cased,0.1,en,linear,QT_minus_TQ,4,7.381383078996566,0.9969147305931431,0.9998832626224199,8.306429200225867e-05,0.0033222591362126247,0.070963870907889,-0.04564991161922008,0.013567145186581156,-0.0009099951822927659
bert-base-multilingual-cased,0.1,en,linear,MT_minus_TM,4,5.825979594562386,0.9993934702743157,0.9998781346036671,9.358031789386993e-05,0.0033222591362126247,0.0030045846037348323,0.02061870419942569,0.006111708419768348,-0.017766723687501266
bert-base-multilingual-cased,0.1,en,affine,NQ_minus_QN,4,7.442129694489115,0.9941870730039446,0.9998769281261047,8.572394069237199e-05,0.0033222591362126247,-0.0615476437579424,0.08151972732738545,-0.023292101283810044,-0.04861378472698702
bert-base-multilingual-cased,0.1,en,affine,NM_minus_MN,4,5.815962399419084,0.9989913328683777,0.9998774643078203,8.595152929139641e-05,0.0033222591362126247,0.028543218264878708,-0.011804541260233389,-0.024360211950551124,-0.007228486913849071
bert-base-multilingual-cased,0.1,en,affine,NT_minus_TN,4,6.05475045567859,0.9984464049880598,0.9998770753157392,8.564334175884538e-05,0.0033222591362126247,-0.039397520938796844,0.01897419205395557,-0.0194389813467474,0.004119045175822117
bert-base-multilingual-cased,0.1,en,affine,QM_minus_MQ,4,6.9005184575274825,0.9971576027858714,0.9998685701004336,8.629468793832532e-05,0.0033222591362126247,0.046256798891424276,-0.03913294798081645,-0.0403663046444444,-0.004531126676473201
bert-base-multilingual-cased,0.1,en,affine,QT_minus_TQ,4,7.28175725427718,0.99748010819484,0.999882181955284,8.347385992061294e-05,0.0033222591362126247,0.06433860185403927,-0.041216888010596336,0.006010403536675694,0.0006212909531838511
bert-base-multilingual-cased,0.1,en,affine,MT_minus_TM,4,5.899495762589897,0.9988039163047248,0.9998804744908542,8.562210512154333e-05,0.0033222591362126247,0.014657984457239833,0.02534884558343238,0.006205892430458859,-0.03400862262524747
bert-base-multilingual-cased,0.1,es,linear,NQ_minus_QN,4,7.867834979174235,0.9969330477438564,0.9998840723237824,8.071292788487944e-05,0.0033222591362126247,-0.054701096746119525,0.04658525584700101,0.0006762859404998448,-0.0381897851752956
bert-base-multilingual-cased,0.1,es,linear,NM_minus_MN,4,6.013976722499717,0.999423532583912,0.99988313732143,8.314794715707722e-05,0.0033222591362126247,0.01592473062627459,-0.0007615418938864901,-0.0229564147891172,-0.013385409995635771
bert-base-multilingual-cased,0.1,es,linear,NT_minus_TN,4,6.394462264660734,0.9995515970182416,0.9998751470733502,9.002821073760379e-05,0.013289036544850499,-0.008981994866992853,0.006733413334243881,-0.013797243312387035,-0.011824464378580165
bert-base-multilingual-cased,0.1,es,linear,QM_minus_MQ,4,6.605293997003785,0.998445186811124,0.9998814746711281,8.194667573395961e-05,0.0033222591362126247,0.02089681661959666,-0.04063457283414878,0.0002692100728833001,0.0008105361693013053
bert-base-multilingual-cased,0.1,es,linear,QT_minus_TQ,4,7.469687885171987,0.9959647955028597,0.9998752029378092,9.095935895418569e-05,0.0033222591362126247,0.06970673650118449,-0.058962269039525825,-0.003359108354858743,0.022849734872063026
