model,ridge_alpha,heldout_language,method,pair,basis_rank,matrix_commutator_norm,closure_residual_ratio,random_subspace_null_mean,random_subspace_null_std,empirical_p_below_random_subspace,coef_N,coef_Q,coef_M,coef_T
bert-base-multilingual-cased,1.0,en,linear,NQ_minus_QN,4,6.643808664650704,0.9948023901495975,0.999881893900598,8.840546939124044e-05,0.0033222591362126247,-0.04257987748721559,0.06794206101877001,-0.029719653898370977,-0.055813146824122827
bert-base-multilingual-cased,1.0,en,linear,NM_minus_MN,4,4.991090323166739,0.9962485282394677,0.9998696770344058,9.885232894451057e-05,0.0033222591362126247,0.060575847686301525,-0.00937253585114152,-0.041645258685412134,-0.021270512908414824
bert-base-multilingual-cased,1.0,en,linear,NT_minus_TN,4,5.182391093033923,0.9985859773717853,0.9998827843253241,8.131582508034323e-05,0.0033222591362126247,-0.012445017047323663,0.021121863544284997,-0.02170848845882781,-0.02213762881410704
bert-base-multilingual-cased,1.0,en,linear,QM_minus_MQ,4,5.970783582912023,0.9978803705665461,0.9998794389580304,9.076533233226903e-05,0.0033222591362126247,0.04633355679565036,-0.02892671999285755,-0.030562462218848417,-0.006807342173330106
bert-base-multilingual-cased,1.0,en,linear,QT_minus_TQ,4,6.49919217419448,0.9969836202912437,0.9998830264216195,8.266559502909923e-05,0.0033222591362126247,0.07030128949615,-0.038946118595012125,0.012988736925335448,-0.007439522817935967
bert-base-multilingual-cased,1.0,en,linear,MT_minus_TM,4,5.056093407449893,0.9979584098622646,0.9998766067868121,9.327980001863454e-05,0.0033222591362126247,0.004757689124129687,0.022113172236013987,0.02730793842091973,-0.041624551603925704
bert-base-multilingual-cased,1.0,en,affine,NQ_minus_QN,4,6.50273759137631,0.9947903953829796,0.9998763409189115,8.450513230081643e-05,0.0033222591362126247,-0.04813870032140062,0.06956083121531677,-0.021970318895397006,-0.05256518583490629
bert-base-multilingual-cased,1.0,en,affine,NM_minus_MN,4,5.016462878254912,0.9965534376080837,0.9998783299537156,8.690809405806716e-05,0.0033222591362126247,0.05326881789726188,-0.01276186157671395,-0.044134338519278254,-0.00989109680340884
bert-base-multilingual-cased,1.0,en,affine,NT_minus_TN,4,5.162555751362026,0.9987594299995167,0.9998769568056897,8.507055454498419e-05,0.0033222591362126247,-0.006275643561904612,0.019658239270368638,-0.015535504842506518,-0.028218352467077185
bert-base-multilingual-cased,1.0,en,affine,QM_minus_MQ,4,6.01539120734466,0.9975138891881405,0.9998691915799407,8.514027713383816e-05,0.0033222591362126247,0.04504047790951212,-0.028467233801224248,-0.04171865721023832,-0.0014793831220244835
