model,ridge_alpha,heldout_language,method,triple,basis_rank,relative_jacobi_operator_norm,jacobi_coeff_norm,jacobi_coef_N,jacobi_coef_Q,jacobi_coef_M,jacobi_coef_T
Qwen/Qwen3-Embedding-0.6B,100.0,en,linear,NQM,4,0.038218212405189064,0.002495747853791897,0.0013122082152209602,-0.0020854644441218265,0.0003292430271994727,0.00022204511018630992
Qwen/Qwen3-Embedding-0.6B,100.0,en,linear,NQT,4,0.03741327965566383,0.0027197033684566575,0.002258110371219666,-0.0013079781163942278,-0.0006994148975896226,-0.00031262759290916274
Qwen/Qwen3-Embedding-0.6B,100.0,en,linear,NMT,4,0.045166369753464726,0.003375017605637468,-0.0024108486150425093,0.0022041730892233993,0.00020915326275693525,0.0008224528552640479
Qwen/Qwen3-Embedding-0.6B,100.0,en,linear,QMT,4,0.04402834106390451,0.003176589459488694,-0.002472850513036112,0.001649203590900893,0.000462376879356145,0.0010208163750196138
Qwen/Qwen3-Embedding-0.6B,100.0,en,affine,NQM,4,0.029410181090731295,0.0020187069813327623,0.0010714749616351118,-0.0016514340964979724,-8.575190882207859e-05,0.000438783908237261
Qwen/Qwen3-Embedding-0.6B,100.0,en,affine,NQT,4,0.03532744418502892,0.0026970447409406504,0.0022854581522559355,-0.0012179122374118203,-0.0005815411415664331,-0.00047878079697357247
Qwen/Qwen3-Embedding-0.6B,100.0,en,affine,NMT,4,0.04169725344597147,0.0034353383355970966,-0.002698249419019545,0.0018428741868325958,0.0008228398384533863,0.0006691404071970412
Qwen/Qwen3-Embedding-0.6B,100.0,en,affine,QMT,4,0.047920714629410464,0.003926879607433344,-0.0032587936071690306,0.0015460141731289522,0.001039391167251759,0.0011533229621721506
Qwen/Qwen3-Embedding-0.6B,100.0,es,linear,NQM,4,0.021664085041632055,0.0013389875927682167,0.0008804557624446332,-0.0009641762165809564,-6.250423098541407e-05,0.0002900739017109576
Qwen/Qwen3-Embedding-0.6B,100.0,es,linear,NQT,4,0.036332647399752,0.0026702925262751306,0.0013230454182953533,-0.00020682470480990357,-0.00022816674217366944,-0.0022989511687407896
Qwen/Qwen3-Embedding-0.6B,100.0,es,linear,NMT,4,0.0316362630306478,0.0014615056401294233,-0.0012956624839745336,0.00018878728658248793,-0.0002930815152729824,0.0005794135393492035
Qwen/Qwen3-Embedding-0.6B,100.0,es,linear,QMT,4,0.02686398373077388,0.001990876583035348,-0.001120147056787054,-0.0008257050946747042,0.00046904215493552776,0.0013442732957146316
Qwen/Qwen3-Embedding-0.6B,100.0,es,affine,NQM,4,0.021798163608897338,0.0013663461239276952,0.0012817472872512239,-0.0003607778369679785,-0.0003044875269464355,-3.3945843384955475e-05
Qwen/Qwen3-Embedding-0.6B,100.0,es,affine,NQT,4,0.031389709803831975,0.003106355012117261,0.00210988531909517,0.0001047284495351089,-0.0010006483147847111,-0.0020458641947962214
Qwen/Qwen3-Embedding-0.6B,100.0,es,affine,NMT,4,0.03260199991972508,0.0018711249199374364,-0.0018222081700124822,5.897541078753524e-05,0.0004011009743934428,0.00012769401087643108
Qwen/Qwen3-Embedding-0.6B,100.0,es,affine,QMT,4,0.03134372408987773,0.002881061613931587,-0.0019042014071100313,-0.0010223626489467086,0.0013584627903918426,0.0013356221342841453
Qwen/Qwen3-Embedding-0.6B,100.0,fr,linear,NQM,4,0.01485862719707113,0.0012726339046228836,0.00046882265725203733,0.0008967862931345653,-0.00047883688799690047,-0.000605220579939442
Qwen/Qwen3-Embedding-0.6B,100.0,fr,linear,NQT,4,0.034707051763989166,0.0031972447459635493,0.001782561994045433,0.0009076157731328616,0.00013362199192451583,-0.0024906275262694044
Qwen/Qwen3-Embedding-0.6B,100.0,fr,linear,NMT,4,0.022777415878752056,0.0020491177845502486,-0.0005576517592038774,-0.001388222626136527,0.0006137650656429551,0.0012585859505396695
Qwen/Qwen3-Embedding-0.6B,100.0,fr,linear,QMT,4,0.041085418646272055,0.004206476880771869,-0.001467725359910784,-0.002141158315064071,0.00031532953224784523,0.0032948806309587813
Qwen/Qwen3-Embedding-0.6B,100.0,fr,affine,NQM,4,0.01941244920653894,0.002101365262505003,0.00036644869133306904,0.0017129299386559548,-0.0009540377869387776,-0.0006611612885159472
Qwen/Qwen3-Embedding-0.6B,100.0,fr,affine,NQT,4,0.03796282854326831,0.004089961170642344,0.0030645168906391065,0.0005127104764405706,-0.00015999134762081712,-0.002654816253601041
Qwen/Qwen3-Embedding-0.6B,100.0,fr,affine,NMT,4,0.02769161880505788,0.0032863241052547404,-0.0002523550584911994,-0.0025437617939096336,0.0017360214505121917,0.0011188156722353607
Qwen/Qwen3-Embedding-0.6B,100.0,fr,affine,QMT,4,0.04017033395581825,0.005285661701301117,-0.0025574549628146746,-0.002475857087060931,0.001249208168338939,0.0037023309374475746
Qwen/Qwen3-Embedding-0.6B,100.0,de,linear,NQM,4,0.025897603548983933,0.0018160003531937018,0.0007384560187972315,-0.0011330970908086286,-0.0010662310194511186,0.0005760055442988752
Qwen/Qwen3-Embedding-0.6B,100.0,de,linear,NQT,4,0.04880468464221069,0.003609703328057821,0.0025952582346224482,-0.00017744901991914065,-0.0003223893798633573,-0.0024817674639855242
Qwen/Qwen3-Embedding-0.6B,100.0,de,linear,NMT,4,0.011793392772137591,0.0007908773562072647,-0.00025262124491361117,-0.0003510759724423311,0.00010082463519406467,0.0006544077885320019
Qwen/Qwen3-Embedding-0.6B,100.0,de,linear,QMT,4,0.029947720525366255,0.002920410894555417,-0.0007083740531335926,-0.0017756485360244537,-9.513620073276895e-05,0.0022056807052947183
Qwen/Qwen3-Embedding-0.6B,100.0,de,affine,NQM,4,0.024118860050938364,0.002041652141189599,0.0008640753781210819,-0.0008589804024267057,-0.0015716341841845657,0.0004624239028189975
Qwen/Qwen3-Embedding-0.6B,100.0,de,affine,NQT,4,0.045027153396691715,0.004410480727538837,0.003079040955517319,4.1186245062212624e-05,-0.0003044477516309052,-0.0031428430285305488
Qwen/Qwen3-Embedding-0.6B,100.0,de,affine,NMT,4,0.014643916427811971,0.0013305825039147414,-1.9528334606246783e-05,-0.0009013855865239171,0.0009087502689125006,0.0003629675151166022
Qwen/Qwen3-Embedding-0.6B,100.0,de,affine,QMT,4,0.029342462109880302,0.003698233143259504,-0.0009602056147987362,-0.0025087232494896542,0.0005288942785847892,0.0024862646799491
Qwen/Qwen3-Embedding-0.6B,100.0,ru,linear,NQM,4,0.03891399012974557,0.0046098375818036455,0.002432337166493202,-0.00370998819994121,-0.0009376182006310256,0.0008313832481157686
Qwen/Qwen3-Embedding-0.6B,100.0,ru,linear,NQT,4,0.057553618167744465,0.0058360527439110495,0.0038139891012949874,-3.675471387257906e-05,-0.00039747063229474003,-0.004399280049324675
Qwen/Qwen3-Embedding-0.6B,100.0,ru,linear,NMT,4,0.041032665460210206,0.0037252286047819837,-0.002310625276275691,0.0005211107050663586,-0.0005163377252095629,0.002828458586776987
Qwen/Qwen3-Embedding-0.6B,100.0,ru,linear,QMT,4,0.05416715858480191,0.006297378239008103,-0.002271037808880579,-0.001747738848359247,-0.0014497458050274342,0.005416918494357189
Qwen/Qwen3-Embedding-0.6B,100.0,ru,affine,NQM,4,0.03897305910549435,0.005174231137681396,0.0036660053387018877,-0.0030243695004346692,-0.0020302750758177833,0.0002534659032584338
Qwen/Qwen3-Embedding-0.6B,100.0,ru,affine,NQT,4,0.06431904005029623,0.007662177041176723,0.005291237949868215,-0.00017755714192844736,-0.0004415434530216716,-0.005521346829230526
Qwen/Qwen3-Embedding-0.6B,100.0,ru,affine,NMT,4,0.031320128615559245,0.003395494812348199,-0.002720769219716905,0.0007935662762650845,0.000460002671715894,0.0018125810274063894
Qwen/Qwen3-Embedding-0.6B,100.0,ru,affine,QMT,4,0.04684842387787838,0.006458644519845443,-0.003410149838393786,-0.0011453359446455535,-0.0007952177421838031,0.005304790422801959
Qwen/Qwen3-Embedding-0.6B,100.0,zh,linear,NQM,4,0.01434668461447019,0.0010709604575296695,0.0005101782044545312,-0.0009382200398786963,5.116506970942133e-05,6.164246672025054e-05
Qwen/Qwen3-Embedding-0.6B,100.0,zh,linear,NQT,4,0.027534308221340398,0.0018226262011903785,0.00048191885598947506,-0.0017476218012321548,1.4987428755392976e-05,0.00018791993599627998
Qwen/Qwen3-Embedding-0.6B,100.0,zh,linear,NMT,4,0.01249651420197271,0.001068884905697876,-0.00017362320279953576,-0.00046891144965052094,-0.00013745728349415145,0.0009346643636511686
Qwen/Qwen3-Embedding-0.6B,100.0,zh,linear,QMT,4,0.015414587166746783,0.0009605372619338575,-8.693031216649581e-05,-0.00045272862056478934,0.0006207504139876833,0.0005698953167430406
Qwen/Qwen3-Embedding-0.6B,100.0,zh,affine,NQM,4,0.010470285176010402,0.0009108439185669639,-0.00030316939351255007,0.0007525603832268048,-0.0004133146443770009,2.342727403460438e-05
Qwen/Qwen3-Embedding-0.6B,100.0,zh,affine,NQT,4,0.01879491416133996,0.0013129874317882252,0.0003366107751639094,-0.0011812930485821014,0.0003419466755720603,-0.0003134459865977118
Qwen/Qwen3-Embedding-0.6B,100.0,zh,affine,NMT,4,0.02447956047376204,0.0026005283277560857,0.0006972740748064235,-0.0022825539501287505,0.0010285957715069991,9.216643453160067e-05
Qwen/Qwen3-Embedding-0.6B,100.0,zh,affine,QMT,4,0.019361800298827534,0.0019466148067312614,1.5616900358033986e-05,-0.0013139629253565931,0.001394826733933133,0.00034208936157437836
Qwen/Qwen3-Embedding-0.6B,100.0,ar,linear,NQM,4,0.06365759914574078,0.006618340886271114,0.005578347160315068,-0.003044263059937087,-0.0018484805162650173,7.826160222966462e-06
Qwen/Qwen3-Embedding-0.6B,100.0,ar,linear,NQT,4,0.046475166769613566,0.006305818870201012,0.001954062855514598,0.0024039293580820666,0.0008046281733057731,-0.005433110262506649
