model,ridge_alpha,heldout_language,method,triple,basis_rank,relative_jacobi_operator_norm,jacobi_coeff_norm,jacobi_coef_N,jacobi_coef_Q,jacobi_coef_M,jacobi_coef_T,mean_relative_jacobi_operator_norm,mean_jacobi_coeff_norm,cells
BAAI/bge-m3,0.1,en,linear,NQM,4.0,0.0466490001816232,0.0026063932760857,-0.0013228961040713,0.0001146128938657,0.0021605317752263,0.0006018289958572,,,
BAAI/bge-m3,0.1,en,linear,NQT,4.0,0.0854273233233876,0.009846365554279,-0.0034086858580278,-0.0057161388154477,-0.0010349350314664,0.0071823702127465,,,
BAAI/bge-m3,0.1,en,linear,NMT,4.0,0.0700171930861673,0.0076511934020794,0.0006882340327071,-0.0048457072502111,-0.0032663325444107,0.004890530374798,,,
BAAI/bge-m3,0.1,en,linear,QMT,4.0,0.0613596371198861,0.0046119924657214,-0.0004712401970353,-0.003802503013164,-2.1641051169839773e-05,0.0025668871576974,,,
BAAI/bge-m3,0.1,en,affine,NQM,4.0,0.056766327225463,0.003476800803833,-0.0001256107175259,-0.0017173342723393,0.0030049595153198,0.0003055275527894,,,
BAAI/bge-m3,0.1,en,affine,NQT,4.0,0.1092781670568903,0.0138815810744312,-0.0023043643024704,-0.0104567442110773,-2.0581689880444748e-05,0.0088342670995193,,,
BAAI/bge-m3,0.1,en,affine,NMT,4.0,0.0386350062362786,0.0044378461945556,-0.0011439166406177,-0.0020934808472758,-0.0023159532994039,0.0029393250624793,,,
BAAI/bge-m3,0.1,en,affine,QMT,4.0,0.0653288552727458,0.0051893572961369,-0.00076280612607,-0.0043162125337258,0.0006391090658077,0.0027035911167758,,,
BAAI/bge-m3,0.1,es,linear,NQM,4.0,0.0696197776952947,0.0045606091432343,0.001500002749478,0.0040566137734104,-0.0003085822897347,-0.0014134387757345,,,
BAAI/bge-m3,0.1,es,linear,NQT,4.0,0.1156465336602182,0.0138446522846892,0.004215414183107,-0.0034185299692975,0.0018980673319669,0.0125942714517809,,,
BAAI/bge-m3,0.1,es,linear,NMT,4.0,0.0597011900741475,0.0051884374891333,-0.0015344778865717,0.0020768416803317,-0.0044243731057359,0.0008227468932443,,,
BAAI/bge-m3,0.1,es,linear,QMT,4.0,0.0660741887719178,0.0042650578271226,-4.23855924708033e-05,-0.0002879186603939,-0.0039638504597431,0.001547227878511,,,
BAAI/bge-m3,0.1,es,affine,NQM,4.0,0.0700373883426091,0.0049928684547448,0.001457325374049,0.0043987144467612,-0.0014623294866075,-0.0011479729304258,,,
BAAI/bge-m3,0.1,es,affine,NQT,4.0,0.0933199318413333,0.0126235025532789,0.0018201706815509,-0.0032903411742214,0.0018711736075846,0.01190429165008,,,
BAAI/bge-m3,0.1,es,affine,NMT,4.0,0.0596615939080834,0.005055496656292,-0.0019850940744238,0.0025799699970038,-0.00384432104116,0.000427081379272,,,
BAAI/bge-m3,0.1,es,affine,QMT,4.0,0.0673296055079566,0.0044598543125287,-0.0003271044745222,0.0005565248474156,-0.0038355615879684,0.0021822123065455,,,
