model,ridge_alpha,heldout_language,method,triple,basis_rank,relative_jacobi_operator_norm,jacobi_coeff_norm,jacobi_coef_N,jacobi_coef_Q,jacobi_coef_M,jacobi_coef_T
intfloat/multilingual-e5-large,0.1,en,linear,NQM,4,0.1484301387649542,0.012556854781860161,-0.00016674803932143845,-0.0007229509603565458,-0.0024225288214022207,0.012298597201408865
intfloat/multilingual-e5-large,0.1,en,linear,NQT,4,0.11607761008877888,0.019584291573480624,-0.0034977482237767733,-0.004748754637698896,-0.00934379873665758,0.016169507981319036
intfloat/multilingual-e5-large,0.1,en,linear,NMT,4,0.24320538137322528,0.03834607521860549,0.011118561646152839,0.007668112481585439,-0.03419701610392445,-0.01088867357162177
intfloat/multilingual-e5-large,0.1,en,linear,QMT,4,0.19067232764363645,0.023151708648446442,-0.005931980498669429,-0.005352840117168099,-0.010268924790975631,0.019149660754783027
intfloat/multilingual-e5-large,0.1,en,affine,NQM,4,0.13648663866913208,0.010662143365048333,0.0007925954589458914,7.074960981033498e-05,0.0010176156483065364,0.010583597992192252
intfloat/multilingual-e5-large,0.1,en,affine,NQT,4,0.12420762549018317,0.02057590582488367,-0.0051469297220114105,-0.005350780634363601,-0.008752354657613273,0.017077542255881904
intfloat/multilingual-e5-large,0.1,en,affine,NMT,4,0.23505524624277518,0.036720286397837545,0.011820887807870748,0.00414513629998849,-0.03225363391879062,-0.012294998522167564
intfloat/multilingual-e5-large,0.1,en,affine,QMT,4,0.17521782323981394,0.018653803482182398,-0.004016172859610603,-0.006016331537890459,-0.0069592299937524535,0.01572283729591603
intfloat/multilingual-e5-large,0.1,es,linear,NQM,4,0.14742796444328246,0.01514120888305744,-0.000722011385855818,-0.0030993394197445234,0.0011099093115335742,0.014761338099253089
intfloat/multilingual-e5-large,0.1,es,linear,NQT,4,0.17031512579371175,0.02490337659627475,-0.0007079299357455756,0.0030086132718467654,-0.019739429195553465,0.014865402191537208
intfloat/multilingual-e5-large,0.1,es,linear,NMT,4,0.1829226989910671,0.03386397955208972,0.013892916175259017,0.0025115685748668985,-0.029399134430833307,-0.009118054028306111
intfloat/multilingual-e5-large,0.1,es,linear,QMT,4,0.1765612553766055,0.023282608520290234,-0.004494828176468818,-0.00048371042995397524,-0.011957081548032022,0.01945946053329278
intfloat/multilingual-e5-large,0.1,es,affine,NQM,4,0.11868532792888192,0.012847473857352024,-0.0033627172598919633,-0.004395363397822287,0.0028005834897093127,0.01125109905136472
intfloat/multilingual-e5-large,0.1,es,affine,NQT,4,0.12369042093520242,0.019245224911164163,-0.0010591340922100814,0.0026745835129284882,-0.016762425271138214,0.00900692061238968
intfloat/multilingual-e5-large,0.1,es,affine,NMT,4,0.1755742777104913,0.02856347792620625,0.01485479848813049,-0.0011334849991630298,-0.022492008245160865,-0.0093825375018806
intfloat/multilingual-e5-large,0.1,es,affine,QMT,4,0.11732725159860442,0.013225888125873579,-0.002403925629419517,-0.001917825591661391,-0.007938181258117108,0.010121881327084933
