model,ridge_alpha,heldout_language,method,triple,basis_rank,relative_jacobi_operator_norm,jacobi_coeff_norm,jacobi_coef_N,jacobi_coef_Q,jacobi_coef_M,jacobi_coef_T
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,en,linear,NQM,4,0.2807014313191886,0.10146099067460927,-0.054739701066959155,0.08307433361184331,-0.01591146679614317,-0.011974058422961446
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,en,linear,NQT,4,0.2529744379965716,0.09142372698631175,-0.041408012266966165,0.07030664359998075,0.011164780160074453,-0.03969884035899464
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,en,linear,NMT,4,0.18272763437285683,0.12557897074020472,0.006375538064275765,0.006830586762227114,0.08177796256513536,-0.09484270309169371
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,en,linear,QMT,4,0.10540564968177642,0.05510949899607635,0.003915709856860419,0.01097164035540138,0.029800357009228534,-0.044869654845448484
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,en,affine,NQM,4,0.06956100078874203,0.04593891096422733,-0.005700687687966666,0.03838884877631066,-0.01064278536909644,-0.022156559066794864
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,en,affine,NQT,4,0.06977732896117615,0.054082519904434447,-0.006671327464330634,0.034390349996100245,0.01174492594143551,-0.039493960181946036
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,en,affine,NMT,4,0.04906131514906812,0.03636346523052934,-0.0015560902997344278,-0.000658958161312867,0.026800273622251458,-0.024519202565847865
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,en,affine,QMT,4,0.020713743338467015,0.010945623558394941,-0.001093801049622506,0.0057993080232861954,0.003708700836711043,-0.008439421716015985
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,es,linear,NQM,4,0.2949195186334509,0.10841823096383707,-0.06014642674387862,0.08805217633443174,-0.015882221239381124,-0.011466884779426856
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,es,linear,NQT,4,0.2629375281983717,0.0941921328012183,-0.03806871542930575,0.06845223291473017,0.018759929551078188,-0.04883940662447689
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,es,linear,NMT,4,0.2470263790867936,0.16634200031181465,0.023341782889417434,0.00974134260223461,0.09835083008408411,-0.13174612975475428
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,es,linear,QMT,4,0.1391432749089084,0.0781084629972964,0.00301009392402532,0.01526694965995637,0.0440852133137799,-0.06257224258029631
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,es,affine,NQM,4,0.1153298517030008,0.07244003266308219,-0.01302679569858739,0.0603693544333682,-0.011340425471985896,-0.036121970066268265
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,es,affine,NQT,4,0.13606765546229654,0.09488602784555145,-0.005714269792464269,0.05629291000286696,0.022129053889348042,-0.07288428265694288
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,es,affine,NMT,4,0.07948782233925111,0.06917678264159545,0.007178022740227233,0.0054943684792054595,0.04169048681349968,-0.0544574923261386
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,es,affine,QMT,4,0.03157536200791428,0.017814984332322644,-0.00022214343589341962,0.008384497181866818,0.006232857118342025,-0.014428306144672401
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,100.0,fr,linear,NQM,4,0.27483776398051885,0.10764812912962463,-0.05226763547681118,0.09027608324294592,-0.01847961920361965,-0.019103571790988122
