ridge_alpha,method,triple,mean_relative_jacobi_operator_norm,std_relative_jacobi_operator_norm,cells
0.1,affine,NMT,0.10701166343862266,0.05316211964013265,63
0.1,affine,NQM,0.08734912355817775,0.04443755966228214,63
0.1,affine,NQT,0.09679601739710804,0.055149970734612,63
0.1,affine,QMT,0.09696894496814439,0.053772103394208494,63
0.1,linear,NMT,0.10456887596519797,0.055022866442596095,63
0.1,linear,NQM,0.08061589988034179,0.04097376894865461,63
0.1,linear,NQT,0.0922041595948834,0.05202801769149957,63
0.1,linear,QMT,0.09621072402351608,0.05767590194752287,63
1.0,affine,NMT,0.0976009117792109,0.05824034352722909,63
1.0,affine,NQM,0.07550572915222065,0.031170725098717177,63
1.0,affine,NQT,0.07740526338188952,0.049647560836369724,63
1.0,affine,QMT,0.0832468026717606,0.04559528853829773,63
1.0,linear,NMT,0.09495819738542416,0.05767144566160578,63
1.0,linear,NQM,0.06877087572709853,0.03056300912824302,63
1.0,linear,NQT,0.07208185057143097,0.045911612276344264,63
1.0,linear,QMT,0.08307263873956146,0.048968394540718,63
10.0,affine,NMT,0.0664330403374675,0.03649565098593177,63
10.0,affine,NQM,0.061996043144116934,0.02799644678496212,63
10.0,affine,NQT,0.05562976576356817,0.03184021545772782,63
10.0,affine,QMT,0.07324556149213565,0.03445370615804612,63
10.0,linear,NMT,0.06701092365581605,0.03734397178998925,63
10.0,linear,NQM,0.06209056356439412,0.03113356109024249,63
10.0,linear,NQT,0.06922760699463627,0.041330177231619046,63
10.0,linear,QMT,0.06951380195213697,0.02961625033692334,63
100.0,affine,NMT,0.036047320095550624,0.025859287318341286,63
100.0,affine,NQM,0.0489454706982818,0.03313171527625202,63
100.0,affine,NQT,0.04076511427450758,0.03195816830641553,63
100.0,affine,QMT,0.04293572816046734,0.028552920624526235,63
100.0,linear,NMT,0.05087988572531957,0.057225716668024965,63
100.0,linear,NQM,0.08034453975368172,0.07747078404581477,63
100.0,linear,NQT,0.09902525871086945,0.07793588460623214,63
100.0,linear,QMT,0.05893913557317479,0.03706499488381944,63
