model,ridge_alpha,heldout_language,method,operator,target_cosine,mse,n_test
BAAI/bge-m3,0.1,en,additive,N,0.8594987988471985,0.3837282061576843,160
BAAI/bge-m3,0.1,en,linear,N,0.8909849360936605,0.31694726435876613,160
BAAI/bge-m3,0.1,en,affine,N,0.8903091549873352,0.3192024827003479,160
BAAI/bge-m3,0.1,en,additive,Q,0.9442617297172546,0.14583201706409454,160
BAAI/bge-m3,0.1,en,linear,Q,0.8494215462697194,0.4287757774766437,160
BAAI/bge-m3,0.1,en,affine,Q,0.8492903709411621,0.4292166233062744,160
BAAI/bge-m3,0.1,en,additive,M,0.9822865724563599,0.04808953031897545,160
BAAI/bge-m3,0.1,en,linear,M,0.9491892565294595,0.13389599401052163,160
BAAI/bge-m3,0.1,en,affine,M,0.9491857290267944,0.13399431109428406,160
BAAI/bge-m3,0.1,en,additive,T,0.9453514218330383,0.15245476365089417,160
BAAI/bge-m3,0.1,en,linear,T,0.9150338772952274,0.24241995888351572,160
BAAI/bge-m3,0.1,en,affine,T,0.9155427813529968,0.24106784164905548,160
BAAI/bge-m3,0.1,es,additive,N,0.8618721961975098,0.39397329092025757,160
BAAI/bge-m3,0.1,es,linear,N,0.7871291600770235,0.6695178796960115,160
BAAI/bge-m3,0.1,es,affine,N,0.8010625839233398,0.655707061290741,160
BAAI/bge-m3,0.1,es,additive,Q,0.9469982981681824,0.15330453217029572,160
BAAI/bge-m3,0.1,es,linear,Q,0.8511647265249899,0.5264434390343027,160
BAAI/bge-m3,0.1,es,affine,Q,0.8507034182548523,0.5416120886802673,160
BAAI/bge-m3,0.1,es,additive,M,0.9544795155525208,0.1277608871459961,160
BAAI/bge-m3,0.1,es,linear,M,0.8802978591253467,0.34937650458500247,160
BAAI/bge-m3,0.1,es,affine,M,0.8751178979873657,0.3722100555896759,160
BAAI/bge-m3,0.1,es,additive,T,0.9254791140556335,0.22486229240894318,160
BAAI/bge-m3,0.1,es,linear,T,0.8367134977663049,0.5519433244164995,160
BAAI/bge-m3,0.1,es,affine,T,0.8431913256645203,0.5528413653373718,160
BAAI/bge-m3,0.1,fr,additive,N,0.8930782079696655,0.2849233150482178,160
BAAI/bge-m3,0.1,fr,linear,N,0.8657988097741758,0.38105803256319615,160
BAAI/bge-m3,0.1,fr,affine,N,0.8665207028388977,0.3828657269477844,160
BAAI/bge-m3,0.1,fr,additive,Q,0.9153528213500977,0.2388777732849121,160
BAAI/bge-m3,0.1,fr,linear,Q,0.8828674434387762,0.3450190475569759,160
BAAI/bge-m3,0.1,fr,affine,Q,0.8842464685440063,0.33958595991134644,160
BAAI/bge-m3,0.1,fr,additive,M,0.956037163734436,0.11276879161596298,160
BAAI/bge-m3,0.1,fr,linear,M,0.9248485514517661,0.18760402593452935,160
BAAI/bge-m3,0.1,fr,affine,M,0.9239585995674133,0.19012022018432617,160
BAAI/bge-m3,0.1,fr,additive,T,0.9529949426651001,0.12342645972967148,160
BAAI/bge-m3,0.1,fr,linear,T,0.9042175761873577,0.2596618494145312,160
BAAI/bge-m3,0.1,fr,affine,T,0.9072877764701843,0.24984610080718994,160
BAAI/bge-m3,0.1,de,additive,N,0.8885700106620789,0.3138696849346161,160
BAAI/bge-m3,0.1,de,linear,N,0.8285202943480374,0.4684233883463815,160
BAAI/bge-m3,0.1,de,affine,N,0.8388530611991882,0.44813117384910583,160
BAAI/bge-m3,0.1,de,additive,Q,0.9180769920349121,0.22288744151592255,160
BAAI/bge-m3,0.1,de,linear,Q,0.8941084049931434,0.2910425038445926,160
BAAI/bge-m3,0.1,de,affine,Q,0.8958608508110046,0.28691163659095764,160
BAAI/bge-m3,0.1,de,additive,M,0.9618545770645142,0.1009022444486618,160
BAAI/bge-m3,0.1,de,linear,M,0.9188926083320444,0.20678768837677017,160
BAAI/bge-m3,0.1,de,affine,M,0.9215324521064758,0.20226244628429413,160
BAAI/bge-m3,0.1,de,additive,T,0.9246416091918945,0.21071657538414001,160
BAAI/bge-m3,0.1,de,linear,T,0.8617761263324795,0.39310842383903544,160
BAAI/bge-m3,0.1,de,affine,T,0.8712665438652039,0.3693943917751312,160
BAAI/bge-m3,0.1,ru,additive,N,0.7809357643127441,0.7109681963920593,160
BAAI/bge-m3,0.1,ru,linear,N,0.533400359344936,1.7344046739668006,160
BAAI/bge-m3,0.1,ru,affine,N,0.5256001353263855,1.953290581703186,160
BAAI/bge-m3,0.1,ru,additive,Q,0.8412039875984192,0.5216783285140991,160
BAAI/bge-m3,0.1,ru,linear,Q,0.6239353783743118,1.5087613760506973,160
BAAI/bge-m3,0.1,ru,affine,Q,0.6236475110054016,1.5847513675689697,160
BAAI/bge-m3,0.1,ru,additive,M,0.935832142829895,0.18774588406085968,160
BAAI/bge-m3,0.1,ru,linear,M,0.7313913689876486,0.9230463799501306,160
BAAI/bge-m3,0.1,ru,affine,M,0.7276597023010254,0.9649320840835571,160
BAAI/bge-m3,0.1,ru,additive,T,0.9027081727981567,0.2873455286026001,160
BAAI/bge-m3,0.1,ru,linear,T,0.6223015290796278,1.2961708073793812,160
BAAI/bge-m3,0.1,ru,affine,T,0.6615363359451294,1.1785962581634521,160
BAAI/bge-m3,0.1,zh,additive,N,0.9028300046920776,0.2735157907009125,160
BAAI/bge-m3,0.1,zh,linear,N,0.7979924903881706,0.6050641641478307,160
BAAI/bge-m3,0.1,zh,affine,N,0.8136060833930969,0.5664290189743042,160
BAAI/bge-m3,0.1,zh,additive,Q,0.9333924055099487,0.18957941234111786,160
BAAI/bge-m3,0.1,zh,linear,Q,0.881676790466282,0.34244903556659556,160
BAAI/bge-m3,0.1,zh,affine,Q,0.8730827569961548,0.3738929331302643,160
BAAI/bge-m3,0.1,zh,additive,M,0.9775152206420898,0.060239873826503754,160
BAAI/bge-m3,0.1,zh,linear,M,0.923334762360833,0.20308303911801717,160
BAAI/bge-m3,0.1,zh,affine,M,0.927075982093811,0.19422051310539246,160
BAAI/bge-m3,0.1,zh,additive,T,0.9541274309158325,0.12561097741127014,160
BAAI/bge-m3,0.1,zh,linear,T,0.896230999404872,0.2849736156197834,160
BAAI/bge-m3,0.1,zh,affine,T,0.8992587327957153,0.2846980690956116,160
BAAI/bge-m3,0.1,ar,additive,N,0.7329573631286621,0.9800283312797546,160
BAAI/bge-m3,0.1,ar,linear,N,0.3626406315517495,3.5411588583605806,160
BAAI/bge-m3,0.1,ar,affine,N,0.2749253809452057,4.691714286804199,160
BAAI/bge-m3,0.1,ar,additive,Q,0.7821540236473083,0.7636414766311646,160
BAAI/bge-m3,0.1,ar,linear,Q,0.4357643618392523,2.5905199782865487,160
BAAI/bge-m3,0.1,ar,affine,Q,0.43244582414627075,2.936979293823242,160
BAAI/bge-m3,0.1,ar,additive,M,0.9402869939804077,0.19397220015525818,160
BAAI/bge-m3,0.1,ar,linear,M,0.6315582018726613,1.4734459505652064,160
BAAI/bge-m3,0.1,ar,affine,M,0.5192050933837891,2.3434574604034424,160
BAAI/bge-m3,0.1,ar,additive,T,0.8160204887390137,0.6108875870704651,160
BAAI/bge-m3,0.1,ar,linear,T,0.47046659396775625,2.5406543387509295,160
BAAI/bge-m3,0.1,ar,affine,T,0.4520302712917328,2.628859281539917,160
