model,ridge_alpha,heldout_language,method,operator,target_cosine,mse,n_test
Qwen/Qwen3-Embedding-0.6B,1.0,en,additive,N,0.9309245944023132,2.6212635040283203,160
Qwen/Qwen3-Embedding-0.6B,1.0,en,linear,N,0.7049753693136052,10.90675087446889,160
Qwen/Qwen3-Embedding-0.6B,1.0,en,affine,N,0.6803215146064758,12.243029594421387,160
Qwen/Qwen3-Embedding-0.6B,1.0,en,additive,Q,0.9538220167160034,1.7006471157073975,160
Qwen/Qwen3-Embedding-0.6B,1.0,en,linear,Q,0.8682396015093012,4.662360882810285,160
Qwen/Qwen3-Embedding-0.6B,1.0,en,affine,Q,0.8534501791000366,5.150184154510498,160
Qwen/Qwen3-Embedding-0.6B,1.0,en,additive,M,0.9741888046264648,0.9755443334579468,160
Qwen/Qwen3-Embedding-0.6B,1.0,en,linear,M,0.8453805676811472,5.457482578704117,160
Qwen/Qwen3-Embedding-0.6B,1.0,en,affine,M,0.8136321306228638,6.580346584320068,160
Qwen/Qwen3-Embedding-0.6B,1.0,en,additive,T,0.9349937438964844,2.3907909393310547,160
Qwen/Qwen3-Embedding-0.6B,1.0,en,linear,T,0.851121021634515,5.165507610091615,160
Qwen/Qwen3-Embedding-0.6B,1.0,en,affine,T,0.8376935720443726,5.686001777648926,160
Qwen/Qwen3-Embedding-0.6B,1.0,es,additive,N,0.9271858930587769,2.0647146701812744,160
Qwen/Qwen3-Embedding-0.6B,1.0,es,linear,N,0.628537228838827,11.292074546353408,160
Qwen/Qwen3-Embedding-0.6B,1.0,es,affine,N,0.5755354762077332,14.838920593261719,160
Qwen/Qwen3-Embedding-0.6B,1.0,es,additive,Q,0.9737340807914734,0.7551247477531433,160
Qwen/Qwen3-Embedding-0.6B,1.0,es,linear,Q,0.7809631260668469,6.590829367510044,160
Qwen/Qwen3-Embedding-0.6B,1.0,es,affine,Q,0.7048413753509521,8.810392379760742,160
Qwen/Qwen3-Embedding-0.6B,1.0,es,additive,M,0.9441947937011719,1.5698961019515991,160
Qwen/Qwen3-Embedding-0.6B,1.0,es,linear,M,0.7665982969210504,6.755886120599678,160
Qwen/Qwen3-Embedding-0.6B,1.0,es,affine,M,0.651004433631897,12.796196937561035,160
Qwen/Qwen3-Embedding-0.6B,1.0,es,additive,T,0.9357321858406067,1.8893883228302002,160
Qwen/Qwen3-Embedding-0.6B,1.0,es,linear,T,0.6825528412178226,9.99878347332676,160
Qwen/Qwen3-Embedding-0.6B,1.0,es,affine,T,0.6930133104324341,9.60655689239502,160
Qwen/Qwen3-Embedding-0.6B,1.0,fr,additive,N,0.9497231245040894,1.7739512920379639,160
Qwen/Qwen3-Embedding-0.6B,1.0,fr,linear,N,0.5456125680295496,19.4709022138861,160
Qwen/Qwen3-Embedding-0.6B,1.0,fr,affine,N,0.38827815651893616,35.097286224365234,160
Qwen/Qwen3-Embedding-0.6B,1.0,fr,additive,Q,0.976335883140564,0.7960008382797241,160
Qwen/Qwen3-Embedding-0.6B,1.0,fr,linear,Q,0.7136988288595161,11.316105186266668,160
Qwen/Qwen3-Embedding-0.6B,1.0,fr,affine,Q,0.5740917325019836,17.398237228393555,160
Qwen/Qwen3-Embedding-0.6B,1.0,fr,additive,M,0.9629051089286804,1.2388051748275757,160
Qwen/Qwen3-Embedding-0.6B,1.0,fr,linear,M,0.6374210264249571,15.141476192778706,160
Qwen/Qwen3-Embedding-0.6B,1.0,fr,affine,M,0.3031061291694641,61.11748504638672,160
Qwen/Qwen3-Embedding-0.6B,1.0,fr,additive,T,0.9640710949897766,1.2172362804412842,160
Qwen/Qwen3-Embedding-0.6B,1.0,fr,linear,T,0.5547467577605741,18.198954855787242,160
Qwen/Qwen3-Embedding-0.6B,1.0,fr,affine,T,0.3173953890800476,39.970542907714844,160
Qwen/Qwen3-Embedding-0.6B,1.0,de,additive,N,0.9096649289131165,2.6448307037353516,160
Qwen/Qwen3-Embedding-0.6B,1.0,de,linear,N,0.5963438158334359,12.50057009319564,160
