model,ridge_alpha,heldout_language,method,operator,target_cosine,mse,n_test
intfloat/multilingual-e5-large-instruct,0.1,en,additive,N,0.8158832788467407,0.40159058570861816,160
intfloat/multilingual-e5-large-instruct,0.1,en,linear,N,0.7452321653953797,0.6201906225535878,160
intfloat/multilingual-e5-large-instruct,0.1,en,affine,N,0.7458977699279785,0.639885663986206,160
intfloat/multilingual-e5-large-instruct,0.1,en,additive,Q,0.9168328046798706,0.16601762175559998,160
intfloat/multilingual-e5-large-instruct,0.1,en,linear,Q,0.7557356645933396,0.4487247276850672,160
intfloat/multilingual-e5-large-instruct,0.1,en,affine,Q,0.7505361437797546,0.462334543466568,160
intfloat/multilingual-e5-large-instruct,0.1,en,additive,M,0.9771035313606262,0.05324528366327286,160
intfloat/multilingual-e5-large-instruct,0.1,en,linear,M,0.8099236650707745,0.4624864027476253,160
intfloat/multilingual-e5-large-instruct,0.1,en,affine,M,0.8149566650390625,0.4499816298484802,160
intfloat/multilingual-e5-large-instruct,0.1,en,additive,T,0.9538496136665344,0.10302875190973282,160
intfloat/multilingual-e5-large-instruct,0.1,en,linear,T,0.8328296609448212,0.35492701694825995,160
intfloat/multilingual-e5-large-instruct,0.1,en,affine,T,0.8156406283378601,0.3943212330341339,160
intfloat/multilingual-e5-large-instruct,0.1,es,additive,N,0.8850967288017273,0.21859893202781677,160
intfloat/multilingual-e5-large-instruct,0.1,es,linear,N,0.6532031903236253,0.7875139684645,160
intfloat/multilingual-e5-large-instruct,0.1,es,affine,N,0.6894488334655762,0.7243327498435974,160
intfloat/multilingual-e5-large-instruct,0.1,es,additive,Q,0.9580382108688354,0.07544706761837006,160
intfloat/multilingual-e5-large-instruct,0.1,es,linear,Q,0.7789192243358418,0.3799167191782493,160
intfloat/multilingual-e5-large-instruct,0.1,es,affine,Q,0.7883337736129761,0.3657236099243164,160
intfloat/multilingual-e5-large-instruct,0.1,es,additive,M,0.9599321484565735,0.07571201026439667,160
intfloat/multilingual-e5-large-instruct,0.1,es,linear,M,0.8116076790532581,0.39755834105869564,160
intfloat/multilingual-e5-large-instruct,0.1,es,affine,M,0.8079268336296082,0.4174532890319824,160
intfloat/multilingual-e5-large-instruct,0.1,es,additive,T,0.9587401151657104,0.08168260008096695,160
intfloat/multilingual-e5-large-instruct,0.1,es,linear,T,0.653803522744906,0.8819605354253863,160
intfloat/multilingual-e5-large-instruct,0.1,es,affine,T,0.6523332595825195,0.8651227951049805,160
intfloat/multilingual-e5-large-instruct,0.1,fr,additive,N,0.8746064305305481,0.23407526314258575,160
intfloat/multilingual-e5-large-instruct,0.1,fr,linear,N,0.6309065937210129,0.6976886055797173,160
intfloat/multilingual-e5-large-instruct,0.1,fr,affine,N,0.6537340879440308,0.6674574613571167,160
intfloat/multilingual-e5-large-instruct,0.1,fr,additive,Q,0.9454895257949829,0.09592614322900772,160
intfloat/multilingual-e5-large-instruct,0.1,fr,linear,Q,0.8492333938191348,0.25938039752428116,160
intfloat/multilingual-e5-large-instruct,0.1,fr,affine,Q,0.8491343259811401,0.2662292420864105,160
intfloat/multilingual-e5-large-instruct,0.1,fr,additive,M,0.9562514424324036,0.08479254692792892,160
intfloat/multilingual-e5-large-instruct,0.1,fr,linear,M,0.7697835943122484,0.4431356442680663,160
intfloat/multilingual-e5-large-instruct,0.1,fr,affine,M,0.7740927934646606,0.438567578792572,160
intfloat/multilingual-e5-large-instruct,0.1,fr,additive,T,0.9695583581924438,0.05965645983815193,160
intfloat/multilingual-e5-large-instruct,0.1,fr,linear,T,0.7640163228597305,0.5707989354116707,160
intfloat/multilingual-e5-large-instruct,0.1,fr,affine,T,0.7896593809127808,0.4817672669887543,160
intfloat/multilingual-e5-large-instruct,0.1,de,additive,N,0.8751103281974792,0.2420763075351715,160
intfloat/multilingual-e5-large-instruct,0.1,de,linear,N,0.41916793931982976,1.452819241756178,160
intfloat/multilingual-e5-large-instruct,0.1,de,affine,N,0.45251601934432983,1.359858751296997,160
intfloat/multilingual-e5-large-instruct,0.1,de,additive,Q,0.9138315916061401,0.145305797457695,160
intfloat/multilingual-e5-large-instruct,0.1,de,linear,Q,0.7624138987405396,0.41449163323513377,160
intfloat/multilingual-e5-large-instruct,0.1,de,affine,Q,0.7647489309310913,0.4182613492012024,160
intfloat/multilingual-e5-large-instruct,0.1,de,additive,M,0.9624379873275757,0.07120497524738312,160
intfloat/multilingual-e5-large-instruct,0.1,de,linear,M,0.7040528626835045,0.7518979178550405,160
intfloat/multilingual-e5-large-instruct,0.1,de,affine,M,0.7100378274917603,0.7544630169868469,160
intfloat/multilingual-e5-large-instruct,0.1,de,additive,T,0.9405975341796875,0.11275605112314224,160
intfloat/multilingual-e5-large-instruct,0.1,de,linear,T,0.7399174547243715,0.6213399433424986,160
intfloat/multilingual-e5-large-instruct,0.1,de,affine,T,0.739276111125946,0.6321613192558289,160
intfloat/multilingual-e5-large-instruct,0.1,ru,additive,N,0.8083747625350952,0.4101240634918213,160
intfloat/multilingual-e5-large-instruct,0.1,ru,linear,N,0.5032411944759614,1.3402305560289527,160
intfloat/multilingual-e5-large-instruct,0.1,ru,affine,N,0.4965890049934387,1.403400182723999,160
intfloat/multilingual-e5-large-instruct,0.1,ru,additive,Q,0.895860493183136,0.19093631207942963,160
intfloat/multilingual-e5-large-instruct,0.1,ru,linear,Q,0.65654859986894,0.6325912430054479,160
intfloat/multilingual-e5-large-instruct,0.1,ru,affine,Q,0.65171217918396,0.6579049229621887,160
intfloat/multilingual-e5-large-instruct,0.1,ru,additive,M,0.9285001754760742,0.13251417875289917,160
intfloat/multilingual-e5-large-instruct,0.1,ru,linear,M,0.7063343086889768,0.5771372634064348,160
intfloat/multilingual-e5-large-instruct,0.1,ru,affine,M,0.6877167820930481,0.6347485780715942,160
intfloat/multilingual-e5-large-instruct,0.1,ru,additive,T,0.9304141998291016,0.14045436680316925,160
intfloat/multilingual-e5-large-instruct,0.1,ru,linear,T,0.6747323105331517,0.7788629588359973,160
intfloat/multilingual-e5-large-instruct,0.1,ru,affine,T,0.6477674841880798,0.8825665712356567,160
intfloat/multilingual-e5-large-instruct,0.1,zh,additive,N,0.8951042890548706,0.20386826992034912,160
intfloat/multilingual-e5-large-instruct,0.1,zh,linear,N,0.5022022362970466,1.3616379467174033,160
intfloat/multilingual-e5-large-instruct,0.1,zh,affine,N,0.5097175240516663,1.4414032697677612,160
intfloat/multilingual-e5-large-instruct,0.1,zh,additive,Q,0.9500555992126465,0.09186548739671707,160
intfloat/multilingual-e5-large-instruct,0.1,zh,linear,Q,0.7313103790618765,0.5033020039360787,160
intfloat/multilingual-e5-large-instruct,0.1,zh,affine,Q,0.7346597909927368,0.5085304975509644,160
intfloat/multilingual-e5-large-instruct,0.1,zh,additive,M,0.9743164777755737,0.04878469929099083,160
intfloat/multilingual-e5-large-instruct,0.1,zh,linear,M,0.6505215888711051,0.8187629219640279,160
