ridge_alpha,method,operator,mean_target_cosine,std_target_cosine,mean_mse,cells
0.1,additive,M,0.9429961944383288,0.029853010651588404,0.2367808216728181,63
0.1,additive,N,0.8652096154197814,0.07782646273407996,0.4444099831697901,63
0.1,additive,Q,0.8817752760554117,0.07310774811381923,0.2847614387745067,63
0.1,additive,T,0.9222735317926558,0.03504859679334987,0.2968087428367681,63
0.1,affine,M,0.7006953313710198,0.17203454495197493,2.6005918961498766,63
0.1,affine,N,0.6031709493152679,0.1736574897490735,2.752942926457359,63
0.1,affine,Q,0.6607013358956292,0.1828169755127131,1.6431545977746802,63
0.1,affine,T,0.6695452673094613,0.16561696968429288,2.2442939229686525,63
0.1,linear,M,0.7440283351656765,0.12142965115125773,1.3742027427506829,63
0.1,linear,N,0.6293601263214835,0.15403698861551793,2.1416409544521886,63
0.1,linear,Q,0.6607669168645713,0.19233393861681558,1.2786307756657103,63
0.1,linear,T,0.6881181858251153,0.1466193602677053,1.9635722817489953,63
1.0,additive,M,0.9429961944383288,0.029853010651588404,0.2367808216728181,63
1.0,additive,N,0.8652096154197814,0.07782646273407996,0.4444099831697901,63
1.0,additive,Q,0.8817752760554117,0.07310774811381923,0.2847614387745067,63
1.0,additive,T,0.9222735317926558,0.03504859679334987,0.2968087428367681,63
1.0,affine,M,0.7332781212670463,0.14961928618532805,2.4681941382586956,63
1.0,affine,N,0.6358847485648261,0.16456129385255439,2.5878015571525173,63
1.0,affine,Q,0.67758404404398,0.1741179150482597,1.5715709158167657,63
1.0,affine,T,0.6950080550852276,0.15990125351322954,2.119079187711967,63
1.0,linear,M,0.7769670696254547,0.09815559444233121,1.2918941159423023,63
1.0,linear,N,0.6664571403780161,0.13972541633582217,2.0048849682195344,63
1.0,linear,Q,0.6841231287155477,0.17906653773217618,1.2140597077352984,63
1.0,linear,T,0.7191404868389379,0.13523676693359368,1.8569457544975783,63
10.0,additive,M,0.9429961944383288,0.029853010651588404,0.2367808216728181,63
10.0,additive,N,0.8652096154197814,0.07782646273407996,0.4444099831697901,63
10.0,additive,Q,0.8817752760554117,0.07310774811381923,0.2847614387745067,63
10.0,additive,T,0.9222735317926558,0.03504859679334987,0.2968087428367681,63
10.0,affine,M,0.7311841956679783,0.17929252963632977,2.021708430293652,63
10.0,affine,N,0.6646249975476947,0.18133847274524864,2.137563116789337,63
10.0,affine,Q,0.6751664917147349,0.19224168609734005,1.3804908409744265,63
10.0,affine,T,0.709954446033826,0.1833413151567153,1.7402511916108547,63
10.0,linear,M,0.7875222803468256,0.10895906462926606,1.1184781667456192,63
10.0,linear,N,0.7117625267541453,0.13054801288692583,1.6719044773810132,63
10.0,linear,Q,0.7045181682751587,0.16620286668581666,1.076965874143249,63
10.0,linear,T,0.747967979009552,0.13324255244777955,1.5777255650103488,63
100.0,additive,M,0.9429961944383288,0.029853010651588404,0.2367808216728181,63
100.0,additive,N,0.8652096154197814,0.07782646273407996,0.4444099831697901,63
100.0,additive,Q,0.8817752760554117,0.07310774811381923,0.2847614387745067,63
100.0,additive,T,0.9222735317926558,0.03504859679334987,0.2968087428367681,63
100.0,affine,M,0.6587762596115233,0.24155623326330047,1.2429810383224063,63
100.0,affine,N,0.6217375433161145,0.23823820320183034,1.4640086317316643,63
100.0,affine,Q,0.620051866485959,0.23761547749253145,1.1666013344250146,63
100.0,affine,T,0.6610221739799257,0.24027076002928363,1.1541329300592815,63
100.0,linear,M,0.7414596411853263,0.14166609243300649,0.887580007906966,63
100.0,linear,N,0.7012526788446382,0.1459723263435828,1.1897265740432064,63
100.0,linear,Q,0.6775736855528111,0.17271882989740794,0.9405521328137402,63
100.0,linear,T,0.7261522531874703,0.1471351209727616,1.1206009764714315,63
