model,ridge_alpha,heldout_language,method,operator,target_cosine,mse,n_test
intfloat/multilingual-e5-large,100.0,en,linear,N,0.8400864226851013,0.4378371742367834,160
intfloat/multilingual-e5-large,100.0,en,affine,N,0.8343710899353027,0.4461688995361328,160
intfloat/multilingual-e5-large,100.0,en,linear,Q,0.7402381151558685,0.6542288522587227,160
intfloat/multilingual-e5-large,100.0,en,affine,Q,0.7212950587272644,0.7052194476127625,160
intfloat/multilingual-e5-large,100.0,en,linear,M,0.8786338036514947,0.36211194584304135,160
intfloat/multilingual-e5-large,100.0,en,affine,M,0.8760034441947937,0.3646884858608246,160
intfloat/multilingual-e5-large,100.0,en,linear,T,0.8790153653399677,0.36723916372982385,160
intfloat/multilingual-e5-large,100.0,en,affine,T,0.8758376240730286,0.37091341614723206,160
intfloat/multilingual-e5-large,100.0,es,linear,N,0.8477713461837141,0.2908293878613647,160
intfloat/multilingual-e5-large,100.0,es,affine,N,0.8459013104438782,0.29013791680336,160
intfloat/multilingual-e5-large,100.0,es,linear,Q,0.7925431669100037,0.3396443658499504,160
intfloat/multilingual-e5-large,100.0,es,affine,Q,0.7832975387573242,0.3555775284767151,160
intfloat/multilingual-e5-large,100.0,es,linear,M,0.8626329079545567,0.2773854552778043,160
intfloat/multilingual-e5-large,100.0,es,affine,M,0.8605499267578125,0.2791764736175537,160
intfloat/multilingual-e5-large,100.0,es,linear,T,0.8658609499902769,0.2725755499437702,160
intfloat/multilingual-e5-large,100.0,es,affine,T,0.8641088604927063,0.273874431848526,160
intfloat/multilingual-e5-large,100.0,fr,linear,N,0.8129112682987406,0.3601521230526262,160
intfloat/multilingual-e5-large,100.0,fr,affine,N,0.8108329772949219,0.36437496542930603,160
intfloat/multilingual-e5-large,100.0,fr,linear,Q,0.7618168584783395,0.47799188685877514,160
intfloat/multilingual-e5-large,100.0,fr,affine,Q,0.7664693593978882,0.46913599967956543,160
intfloat/multilingual-e5-large,100.0,fr,linear,M,0.8361352151631982,0.3310197722510999,160
intfloat/multilingual-e5-large,100.0,fr,affine,M,0.8317804336547852,0.33727723360061646,160
intfloat/multilingual-e5-large,100.0,fr,linear,T,0.8690308584298341,0.27527250537300374,160
intfloat/multilingual-e5-large,100.0,fr,affine,T,0.8665657043457031,0.2775801122188568,160
intfloat/multilingual-e5-large,100.0,de,linear,N,0.7788691891695747,0.43997198520074343,160
intfloat/multilingual-e5-large,100.0,de,affine,N,0.7754411697387695,0.4445251524448395,160
intfloat/multilingual-e5-large,100.0,de,linear,Q,0.8003153590856087,0.3935949371839936,160
intfloat/multilingual-e5-large,100.0,de,affine,Q,0.8006496429443359,0.3928542733192444,160
intfloat/multilingual-e5-large,100.0,de,linear,M,0.8368813359172455,0.32971475722719107,160
intfloat/multilingual-e5-large,100.0,de,affine,M,0.8284316062927246,0.3448580801486969,160
intfloat/multilingual-e5-large,100.0,de,linear,T,0.8253087284787647,0.3756668853906807,160
intfloat/multilingual-e5-large,100.0,de,affine,T,0.8208279609680176,0.3827657997608185,160
intfloat/multilingual-e5-large,100.0,ru,linear,N,0.7071392832016687,0.6428671269573194,160
intfloat/multilingual-e5-large,100.0,ru,affine,N,0.6950788497924805,0.6630050539970398,160
intfloat/multilingual-e5-large,100.0,ru,linear,Q,0.6720033167986481,0.5838035433557451,160
intfloat/multilingual-e5-large,100.0,ru,affine,Q,0.6791105270385742,0.5750887393951416,160
intfloat/multilingual-e5-large,100.0,ru,linear,M,0.7834889760828265,0.5097101542172335,160
intfloat/multilingual-e5-large,100.0,ru,affine,M,0.7750474214553833,0.5190094113349915,160
intfloat/multilingual-e5-large,100.0,ru,linear,T,0.7799522789162814,0.5095169833321874,160
intfloat/multilingual-e5-large,100.0,ru,affine,T,0.7763062715530396,0.5104436874389648,160
intfloat/multilingual-e5-large,100.0,zh,linear,N,0.693005684548514,0.6356462024943357,160
intfloat/multilingual-e5-large,100.0,zh,affine,N,0.6670845746994019,0.6848252415657043,160
intfloat/multilingual-e5-large,100.0,zh,linear,Q,0.7321913765471826,0.6260074224778219,160
intfloat/multilingual-e5-large,100.0,zh,affine,Q,0.7185612916946411,0.6546205282211304,160
intfloat/multilingual-e5-large,100.0,zh,linear,M,0.775326240845943,0.5153324309154431,160
intfloat/multilingual-e5-large,100.0,zh,affine,M,0.7545048594474792,0.5520788431167603,160
intfloat/multilingual-e5-large,100.0,zh,linear,T,0.762535684201453,0.5391764036094742,160
intfloat/multilingual-e5-large,100.0,zh,affine,T,0.7403935790061951,0.5830159187316895,160
intfloat/multilingual-e5-large,100.0,ar,linear,N,0.6554026497629184,0.7566465077161575,160
intfloat/multilingual-e5-large,100.0,ar,affine,N,0.5832148790359497,0.8582721948623657,160
intfloat/multilingual-e5-large,100.0,ar,linear,Q,0.5631105867827602,0.8714316418346698,160
intfloat/multilingual-e5-large,100.0,ar,affine,Q,0.518795371055603,0.9536210894584656,160
intfloat/multilingual-e5-large,100.0,ar,linear,M,0.6654856049995148,0.7220651294958035,160
intfloat/multilingual-e5-large,100.0,ar,affine,M,0.6075523495674133,0.8186752200126648,160
intfloat/multilingual-e5-large,100.0,ar,linear,T,0.6831278166237316,0.6954144816057809,160
intfloat/multilingual-e5-large,100.0,ar,affine,T,0.6311966776847839,0.7801594734191895,160
