model,ridge_alpha,heldout_language,method,pair,basis_rank,matrix_commutator_norm,closure_residual_ratio,givens_spectral_matched_null_mean,givens_spectral_matched_null_std,empirical_p_below_givens_spectral_matched_null,coef_N,coef_Q,coef_M,coef_T
intfloat/multilingual-e5-large-instruct,100.0,en,linear,NQ_minus_QN,4,1.8665638772629554,0.8577952642576441,0.9998411995083438,0.0001258255982766373,0.0033222591362126247,-0.29698972371083787,0.28267822320423797,0.013663782370432153,0.008206346489049431
intfloat/multilingual-e5-large-instruct,100.0,en,linear,NM_minus_MN,4,1.7240227618205948,0.8374404042894776,0.9998527172984762,0.00010878765519565388,0.0033222591362126247,-0.29299810788160835,0.020788623911414505,0.27320635039973323,0.01246688927939879
intfloat/multilingual-e5-large-instruct,100.0,en,linear,NT_minus_TN,4,1.671758534598218,0.8302454109266798,0.999846408417516,0.00011724251730495438,0.0033222591362126247,-0.3192404875254244,0.032341547424095896,0.011070535335002305,0.28635040917001786
intfloat/multilingual-e5-large-instruct,100.0,en,linear,QM_minus_MQ,4,1.5106670048854394,0.8435313738343965,0.9998540007775713,0.00011659365846017495,0.0033222591362126247,0.012317014589802375,-0.2905517782441116,0.2657538207478415,0.017748110167032066
intfloat/multilingual-e5-large-instruct,100.0,en,linear,QT_minus_TQ,4,1.3822466535067768,0.8472519821792106,0.9998561196556217,9.809876951319906e-05,0.0033222591362126247,0.02930684781660164,-0.3057516146905922,0.02085906516964837,0.2575319789162205
intfloat/multilingual-e5-large-instruct,100.0,en,linear,MT_minus_TM,4,1.195012598665346,0.874978235144756,0.9998599055736437,0.00010231445959277701,0.0033222591362126247,0.003368214587076887,0.00894456343667508,-0.25704157889305623,0.24151268038693904
intfloat/multilingual-e5-large-instruct,100.0,en,affine,NQ_minus_QN,4,1.7982622822465308,0.8177957970942212,0.9998541821736479,0.0001092282397883887,0.0033222591362126247,-0.3485831431516426,0.34240500207520774,0.01653672674092501,-0.00015362634901559843
intfloat/multilingual-e5-large-instruct,100.0,en,affine,NM_minus_MN,4,1.6824586580576466,0.8375622741006172,0.9998499070628853,0.0001137246972458916,0.0033222591362126247,-0.29283665166932266,0.002340083084892669,0.2865029654468918,0.016939489469817885
intfloat/multilingual-e5-large-instruct,100.0,en,affine,NT_minus_TN,4,1.596101920917414,0.8316330379781123,0.9998607859036578,0.00010518894635619886,0.0033222591362126247,-0.3162093413558371,0.002150578018471322,0.017923648427280076,0.3059596892867796
intfloat/multilingual-e5-large-instruct,100.0,en,affine,QM_minus_MQ,4,1.4488183047272323,0.8350757989240853,0.9998475180985129,0.00012119844832500902,0.0033222591362126247,0.0022932121614254296,-0.3218163469966679,0.28470217059446484,0.039156894982005995
