model,ridge_alpha,heldout_language,method,pair,basis_rank,matrix_commutator_norm,closure_residual_ratio,givens_spectral_matched_null_mean,givens_spectral_matched_null_std,empirical_p_below_givens_spectral_matched_null,coef_N,coef_Q,coef_M,coef_T
bert-base-multilingual-cased,100.0,en,linear,NQ_minus_QN,4,1.5027432030559968,0.9101575431838828,0.9995154958295212,0.00035398963140645634,0.0033222591362126247,-0.20055640166843564,0.2100574947393491,-0.0015549133797136147,-0.020380301791227566
bert-base-multilingual-cased,100.0,en,linear,NM_minus_MN,4,0.7826008357288657,0.970314207764546,0.9995891533763559,0.00031373319388943284,0.0033222591362126247,-0.1331954347914994,0.01528157045663893,0.05574174644765742,0.06480991921703334
bert-base-multilingual-cased,100.0,en,linear,NT_minus_TN,4,0.7789995287735688,0.9085907882360029,0.9995575665053904,0.0003099569770035196,0.0033222591362126247,-0.2132789827334238,0.01570997919908168,0.011132811263700138,0.18704586096586168
bert-base-multilingual-cased,100.0,en,linear,QM_minus_MQ,4,1.3542321860784456,0.9105959490689567,0.9995472157691704,0.0003177450744276917,0.0033222591362126247,0.07463971228691255,-0.20211369293363293,0.061236920187885735,0.0790130122214221
bert-base-multilingual-cased,100.0,en,linear,QT_minus_TQ,4,1.4144191729787516,0.9286409875249769,0.9995324520500564,0.00034919667175473644,0.0033222591362126247,0.06604755208579899,-0.1901878016371774,0.023041541242954152,0.11354712852906179
bert-base-multilingual-cased,100.0,en,linear,MT_minus_TM,4,0.7691577976572738,0.9841206316358379,0.9995818127127832,0.000297324820241122,0.0033222591362126247,-0.05101876169934889,0.004480286896113371,-0.042954345882258285,0.08782664529770368
bert-base-multilingual-cased,100.0,en,affine,NQ_minus_QN,4,1.414361565686122,0.8454344171145984,0.9995820239278044,0.00028526245010401053,0.0033222591362126247,-0.2835342385445742,0.3010902299784238,0.018795351161841962,-0.04882910744232544
bert-base-multilingual-cased,100.0,en,affine,NM_minus_MN,4,0.759119975714866,0.9762487998127036,0.9995682262110792,0.0003043609754434855,0.0033222591362126247,-0.12300139689815258,0.012103513638668087,0.04988405931668978,0.0637409010160829
bert-base-multilingual-cased,100.0,en,affine,NT_minus_TN,4,0.7103622028018106,0.9312506499084723,0.9995911872013771,0.00028026149756262475,0.0033222591362126247,-0.1829196782624853,0.0121951962866437,0.014491564929437775,0.1570208780176196
bert-base-multilingual-cased,100.0,en,affine,QM_minus_MQ,4,1.3095923599665482,0.8682165008061004,0.9995493911473246,0.00032988750408533365,0.0033222591362126247,0.0831318993750015,-0.2807885783264116,0.09272359668728317,0.11890753074176837
