model,layer,class_a,class_b,between_mean_cosine,between_median_cosine,between_std_cosine
gpt2,0,question,negation,0.06524551659822464,0.09336675703525543,0.08527146279811859
gpt2,1,question,negation,0.09860784560441971,0.1104263961315155,0.06737242639064789
gpt2,2,question,negation,0.09335560351610184,0.09603071212768555,0.05231717228889465
gpt2,3,question,negation,0.08843344449996948,0.0879802405834198,0.061202675104141235
gpt2,4,question,negation,0.07211831957101822,0.06597907841205597,0.08402363955974579
gpt2,5,question,negation,0.09888388216495514,0.08916410803794861,0.08567086607217789
gpt2,6,question,negation,0.11600559204816818,0.10849475860595703,0.09717296063899994
gpt2,7,question,negation,0.11678476631641388,0.11078207194805145,0.10900859534740448
gpt2,8,question,negation,0.08795417845249176,0.08520306646823883,0.11352729052305222
gpt2,9,question,negation,0.08152569085359573,0.07950825989246368,0.1210496574640274
gpt2,10,question,negation,0.05550743266940117,0.059087060391902924,0.14742068946361542
gpt2,11,question,negation,-0.07409310340881348,-0.08381743729114532,0.7629868984222412
