classifier,accuracy,model,layer,pooling,representation,n_base,n_train,n_test
logreg,1.0,bert-base-uncased,0,mean,delta,200,2400,4800
linear_svc,1.0,bert-base-uncased,0,mean,delta,200,2400,4800
logreg,0.9997916666666666,bert-base-uncased,0,mean,y_only,200,2400,4800
linear_svc,1.0,bert-base-uncased,0,mean,y_only,200,2400,4800
logreg,0.16666666666666666,bert-base-uncased,0,cls,delta,200,2400,4800
linear_svc,0.16666666666666666,bert-base-uncased,0,cls,delta,200,2400,4800
logreg,0.16666666666666666,bert-base-uncased,0,cls,y_only,200,2400,4800
linear_svc,0.16666666666666666,bert-base-uncased,0,cls,y_only,200,2400,4800
logreg,0.2875,bert-base-uncased,0,last_token,delta,200,2400,4800
linear_svc,0.28020833333333334,bert-base-uncased,0,last_token,delta,200,2400,4800
logreg,0.22708333333333333,bert-base-uncased,0,last_token,y_only,200,2400,4800
linear_svc,0.25729166666666664,bert-base-uncased,0,last_token,y_only,200,2400,4800
logreg,1.0,bert-base-uncased,1,mean,delta,200,2400,4800
linear_svc,1.0,bert-base-uncased,1,mean,delta,200,2400,4800
logreg,1.0,bert-base-uncased,1,mean,y_only,200,2400,4800
linear_svc,1.0,bert-base-uncased,1,mean,y_only,200,2400,4800
logreg,1.0,bert-base-uncased,1,cls,delta,200,2400,4800
linear_svc,1.0,bert-base-uncased,1,cls,delta,200,2400,4800
logreg,0.93625,bert-base-uncased,1,cls,y_only,200,2400,4800
linear_svc,0.8308333333333333,bert-base-uncased,1,cls,y_only,200,2400,4800
logreg,0.575625,bert-base-uncased,1,last_token,delta,200,2400,4800
linear_svc,0.7397916666666666,bert-base-uncased,1,last_token,delta,200,2400,4800
logreg,0.5147916666666666,bert-base-uncased,1,last_token,y_only,200,2400,4800
linear_svc,0.5145833333333333,bert-base-uncased,1,last_token,y_only,200,2400,4800
logreg,1.0,bert-base-uncased,2,mean,delta,200,2400,4800
linear_svc,1.0,bert-base-uncased,2,mean,delta,200,2400,4800
logreg,1.0,bert-base-uncased,2,mean,y_only,200,2400,4800
linear_svc,1.0,bert-base-uncased,2,mean,y_only,200,2400,4800
logreg,1.0,bert-base-uncased,2,cls,delta,200,2400,4800
linear_svc,1.0,bert-base-uncased,2,cls,delta,200,2400,4800
logreg,0.995,bert-base-uncased,2,cls,y_only,200,2400,4800
linear_svc,1.0,bert-base-uncased,2,cls,y_only,200,2400,4800
logreg,0.5883333333333334,bert-base-uncased,2,last_token,delta,200,2400,4800
linear_svc,0.6214583333333333,bert-base-uncased,2,last_token,delta,200,2400,4800
logreg,0.6177083333333333,bert-base-uncased,2,last_token,y_only,200,2400,4800
linear_svc,0.544375,bert-base-uncased,2,last_token,y_only,200,2400,4800
logreg,1.0,bert-base-uncased,3,mean,delta,200,2400,4800
linear_svc,1.0,bert-base-uncased,3,mean,delta,200,2400,4800
logreg,1.0,bert-base-uncased,3,mean,y_only,200,2400,4800
linear_svc,1.0,bert-base-uncased,3,mean,y_only,200,2400,4800
logreg,1.0,bert-base-uncased,3,cls,delta,200,2400,4800
linear_svc,1.0,bert-base-uncased,3,cls,delta,200,2400,4800
logreg,0.961875,bert-base-uncased,3,cls,y_only,200,2400,4800
linear_svc,0.999375,bert-base-uncased,3,cls,y_only,200,2400,4800
logreg,0.7977083333333334,bert-base-uncased,3,last_token,delta,200,2400,4800
linear_svc,1.0,bert-base-uncased,3,last_token,delta,200,2400,4800
logreg,0.7152083333333333,bert-base-uncased,3,last_token,y_only,200,2400,4800
linear_svc,0.59875,bert-base-uncased,3,last_token,y_only,200,2400,4800
logreg,1.0,bert-base-uncased,4,mean,delta,200,2400,4800
linear_svc,1.0,bert-base-uncased,4,mean,delta,200,2400,4800
logreg,1.0,bert-base-uncased,4,mean,y_only,200,2400,4800
linear_svc,1.0,bert-base-uncased,4,mean,y_only,200,2400,4800
logreg,1.0,bert-base-uncased,4,cls,delta,200,2400,4800
linear_svc,1.0,bert-base-uncased,4,cls,delta,200,2400,4800
logreg,0.9308333333333333,bert-base-uncased,4,cls,y_only,200,2400,4800
linear_svc,0.98875,bert-base-uncased,4,cls,y_only,200,2400,4800
logreg,1.0,bert-base-uncased,4,last_token,delta,200,2400,4800
linear_svc,1.0,bert-base-uncased,4,last_token,delta,200,2400,4800
logreg,0.950625,bert-base-uncased,4,last_token,y_only,200,2400,4800
linear_svc,0.933125,bert-base-uncased,4,last_token,y_only,200,2400,4800
logreg,1.0,bert-base-uncased,5,mean,delta,200,2400,4800
linear_svc,1.0,bert-base-uncased,5,mean,delta,200,2400,4800
logreg,0.999375,bert-base-uncased,5,mean,y_only,200,2400,4800
linear_svc,1.0,bert-base-uncased,5,mean,y_only,200,2400,4800
logreg,0.9977083333333333,bert-base-uncased,5,cls,delta,200,2400,4800
linear_svc,1.0,bert-base-uncased,5,cls,delta,200,2400,4800
logreg,0.9360416666666667,bert-base-uncased,5,cls,y_only,200,2400,4800
linear_svc,0.9997916666666666,bert-base-uncased,5,cls,y_only,200,2400,4800
logreg,1.0,bert-base-uncased,5,last_token,delta,200,2400,4800
linear_svc,1.0,bert-base-uncased,5,last_token,delta,200,2400,4800
logreg,0.90875,bert-base-uncased,5,last_token,y_only,200,2400,4800
linear_svc,0.9502083333333333,bert-base-uncased,5,last_token,y_only,200,2400,4800
logreg,1.0,bert-base-uncased,6,mean,delta,200,2400,4800
linear_svc,1.0,bert-base-uncased,6,mean,delta,200,2400,4800
logreg,0.9995833333333334,bert-base-uncased,6,mean,y_only,200,2400,4800
linear_svc,1.0,bert-base-uncased,6,mean,y_only,200,2400,4800
logreg,0.9629166666666666,bert-base-uncased,6,cls,delta,200,2400,4800
linear_svc,1.0,bert-base-uncased,6,cls,delta,200,2400,4800
logreg,0.8277083333333334,bert-base-uncased,6,cls,y_only,200,2400,4800
linear_svc,0.9520833333333333,bert-base-uncased,6,cls,y_only,200,2400,4800
logreg,1.0,bert-base-uncased,6,last_token,delta,200,2400,4800
linear_svc,1.0,bert-base-uncased,6,last_token,delta,200,2400,4800
logreg,0.96,bert-base-uncased,6,last_token,y_only,200,2400,4800
linear_svc,0.9989583333333333,bert-base-uncased,6,last_token,y_only,200,2400,4800
logreg,1.0,bert-base-uncased,7,mean,delta,200,2400,4800
linear_svc,1.0,bert-base-uncased,7,mean,delta,200,2400,4800
logreg,0.9954166666666666,bert-base-uncased,7,mean,y_only,200,2400,4800
linear_svc,1.0,bert-base-uncased,7,mean,y_only,200,2400,4800
logreg,0.8645833333333334,bert-base-uncased,7,cls,delta,200,2400,4800
linear_svc,0.9975,bert-base-uncased,7,cls,delta,200,2400,4800
logreg,0.795,bert-base-uncased,7,cls,y_only,200,2400,4800
linear_svc,0.8204166666666667,bert-base-uncased,7,cls,y_only,200,2400,4800
logreg,1.0,bert-base-uncased,7,last_token,delta,200,2400,4800
linear_svc,1.0,bert-base-uncased,7,last_token,delta,200,2400,4800
logreg,0.9966666666666667,bert-base-uncased,7,last_token,y_only,200,2400,4800
linear_svc,0.9933333333333333,bert-base-uncased,7,last_token,y_only,200,2400,4800
logreg,1.0,bert-base-uncased,8,mean,delta,200,2400,4800
linear_svc,1.0,bert-base-uncased,8,mean,delta,200,2400,4800
logreg,0.99,bert-base-uncased,8,mean,y_only,200,2400,4800
linear_svc,1.0,bert-base-uncased,8,mean,y_only,200,2400,4800
logreg,0.8404166666666667,bert-base-uncased,8,cls,delta,200,2400,4800
linear_svc,0.9910416666666667,bert-base-uncased,8,cls,delta,200,2400,4800
logreg,0.823125,bert-base-uncased,8,cls,y_only,200,2400,4800
linear_svc,0.81875,bert-base-uncased,8,cls,y_only,200,2400,4800
logreg,0.9845833333333334,bert-base-uncased,8,last_token,delta,200,2400,4800
linear_svc,1.0,bert-base-uncased,8,last_token,delta,200,2400,4800
logreg,0.9025,bert-base-uncased,8,last_token,y_only,200,2400,4800
linear_svc,0.9658333333333333,bert-base-uncased,8,last_token,y_only,200,2400,4800
logreg,1.0,bert-base-uncased,9,mean,delta,200,2400,4800
linear_svc,1.0,bert-base-uncased,9,mean,delta,200,2400,4800
logreg,0.9985416666666667,bert-base-uncased,9,mean,y_only,200,2400,4800
linear_svc,1.0,bert-base-uncased,9,mean,y_only,200,2400,4800
logreg,0.814375,bert-base-uncased,9,cls,delta,200,2400,4800
linear_svc,0.9472916666666666,bert-base-uncased,9,cls,delta,200,2400,4800
logreg,0.8352083333333333,bert-base-uncased,9,cls,y_only,200,2400,4800
linear_svc,0.8472916666666667,bert-base-uncased,9,cls,y_only,200,2400,4800
logreg,0.92875,bert-base-uncased,9,last_token,delta,200,2400,4800
linear_svc,1.0,bert-base-uncased,9,last_token,delta,200,2400,4800
logreg,0.9591666666666666,bert-base-uncased,9,last_token,y_only,200,2400,4800
linear_svc,0.9629166666666666,bert-base-uncased,9,last_token,y_only,200,2400,4800
logreg,0.9997916666666666,bert-base-uncased,10,mean,delta,200,2400,4800
linear_svc,1.0,bert-base-uncased,10,mean,delta,200,2400,4800
logreg,0.9985416666666667,bert-base-uncased,10,mean,y_only,200,2400,4800
linear_svc,1.0,bert-base-uncased,10,mean,y_only,200,2400,4800
logreg,0.7908333333333334,bert-base-uncased,10,cls,delta,200,2400,4800
linear_svc,0.889375,bert-base-uncased,10,cls,delta,200,2400,4800
logreg,0.804375,bert-base-uncased,10,cls,y_only,200,2400,4800
linear_svc,0.8372916666666667,bert-base-uncased,10,cls,y_only,200,2400,4800
logreg,0.9089583333333333,bert-base-uncased,10,last_token,delta,200,2400,4800
linear_svc,0.9864583333333333,bert-base-uncased,10,last_token,delta,200,2400,4800
logreg,0.806875,bert-base-uncased,10,last_token,y_only,200,2400,4800
linear_svc,0.911875,bert-base-uncased,10,last_token,y_only,200,2400,4800
