model,template_id,triple,a,b,c,jacobi_norm,relative_jacobi_norm,null_mean_relative_jacobi_norm,null_std_relative_jacobi_norm,jacobi_to_null_mean_ratio,null_percentile_smaller_is_better
roberta-base,0,NQM,N,Q,M,2.2016611099243164,0.2804502248764038,0.29965791207551956,0.0628892670639368,0.9359012846782069,0.496
roberta-base,0,NQT,N,Q,T,2.6293089389801025,0.33466511964797974,0.3164658629447222,0.06550987438752379,1.0575078036311898,0.603
roberta-base,0,NMT,N,M,T,3.2919375896453857,0.37271320819854736,0.32378421805799007,0.09974987603209626,1.1511160439902695,0.688
roberta-base,0,QMT,Q,M,T,1.7129263877868652,0.20849956572055817,0.32045469725131986,0.08169704427266211,0.6506366344706429,0.102
roberta-base,1,NQM,N,Q,M,2.111213445663452,0.3235924243927002,0.33567312905192376,0.07422454034996898,0.9640105101820086,0.609
roberta-base,1,NQT,N,Q,T,2.387427806854248,0.3478825092315674,0.3247611501216888,0.07692336405468865,1.0711949662086853,0.708
roberta-base,1,NMT,N,M,T,3.0668702125549316,0.4485655725002289,0.365627196893096,0.0961593188436498,1.2268386386753283,0.809
roberta-base,1,QMT,Q,M,T,1.4322378635406494,0.21455320715904236,0.35026694175601003,0.09041158870137248,0.6125419832165718,0.105
roberta-base,2,NQM,N,Q,M,2.417689800262451,0.32406851649284363,0.32796963301301,0.06905177662921215,0.9881052508266833,0.694
roberta-base,2,NQT,N,Q,T,2.535633087158203,0.3345572054386139,0.31025081250071523,0.07177782655709056,1.0783443328992548,0.685
roberta-base,2,NMT,N,M,T,3.4715986251831055,0.4483436346054077,0.3285882612168789,0.08126909595485628,1.364454204613603,1.0
roberta-base,2,QMT,Q,M,T,1.7682932615280151,0.2302684187889099,0.3454386050999165,0.08747786829388746,0.6665972343237064,0.107
roberta-base,3,NQM,N,Q,M,2.446336507797241,0.3329547345638275,0.32663095006346704,0.0659705500766354,1.0193606408030604,0.708
roberta-base,3,NQT,N,Q,T,2.817624092102051,0.3772249221801758,0.33953457337617876,0.07616916093429468,1.1110059232793592,0.782
roberta-base,3,NMT,N,M,T,3.5285353660583496,0.45706596970558167,0.3914478739649057,0.12497030625981372,1.167629204560174,0.673
roberta-base,3,QMT,Q,M,T,1.6519176959991455,0.22734075784683228,0.38008836209774016,0.09794419183007927,0.5981260688738826,0.089
roberta-base,4,NQM,N,Q,M,2.379241466522217,0.3284483850002289,0.33298306918144227,0.071438846297088,0.9863816373807017,0.685
roberta-base,4,NQT,N,Q,T,2.6742310523986816,0.3670513331890106,0.3455002864599228,0.07548048456826545,1.0623763498110017,0.693
roberta-base,4,NMT,N,M,T,3.257617473602295,0.43740516901016235,0.34638513427972795,0.09831409601130703,1.2627711922985332,0.804
roberta-base,4,QMT,Q,M,T,1.7072092294692993,0.2351350635290146,0.3744867677241564,0.09985434265230335,0.6278861732748461,0.1
roberta-base,5,NQM,N,Q,M,2.1068809032440186,0.2656139135360718,0.28339370840787886,0.06542638290286967,0.937261151729048,0.509
roberta-base,5,NQT,N,Q,T,2.4418771266937256,0.30816033482551575,0.2911311059296131,0.07074622763385809,1.0584933335806492,0.578
roberta-base,5,NMT,N,M,T,3.516087293624878,0.4357350766658783,0.3216875417083502,0.09823345567613236,1.3545289144569108,0.902
roberta-base,5,QMT,Q,M,T,1.6141186952590942,0.2048177570104599,0.3278049210757017,0.08284469581470506,0.6248159921996274,0.095
roberta-base,6,NQM,N,Q,M,2.388792037963867,0.328848272562027,0.32504948100447656,0.07210531368828003,1.0116868100967262,0.793
roberta-base,6,NQT,N,Q,T,2.53605318069458,0.34280145168304443,0.3243530707657337,0.07066060889868586,1.0568774664987781,0.709
roberta-base,6,NMT,N,M,T,3.4548189640045166,0.4598689675331116,0.3685442786216736,0.10329386521714734,1.2477984171989789,0.776
roberta-base,6,QMT,Q,M,T,1.655119776725769,0.2209903597831726,0.36288952246308326,0.10447932890995235,0.6089742086864605,0.102
roberta-base,7,NQM,N,Q,M,2.3083901405334473,0.30272483825683594,0.3096607412695885,0.0628741906111251,0.9776016068898712,0.734
roberta-base,7,NQT,N,Q,T,2.468149423599243,0.32131895422935486,0.2953115961551666,0.0659864189971427,1.0880675138115303,0.722
roberta-base,7,NMT,N,M,T,3.4028079509735107,0.44181811809539795,0.32817900043725967,0.08175408496147044,1.3462717526270156,0.904
roberta-base,7,QMT,Q,M,T,1.661301851272583,0.2161383032798767,0.33974569496512413,0.08571762464235146,0.6361767241860938,0.109
roberta-base,8,NQM,N,Q,M,2.152672529220581,0.3458980917930603,0.3542484918832779,0.08072092966736129,0.9764278457565166,0.61
roberta-base,8,NQT,N,Q,T,2.3671865463256836,0.3684837520122528,0.35452862733602525,0.07362395515104361,1.0393624762548763,0.695
roberta-base,8,NMT,N,M,T,3.162724494934082,0.48384809494018555,0.39420962961018086,0.11100495091296474,1.2273878124626674,0.809
roberta-base,8,QMT,Q,M,T,1.676525354385376,0.26185569167137146,0.392872668325901,0.09978687732168193,0.6665154203434862,0.118
roberta-base,9,NQM,N,Q,M,2.1550726890563965,0.27759668231010437,0.2970908976495266,0.06414085235695981,0.934382993573389,0.487
roberta-base,9,NQT,N,Q,T,2.5703048706054688,0.3409794270992279,0.30920232270658016,0.07192087901994726,1.1027712344247171,0.709
roberta-base,9,NMT,N,M,T,3.2754831314086914,0.41807660460472107,0.3261804137378931,0.0914554190701263,1.28173423968795,0.905
roberta-base,9,QMT,Q,M,T,1.6037360429763794,0.20537187159061432,0.32953100869059565,0.08802062116777087,0.6232247229359211,0.115
roberta-base,10,NQM,N,Q,M,2.259627103805542,0.28523117303848267,0.2940882235467434,0.06049183748641936,0.969883015367248,0.585
roberta-base,10,NQT,N,Q,T,2.538217067718506,0.3245946764945984,0.28382357227802274,0.06433086936718897,1.1436494646593138,0.817
roberta-base,10,NMT,N,M,T,3.223027229309082,0.39168474078178406,0.31347180864214896,0.08864008762362555,1.2495054738005849,0.798
roberta-base,10,QMT,Q,M,T,1.5359265804290771,0.18837255239486694,0.33161829271912574,0.09024029785769748,0.5680402937055309,0.08
roberta-base,11,NQM,N,Q,M,2.441943645477295,0.34970805048942566,0.34694401994347573,0.07584063110908788,1.0079667911422492,0.794
roberta-base,11,NQT,N,Q,T,2.661721706390381,0.3737909495830536,0.340744926661253,0.0752891473473053,1.0969817019566541,0.724
roberta-base,11,NMT,N,M,T,3.5623762607574463,0.5019649267196655,0.380881020411849,0.10092596333607612,1.3179048044335995,0.77
roberta-base,11,QMT,Q,M,T,1.7065337896347046,0.24062584340572357,0.38413331913948057,0.10621045295474622,0.6264123194107117,0.098
roberta-base,12,NQM,N,Q,M,2.3045432567596436,0.30978062748908997,0.3247212695777416,0.0669402113883522,0.9539893333472304,0.601
roberta-base,12,NQT,N,Q,T,2.7210752964019775,0.36137545108795166,0.33304376766085625,0.07877769158163095,1.085068949420669,0.593
roberta-base,12,NMT,N,M,T,3.463096857070923,0.43361684679985046,0.33124309360980986,0.08665788612075916,1.3090592835403339,0.82
roberta-base,12,QMT,Q,M,T,1.700893759727478,0.2185889333486557,0.3540309008359909,0.08983893788234622,0.6174289668836062,0.084
roberta-base,13,NQM,N,Q,M,2.2210190296173096,0.28867125511169434,0.30380819818377497,0.061652186267033664,0.9501759887866015,0.488
roberta-base,13,NQT,N,Q,T,2.63535213470459,0.34855711460113525,0.3181931524425745,0.06902441611617198,1.0954261960836673,0.704
roberta-base,13,NMT,N,M,T,3.3468377590179443,0.42353716492652893,0.3597487209588289,0.11246804001314199,1.1773138867499209,0.732
