model,pair,mean_relative_commutator_norm,std_relative_commutator_norm,mean_noncommutativity,std_noncommutativity,mean_cosine,n
bert-base-uncased,MT_vs_TM,0.5194783147100498,0.2368084058818963,0.1565728135406971,0.12154008518682495,0.8434271864593029,120
bert-base-uncased,NM_vs_MN,0.3424213954406497,0.1513424246668579,0.06824601938327153,0.05820497279926827,0.9317539806167284,120
bert-base-uncased,NQ_vs_QN,0.614525004612945,0.045498342607165204,0.1861444155375163,0.028285073740832053,0.8138555844624837,120
bert-base-uncased,NT_vs_TN,0.5680562451425162,0.10533286589806293,0.15796854794025422,0.05795249167651788,0.8420314520597458,120
bert-base-uncased,QM_vs_MQ,0.5511482292806116,0.0451497521815335,0.14176762402057647,0.022775571776630168,0.8582323759794235,120
bert-base-uncased,QT_vs_TQ,0.6035779472107692,0.0624243981256387,0.1629563773671786,0.03401155021546991,0.8370436226328214,120
distilroberta-base,MT_vs_TM,0.46933903231935215,0.2291315128640574,0.11463962892691294,0.07619740983168169,0.8853603710730871,120
distilroberta-base,NM_vs_MN,0.4264690111410974,0.16771120438029574,0.10171071539322535,0.06145440843624548,0.8982892846067746,120
distilroberta-base,NQ_vs_QN,0.6999241209214896,0.03441052490074015,0.24500075230995813,0.02409452888991903,0.7549992476900419,120
distilroberta-base,NT_vs_TN,0.5709324726528879,0.03259868130530544,0.14219030241171518,0.017745178764909737,0.8578096975882848,120
distilroberta-base,QM_vs_MQ,0.6748115715171569,0.03959551246820921,0.20193946609894434,0.02563002129692493,0.7980605339010557,120
distilroberta-base,QT_vs_TQ,0.8298868747629637,0.051609363327813455,0.248144693672657,0.03340663537321005,0.751855306327343,120
roberta-base,MT_vs_TM,0.4417886070245253,0.21098354657096358,0.10231176515420277,0.0728240987994024,0.8976882348457972,120
roberta-base,NM_vs_MN,0.4524926520534572,0.16850534391160793,0.11307646582523982,0.07090513544987641,0.8869235341747602,120
roberta-base,NQ_vs_QN,0.774468452874108,0.032268654965255446,0.29937609980503715,0.024863732206441384,0.7006239001949628,120
roberta-base,NT_vs_TN,0.5539776974797819,0.0787795803531859,0.1418329526980718,0.04167054088337096,0.8581670473019282,120
roberta-base,QM_vs_MQ,0.7713172206615723,0.044645901796868975,0.27112650871276855,0.030916635385940344,0.7288734912872314,120
roberta-base,QT_vs_TQ,0.7779763994291987,0.05181520487553114,0.23797926207383474,0.03382316272990025,0.7620207379261653,120
