model,feature,accuracy,macro_f1,n_train,n_test,chance
bert-base-uncased,source_only,0.16666666666666666,0.047619047619047616,360,360,0.16666666666666666
bert-base-uncased,ab_endpoint_only,1.0,1.0,360,360,0.16666666666666666
bert-base-uncased,ba_endpoint_only,0.9972222222222222,0.9972220293075909,360,360,0.16666666666666666
bert-base-uncased,ab_delta_only,1.0,1.0,360,360,0.16666666666666666
bert-base-uncased,ba_delta_only,1.0,1.0,360,360,0.16666666666666666
bert-base-uncased,commutator_delta,1.0,1.0,360,360,0.16666666666666666
bert-base-uncased,endpoint_concat,1.0,1.0,360,360,0.16666666666666666
distilroberta-base,source_only,0.16666666666666666,0.047619047619047616,360,360,0.16666666666666666
distilroberta-base,ab_endpoint_only,1.0,1.0,360,360,0.16666666666666666
distilroberta-base,ba_endpoint_only,1.0,1.0,360,360,0.16666666666666666
distilroberta-base,ab_delta_only,1.0,1.0,360,360,0.16666666666666666
distilroberta-base,ba_delta_only,1.0,1.0,360,360,0.16666666666666666
distilroberta-base,commutator_delta,1.0,1.0,360,360,0.16666666666666666
distilroberta-base,endpoint_concat,1.0,1.0,360,360,0.16666666666666666
roberta-base,source_only,0.16666666666666666,0.047619047619047616,360,360,0.16666666666666666
roberta-base,ab_endpoint_only,1.0,1.0,360,360,0.16666666666666666
roberta-base,ba_endpoint_only,1.0,1.0,360,360,0.16666666666666666
roberta-base,ab_delta_only,1.0,1.0,360,360,0.16666666666666666
roberta-base,ba_delta_only,1.0,1.0,360,360,0.16666666666666666
roberta-base,commutator_delta,1.0,1.0,360,360,0.16666666666666666
roberta-base,endpoint_concat,1.0,1.0,360,360,0.16666666666666666
