model,control_task,feature,heldout_language,accuracy,macro_f1,chance,n_train,n_test
BAAI/bge-m3,triple_label_from_row_features,source_only,ar,0.25,0.1,0.25,2304,384
BAAI/bge-m3,triple_label_from_row_features,endpoint_mean,ar,0.453125,0.3615332429883244,0.25,2304,384
BAAI/bge-m3,triple_label_from_row_features,endpoint_concat,ar,0.5052083333333334,0.3454966959950348,0.25,2304,384
BAAI/bge-m3,triple_label_from_row_features,signed_vector,ar,0.0,0.0,0.25,2304,384
BAAI/bge-m3,triple_label_from_row_features,source_only,de,0.25,0.1,0.25,2304,384
BAAI/bge-m3,triple_label_from_row_features,endpoint_mean,de,1.0,1.0,0.25,2304,384
BAAI/bge-m3,triple_label_from_row_features,endpoint_concat,de,1.0,1.0,0.25,2304,384
BAAI/bge-m3,triple_label_from_row_features,signed_vector,de,0.9973958333333334,0.997395762688875,0.25,2304,384
BAAI/bge-m3,triple_label_from_row_features,source_only,en,0.25,0.1,0.25,2304,384
BAAI/bge-m3,triple_label_from_row_features,endpoint_mean,en,0.9973958333333334,0.997395762688875,0.25,2304,384
BAAI/bge-m3,triple_label_from_row_features,endpoint_concat,en,1.0,1.0,0.25,2304,384
BAAI/bge-m3,triple_label_from_row_features,signed_vector,en,0.9791666666666666,0.9791621435808366,0.25,2304,384
BAAI/bge-m3,triple_label_from_row_features,source_only,es,0.25,0.1,0.25,2304,384
BAAI/bge-m3,triple_label_from_row_features,endpoint_mean,es,0.9348958333333334,0.9342519792893736,0.25,2304,384
BAAI/bge-m3,triple_label_from_row_features,endpoint_concat,es,0.9869791666666666,0.9869703303564156,0.25,2304,384
BAAI/bge-m3,triple_label_from_row_features,signed_vector,es,0.78125,0.7777201999587694,0.25,2304,384
BAAI/bge-m3,triple_label_from_row_features,source_only,fr,0.25,0.1,0.25,2304,384
BAAI/bge-m3,triple_label_from_row_features,endpoint_mean,fr,1.0,1.0,0.25,2304,384
BAAI/bge-m3,triple_label_from_row_features,endpoint_concat,fr,1.0,1.0,0.25,2304,384
BAAI/bge-m3,triple_label_from_row_features,signed_vector,fr,0.9635416666666666,0.9633467873895496,0.25,2304,384
BAAI/bge-m3,triple_label_from_row_features,source_only,ru,0.25,0.1,0.25,2304,384
BAAI/bge-m3,triple_label_from_row_features,endpoint_mean,ru,0.7552083333333334,0.729100529100529,0.25,2304,384
BAAI/bge-m3,triple_label_from_row_features,endpoint_concat,ru,0.8932291666666666,0.8869762641898865,0.25,2304,384
BAAI/bge-m3,triple_label_from_row_features,signed_vector,ru,0.6458333333333334,0.6328513730949265,0.25,2304,384
BAAI/bge-m3,triple_label_from_row_features,source_only,zh,0.25,0.1,0.25,2304,384
BAAI/bge-m3,triple_label_from_row_features,endpoint_mean,zh,0.9557291666666666,0.9551333179947338,0.25,2304,384
BAAI/bge-m3,triple_label_from_row_features,endpoint_concat,zh,0.9739583333333334,0.973887498639974,0.25,2304,384
BAAI/bge-m3,triple_label_from_row_features,signed_vector,zh,0.6927083333333334,0.6416643957438875,0.25,2304,384
BAAI/bge-m3,cyclic_vs_anticyclic_from_endpoint_delta,endpoint,ar,0.4926215277777778,0.3915605208852202,0.5,13824,2304
BAAI/bge-m3,cyclic_vs_anticyclic_from_endpoint_vec,endpoint,ar,0.5,0.3333333333333333,0.5,13824,2304
BAAI/bge-m3,endpoint_position_from_endpoint_delta,endpoint,ar,0.12109375,0.0894989244644828,0.1666666666666666,13824,2304
BAAI/bge-m3,triple_label_from_single_endpoint_delta,endpoint,ar,0.453125,0.3639288526413144,0.25,13824,2304
BAAI/bge-m3,cyclic_vs_anticyclic_from_endpoint_delta,endpoint,de,0.6167534722222222,0.6162311450389166,0.5,13824,2304
BAAI/bge-m3,cyclic_vs_anticyclic_from_endpoint_vec,endpoint,de,0.5855034722222222,0.5814404989112377,0.5,13824,2304
BAAI/bge-m3,endpoint_position_from_endpoint_delta,endpoint,de,0.3997395833333333,0.3617618673627718,0.1666666666666666,13824,2304
BAAI/bge-m3,triple_label_from_single_endpoint_delta,endpoint,de,0.9587673611111112,0.95868556154306,0.25,13824,2304
BAAI/bge-m3,cyclic_vs_anticyclic_from_endpoint_delta,endpoint,en,0.6067708333333334,0.6047189283563662,0.5,13824,2304
BAAI/bge-m3,cyclic_vs_anticyclic_from_endpoint_vec,endpoint,en,0.5703125,0.5697129986304522,0.5,13824,2304
BAAI/bge-m3,endpoint_position_from_endpoint_delta,endpoint,en,0.3832465277777778,0.3810972858453221,0.1666666666666666,13824,2304
BAAI/bge-m3,triple_label_from_single_endpoint_delta,endpoint,en,0.9839409722222222,0.9839451106966374,0.25,13824,2304
BAAI/bge-m3,cyclic_vs_anticyclic_from_endpoint_delta,endpoint,es,0.6141493055555556,0.609439923331656,0.5,13824,2304
BAAI/bge-m3,cyclic_vs_anticyclic_from_endpoint_vec,endpoint,es,0.5850694444444444,0.5829564216361957,0.5,13824,2304
BAAI/bge-m3,endpoint_position_from_endpoint_delta,endpoint,es,0.3658854166666667,0.3390700642578342,0.1666666666666666,13824,2304
BAAI/bge-m3,triple_label_from_single_endpoint_delta,endpoint,es,0.8446180555555556,0.8457556790834314,0.25,13824,2304
BAAI/bge-m3,cyclic_vs_anticyclic_from_endpoint_delta,endpoint,fr,0.6098090277777778,0.6098054260378003,0.5,13824,2304
BAAI/bge-m3,cyclic_vs_anticyclic_from_endpoint_vec,endpoint,fr,0.5733506944444444,0.5692426724455194,0.5,13824,2304
BAAI/bge-m3,endpoint_position_from_endpoint_delta,endpoint,fr,0.41796875,0.409209827743729,0.1666666666666666,13824,2304
BAAI/bge-m3,triple_label_from_single_endpoint_delta,endpoint,fr,0.9596354166666666,0.9595331167832066,0.25,13824,2304
BAAI/bge-m3,cyclic_vs_anticyclic_from_endpoint_delta,endpoint,ru,0.5512152777777778,0.4951171875,0.5,13824,2304
BAAI/bge-m3,cyclic_vs_anticyclic_from_endpoint_vec,endpoint,ru,0.5203993055555556,0.518697561481891,0.5,13824,2304
BAAI/bge-m3,endpoint_position_from_endpoint_delta,endpoint,ru,0.2725694444444444,0.2539384708944358,0.1666666666666666,13824,2304
BAAI/bge-m3,triple_label_from_single_endpoint_delta,endpoint,ru,0.8506944444444444,0.8457935193654919,0.25,13824,2304
BAAI/bge-m3,cyclic_vs_anticyclic_from_endpoint_delta,endpoint,zh,0.59765625,0.5966513766925499,0.5,13824,2304
BAAI/bge-m3,cyclic_vs_anticyclic_from_endpoint_vec,endpoint,zh,0.5681423611111112,0.5435299055730856,0.5,13824,2304
BAAI/bge-m3,endpoint_position_from_endpoint_delta,endpoint,zh,0.3932291666666667,0.3615269011675524,0.1666666666666666,13824,2304
BAAI/bge-m3,triple_label_from_single_endpoint_delta,endpoint,zh,0.9479166666666666,0.948458055758954,0.25,13824,2304
bert-base-multilingual-cased,triple_label_from_row_features,source_only,ar,0.25,0.1,0.25,2304,384
bert-base-multilingual-cased,triple_label_from_row_features,endpoint_mean,ar,0.3463541666666667,0.2653948367501898,0.25,2304,384
bert-base-multilingual-cased,triple_label_from_row_features,endpoint_concat,ar,0.4505208333333333,0.3419463376757829,0.25,2304,384
bert-base-multilingual-cased,triple_label_from_row_features,signed_vector,ar,0.0885416666666666,0.0652737818082002,0.25,2304,384
bert-base-multilingual-cased,triple_label_from_row_features,source_only,de,0.25,0.1,0.25,2304,384
bert-base-multilingual-cased,triple_label_from_row_features,endpoint_mean,de,0.8489583333333334,0.8455305599249604,0.25,2304,384
bert-base-multilingual-cased,triple_label_from_row_features,endpoint_concat,de,0.9609375,0.9606976172930484,0.25,2304,384
bert-base-multilingual-cased,triple_label_from_row_features,signed_vector,de,0.84375,0.8277285668107335,0.25,2304,384
bert-base-multilingual-cased,triple_label_from_row_features,source_only,en,0.25,0.1,0.25,2304,384
bert-base-multilingual-cased,triple_label_from_row_features,endpoint_mean,en,0.9140625,0.913977397245558,0.25,2304,384
bert-base-multilingual-cased,triple_label_from_row_features,endpoint_concat,en,0.9973958333333334,0.997395762688875,0.25,2304,384
bert-base-multilingual-cased,triple_label_from_row_features,signed_vector,en,0.9427083333333334,0.9437665788548548,0.25,2304,384
bert-base-multilingual-cased,triple_label_from_row_features,source_only,es,0.25,0.1,0.25,2304,384
bert-base-multilingual-cased,triple_label_from_row_features,endpoint_mean,es,0.8645833333333334,0.8645619460235578,0.25,2304,384
bert-base-multilingual-cased,triple_label_from_row_features,endpoint_concat,es,0.9635416666666666,0.9637260184878024,0.25,2304,384
bert-base-multilingual-cased,triple_label_from_row_features,signed_vector,es,0.6822916666666666,0.6682971875618935,0.25,2304,384
bert-base-multilingual-cased,triple_label_from_row_features,source_only,fr,0.25,0.1,0.25,2304,384
bert-base-multilingual-cased,triple_label_from_row_features,endpoint_mean,fr,0.7005208333333334,0.6903025653449621,0.25,2304,384
bert-base-multilingual-cased,triple_label_from_row_features,endpoint_concat,fr,0.9348958333333334,0.9351772533598924,0.25,2304,384
bert-base-multilingual-cased,triple_label_from_row_features,signed_vector,fr,0.6848958333333334,0.6113526548659506,0.25,2304,384
bert-base-multilingual-cased,triple_label_from_row_features,source_only,ru,0.25,0.1,0.25,2304,384
bert-base-multilingual-cased,triple_label_from_row_features,endpoint_mean,ru,0.5755208333333334,0.5249634974367203,0.25,2304,384
bert-base-multilingual-cased,triple_label_from_row_features,endpoint_concat,ru,0.6067708333333334,0.5480718906379696,0.25,2304,384
bert-base-multilingual-cased,triple_label_from_row_features,signed_vector,ru,0.2630208333333333,0.2243651791817942,0.25,2304,384
bert-base-multilingual-cased,triple_label_from_row_features,source_only,zh,0.25,0.1,0.25,2304,384
bert-base-multilingual-cased,triple_label_from_row_features,endpoint_mean,zh,0.6875,0.6702991103734811,0.25,2304,384
bert-base-multilingual-cased,triple_label_from_row_features,endpoint_concat,zh,0.8229166666666666,0.8026346500337295,0.25,2304,384
bert-base-multilingual-cased,triple_label_from_row_features,signed_vector,zh,0.625,0.5407314698929218,0.25,2304,384
bert-base-multilingual-cased,cyclic_vs_anticyclic_from_endpoint_delta,endpoint,ar,0.4982638888888889,0.3648351648351648,0.5,13824,2304
bert-base-multilingual-cased,cyclic_vs_anticyclic_from_endpoint_vec,endpoint,ar,0.5,0.3333333333333333,0.5,13824,2304
bert-base-multilingual-cased,endpoint_position_from_endpoint_delta,endpoint,ar,0.1974826388888889,0.1366017931004351,0.1666666666666666,13824,2304
bert-base-multilingual-cased,triple_label_from_single_endpoint_delta,endpoint,ar,0.5529513888888888,0.4943983985492102,0.25,13824,2304
bert-base-multilingual-cased,cyclic_vs_anticyclic_from_endpoint_delta,endpoint,de,0.5403645833333334,0.5382748929819916,0.5,13824,2304
