model,control_task,feature,heldout_language,accuracy,macro_f1,chance,n_train,n_test
distilbert-base-multilingual-cased,triple_label_from_row_features,source_only,ar,0.25,0.1,0.25,2304,384
distilbert-base-multilingual-cased,triple_label_from_row_features,endpoint_mean,ar,0.265625,0.13067758749069247,0.25,2304,384
distilbert-base-multilingual-cased,triple_label_from_row_features,endpoint_concat,ar,0.2916666666666667,0.17617048260489426,0.25,2304,384
distilbert-base-multilingual-cased,triple_label_from_row_features,signed_vector,ar,0.125,0.1321128403104516,0.25,2304,384
distilbert-base-multilingual-cased,triple_label_from_row_features,source_only,de,0.25,0.1,0.25,2304,384
distilbert-base-multilingual-cased,triple_label_from_row_features,endpoint_mean,de,0.7135416666666666,0.6970605315296851,0.25,2304,384
distilbert-base-multilingual-cased,triple_label_from_row_features,endpoint_concat,de,0.8958333333333334,0.8911070780399274,0.25,2304,384
distilbert-base-multilingual-cased,triple_label_from_row_features,signed_vector,de,0.6223958333333334,0.5628295920427777,0.25,2304,384
distilbert-base-multilingual-cased,triple_label_from_row_features,source_only,en,0.25,0.1,0.25,2304,384
distilbert-base-multilingual-cased,triple_label_from_row_features,endpoint_mean,en,0.8359375,0.8355946373503144,0.25,2304,384
distilbert-base-multilingual-cased,triple_label_from_row_features,endpoint_concat,en,0.9817708333333334,0.981758462498982,0.25,2304,384
distilbert-base-multilingual-cased,triple_label_from_row_features,signed_vector,en,0.9869791666666666,0.9869777645886767,0.25,2304,384
distilbert-base-multilingual-cased,triple_label_from_row_features,source_only,es,0.25,0.1,0.25,2304,384
distilbert-base-multilingual-cased,triple_label_from_row_features,endpoint_mean,es,0.7708333333333334,0.7578627964977833,0.25,2304,384
distilbert-base-multilingual-cased,triple_label_from_row_features,endpoint_concat,es,0.859375,0.8472958642629904,0.25,2304,384
distilbert-base-multilingual-cased,triple_label_from_row_features,signed_vector,es,0.7421875,0.7267407304397988,0.25,2304,384
distilbert-base-multilingual-cased,triple_label_from_row_features,source_only,fr,0.25,0.1,0.25,2304,384
distilbert-base-multilingual-cased,triple_label_from_row_features,endpoint_mean,fr,0.6276041666666666,0.6015445149166079,0.25,2304,384
distilbert-base-multilingual-cased,triple_label_from_row_features,endpoint_concat,fr,0.9166666666666666,0.9158240617974289,0.25,2304,384
distilbert-base-multilingual-cased,triple_label_from_row_features,signed_vector,fr,0.6510416666666666,0.5940805479715633,0.25,2304,384
distilbert-base-multilingual-cased,triple_label_from_row_features,source_only,ru,0.25,0.1,0.25,2304,384
distilbert-base-multilingual-cased,triple_label_from_row_features,endpoint_mean,ru,0.5989583333333334,0.5725300981606115,0.25,2304,384
distilbert-base-multilingual-cased,triple_label_from_row_features,endpoint_concat,ru,0.6666666666666666,0.6439512166687342,0.25,2304,384
distilbert-base-multilingual-cased,triple_label_from_row_features,signed_vector,ru,0.5130208333333334,0.4570512820512821,0.25,2304,384
distilbert-base-multilingual-cased,triple_label_from_row_features,source_only,zh,0.25,0.1,0.25,2304,384
distilbert-base-multilingual-cased,triple_label_from_row_features,endpoint_mean,zh,0.7057291666666666,0.6601916917041194,0.25,2304,384
distilbert-base-multilingual-cased,triple_label_from_row_features,endpoint_concat,zh,0.8333333333333334,0.8246890334360379,0.25,2304,384
distilbert-base-multilingual-cased,triple_label_from_row_features,signed_vector,zh,0.78125,0.7840973939445537,0.25,2304,384
distilbert-base-multilingual-cased,cyclic_vs_anticyclic_from_endpoint_delta,endpoint,ar,0.4865451388888889,0.41269664444194015,0.5,13824,2304
distilbert-base-multilingual-cased,cyclic_vs_anticyclic_from_endpoint_vec,endpoint,ar,0.4913194444444444,0.35925586692926464,0.5,13824,2304
distilbert-base-multilingual-cased,endpoint_position_from_endpoint_delta,endpoint,ar,0.19140625,0.13497034758276735,0.16666666666666666,13824,2304
distilbert-base-multilingual-cased,triple_label_from_single_endpoint_delta,endpoint,ar,0.546875,0.4808102346930963,0.25,13824,2304
distilbert-base-multilingual-cased,cyclic_vs_anticyclic_from_endpoint_delta,endpoint,de,0.4874131944444444,0.48650303726717103,0.5,13824,2304
distilbert-base-multilingual-cased,cyclic_vs_anticyclic_from_endpoint_vec,endpoint,de,0.5308159722222222,0.4562914351117609,0.5,13824,2304
distilbert-base-multilingual-cased,endpoint_position_from_endpoint_delta,endpoint,de,0.2573784722222222,0.24196688078233142,0.16666666666666666,13824,2304
distilbert-base-multilingual-cased,triple_label_from_single_endpoint_delta,endpoint,de,0.6076388888888888,0.5929644579908274,0.25,13824,2304
distilbert-base-multilingual-cased,cyclic_vs_anticyclic_from_endpoint_delta,endpoint,en,0.5416666666666666,0.5403352326829194,0.5,13824,2304
distilbert-base-multilingual-cased,cyclic_vs_anticyclic_from_endpoint_vec,endpoint,en,0.5477430555555556,0.5366815395778974,0.5,13824,2304
distilbert-base-multilingual-cased,endpoint_position_from_endpoint_delta,endpoint,en,0.2834201388888889,0.23895664250246015,0.16666666666666666,13824,2304
distilbert-base-multilingual-cased,triple_label_from_single_endpoint_delta,endpoint,en,0.7482638888888888,0.7491334435970174,0.25,13824,2304
distilbert-base-multilingual-cased,cyclic_vs_anticyclic_from_endpoint_delta,endpoint,es,0.5208333333333334,0.5032058218067756,0.5,13824,2304
distilbert-base-multilingual-cased,cyclic_vs_anticyclic_from_endpoint_vec,endpoint,es,0.5047743055555556,0.39994617724941095,0.5,13824,2304
distilbert-base-multilingual-cased,endpoint_position_from_endpoint_delta,endpoint,es,0.26171875,0.24232749861453343,0.16666666666666666,13824,2304
distilbert-base-multilingual-cased,triple_label_from_single_endpoint_delta,endpoint,es,0.7647569444444444,0.7607951106999229,0.25,13824,2304
distilbert-base-multilingual-cased,cyclic_vs_anticyclic_from_endpoint_delta,endpoint,fr,0.5316840277777778,0.5225310684114849,0.5,13824,2304
distilbert-base-multilingual-cased,cyclic_vs_anticyclic_from_endpoint_vec,endpoint,fr,0.5151909722222222,0.38841282647519076,0.5,13824,2304
distilbert-base-multilingual-cased,endpoint_position_from_endpoint_delta,endpoint,fr,0.2560763888888889,0.22924240848564614,0.16666666666666666,13824,2304
distilbert-base-multilingual-cased,triple_label_from_single_endpoint_delta,endpoint,fr,0.5368923611111112,0.5052143186873137,0.25,13824,2304
distilbert-base-multilingual-cased,cyclic_vs_anticyclic_from_endpoint_delta,endpoint,ru,0.5208333333333334,0.4547694724269765,0.5,13824,2304
distilbert-base-multilingual-cased,cyclic_vs_anticyclic_from_endpoint_vec,endpoint,ru,0.5056423611111112,0.4975160682476644,0.5,13824,2304
distilbert-base-multilingual-cased,endpoint_position_from_endpoint_delta,endpoint,ru,0.2387152777777778,0.219048308727416,0.16666666666666666,13824,2304
distilbert-base-multilingual-cased,triple_label_from_single_endpoint_delta,endpoint,ru,0.4479166666666667,0.4463022783282756,0.25,13824,2304
distilbert-base-multilingual-cased,cyclic_vs_anticyclic_from_endpoint_delta,endpoint,zh,0.5121527777777778,0.41222302013928547,0.5,13824,2304
distilbert-base-multilingual-cased,cyclic_vs_anticyclic_from_endpoint_vec,endpoint,zh,0.5225694444444444,0.45523906802547376,0.5,13824,2304
distilbert-base-multilingual-cased,endpoint_position_from_endpoint_delta,endpoint,zh,0.2092013888888889,0.12492063796801971,0.16666666666666666,13824,2304
distilbert-base-multilingual-cased,triple_label_from_single_endpoint_delta,endpoint,zh,0.6384548611111112,0.647742361943894,0.25,13824,2304
