model,control_task,feature,heldout_language,accuracy,macro_f1,chance,n_train,n_test
intfloat/multilingual-e5-large,triple_label_from_row_features,source_only,ar,0.25,0.1,0.25,2304,384
intfloat/multilingual-e5-large,triple_label_from_row_features,endpoint_mean,ar,0.5364583333333334,0.4581759756178361,0.25,2304,384
intfloat/multilingual-e5-large,triple_label_from_row_features,endpoint_concat,ar,0.5364583333333334,0.4412112676056338,0.25,2304,384
intfloat/multilingual-e5-large,triple_label_from_row_features,signed_vector,ar,0.1171875,0.07564203922368723,0.25,2304,384
intfloat/multilingual-e5-large,triple_label_from_row_features,source_only,de,0.25,0.1,0.25,2304,384
intfloat/multilingual-e5-large,triple_label_from_row_features,endpoint_mean,de,1.0,1.0,0.25,2304,384
intfloat/multilingual-e5-large,triple_label_from_row_features,endpoint_concat,de,1.0,1.0,0.25,2304,384
intfloat/multilingual-e5-large,triple_label_from_row_features,signed_vector,de,1.0,1.0,0.25,2304,384
intfloat/multilingual-e5-large,triple_label_from_row_features,source_only,en,0.25,0.1,0.25,2304,384
intfloat/multilingual-e5-large,triple_label_from_row_features,endpoint_mean,en,1.0,1.0,0.25,2304,384
intfloat/multilingual-e5-large,triple_label_from_row_features,endpoint_concat,en,1.0,1.0,0.25,2304,384
intfloat/multilingual-e5-large,triple_label_from_row_features,signed_vector,en,1.0,1.0,0.25,2304,384
intfloat/multilingual-e5-large,triple_label_from_row_features,source_only,es,0.25,0.1,0.25,2304,384
intfloat/multilingual-e5-large,triple_label_from_row_features,endpoint_mean,es,0.9895833333333334,0.9895822029300054,0.25,2304,384
intfloat/multilingual-e5-large,triple_label_from_row_features,endpoint_concat,es,0.9947916666666666,0.9947911014650027,0.25,2304,384
intfloat/multilingual-e5-large,triple_label_from_row_features,signed_vector,es,0.9765625,0.9765313051745212,0.25,2304,384
intfloat/multilingual-e5-large,triple_label_from_row_features,source_only,fr,0.25,0.1,0.25,2304,384
intfloat/multilingual-e5-large,triple_label_from_row_features,endpoint_mean,fr,0.9895833333333334,0.9895788102475032,0.25,2304,384
intfloat/multilingual-e5-large,triple_label_from_row_features,endpoint_concat,fr,1.0,1.0,0.25,2304,384
intfloat/multilingual-e5-large,triple_label_from_row_features,signed_vector,fr,0.9661458333333334,0.9661007741409752,0.25,2304,384
intfloat/multilingual-e5-large,triple_label_from_row_features,source_only,ru,0.25,0.1,0.25,2304,384
intfloat/multilingual-e5-large,triple_label_from_row_features,endpoint_mean,ru,0.8489583333333334,0.846765630393141,0.25,2304,384
intfloat/multilingual-e5-large,triple_label_from_row_features,endpoint_concat,ru,0.9817708333333334,0.9817465706912942,0.25,2304,384
intfloat/multilingual-e5-large,triple_label_from_row_features,signed_vector,ru,0.8541666666666666,0.8391310370301968,0.25,2304,384
intfloat/multilingual-e5-large,triple_label_from_row_features,source_only,zh,0.25,0.1,0.25,2304,384
intfloat/multilingual-e5-large,triple_label_from_row_features,endpoint_mean,zh,0.9765625,0.9762830066108754,0.25,2304,384
intfloat/multilingual-e5-large,triple_label_from_row_features,endpoint_concat,zh,0.9739583333333334,0.9738874986399739,0.25,2304,384
intfloat/multilingual-e5-large,triple_label_from_row_features,signed_vector,zh,0.7994791666666666,0.7673495411813862,0.25,2304,384
intfloat/multilingual-e5-large,cyclic_vs_anticyclic_from_endpoint_delta,endpoint,ar,0.5125868055555556,0.4179586649045356,0.5,13824,2304
intfloat/multilingual-e5-large,cyclic_vs_anticyclic_from_endpoint_vec,endpoint,ar,0.5004340277777778,0.33429711455549793,0.5,13824,2304
intfloat/multilingual-e5-large,endpoint_position_from_endpoint_delta,endpoint,ar,0.10199652777777778,0.08405754454976595,0.16666666666666666,13824,2304
intfloat/multilingual-e5-large,triple_label_from_single_endpoint_delta,endpoint,ar,0.5004340277777778,0.38553205642260835,0.25,13824,2304
intfloat/multilingual-e5-large,cyclic_vs_anticyclic_from_endpoint_delta,endpoint,de,0.62109375,0.6209360094696645,0.5,13824,2304
intfloat/multilingual-e5-large,cyclic_vs_anticyclic_from_endpoint_vec,endpoint,de,0.6397569444444444,0.6357383027178671,0.5,13824,2304
intfloat/multilingual-e5-large,endpoint_position_from_endpoint_delta,endpoint,de,0.4379340277777778,0.3965231561249922,0.16666666666666666,13824,2304
intfloat/multilingual-e5-large,triple_label_from_single_endpoint_delta,endpoint,de,0.9769965277777778,0.9769060386096822,0.25,13824,2304
intfloat/multilingual-e5-large,cyclic_vs_anticyclic_from_endpoint_delta,endpoint,en,0.6241319444444444,0.6155619951908256,0.5,13824,2304
intfloat/multilingual-e5-large,cyclic_vs_anticyclic_from_endpoint_vec,endpoint,en,0.6158854166666666,0.6158535034547072,0.5,13824,2304
intfloat/multilingual-e5-large,endpoint_position_from_endpoint_delta,endpoint,en,0.3862847222222222,0.3895279946146868,0.16666666666666666,13824,2304
intfloat/multilingual-e5-large,triple_label_from_single_endpoint_delta,endpoint,en,0.9518229166666666,0.9519727090212161,0.25,13824,2304
intfloat/multilingual-e5-large,cyclic_vs_anticyclic_from_endpoint_delta,endpoint,es,0.5907118055555556,0.589923776215197,0.5,13824,2304
intfloat/multilingual-e5-large,cyclic_vs_anticyclic_from_endpoint_vec,endpoint,es,0.5911458333333334,0.5853670465104905,0.5,13824,2304
intfloat/multilingual-e5-large,endpoint_position_from_endpoint_delta,endpoint,es,0.4309895833333333,0.4277148419112757,0.16666666666666666,13824,2304
intfloat/multilingual-e5-large,triple_label_from_single_endpoint_delta,endpoint,es,0.9079861111111112,0.9081452500362405,0.25,13824,2304
intfloat/multilingual-e5-large,cyclic_vs_anticyclic_from_endpoint_delta,endpoint,fr,0.6393229166666666,0.6374180077102153,0.5,13824,2304
intfloat/multilingual-e5-large,cyclic_vs_anticyclic_from_endpoint_vec,endpoint,fr,0.6371527777777778,0.6368547867105576,0.5,13824,2304
intfloat/multilingual-e5-large,endpoint_position_from_endpoint_delta,endpoint,fr,0.4171006944444444,0.4018325511744932,0.16666666666666666,13824,2304
intfloat/multilingual-e5-large,triple_label_from_single_endpoint_delta,endpoint,fr,0.9348958333333334,0.9353517795097939,0.25,13824,2304
intfloat/multilingual-e5-large,cyclic_vs_anticyclic_from_endpoint_delta,endpoint,ru,0.4865451388888889,0.47302830196887047,0.5,13824,2304
intfloat/multilingual-e5-large,cyclic_vs_anticyclic_from_endpoint_vec,endpoint,ru,0.4947916666666667,0.4932275541795666,0.5,13824,2304
