model,control_task,feature,heldout_language,accuracy,macro_f1,chance,n_train,n_test
xlm-roberta-base,triple_label_from_row_features,source_only,ar,0.25,0.1,0.25,2304,384
xlm-roberta-base,triple_label_from_row_features,endpoint_mean,ar,0.2526041666666667,0.10552045085816754,0.25,2304,384
xlm-roberta-base,triple_label_from_row_features,endpoint_concat,ar,0.2578125,0.11598765162552085,0.25,2304,384
xlm-roberta-base,triple_label_from_row_features,signed_vector,ar,0.09114583333333333,0.10787829795249707,0.25,2304,384
xlm-roberta-base,triple_label_from_row_features,source_only,de,0.25,0.1,0.25,2304,384
xlm-roberta-base,triple_label_from_row_features,endpoint_mean,de,0.5911458333333334,0.5451045882029,0.25,2304,384
xlm-roberta-base,triple_label_from_row_features,endpoint_concat,de,0.8203125,0.820220341638288,0.25,2304,384
xlm-roberta-base,triple_label_from_row_features,signed_vector,de,0.9427083333333334,0.942981780599307,0.25,2304,384
xlm-roberta-base,triple_label_from_row_features,source_only,en,0.25,0.1,0.25,2304,384
xlm-roberta-base,triple_label_from_row_features,endpoint_mean,en,0.8072916666666666,0.7848684210526315,0.25,2304,384
xlm-roberta-base,triple_label_from_row_features,endpoint_concat,en,0.9921875,0.9921870783181304,0.25,2304,384
xlm-roberta-base,triple_label_from_row_features,signed_vector,en,0.9947916666666666,0.9947911014650027,0.25,2304,384
xlm-roberta-base,triple_label_from_row_features,source_only,es,0.25,0.1,0.25,2304,384
xlm-roberta-base,triple_label_from_row_features,endpoint_mean,es,0.7369791666666666,0.7337731011644055,0.25,2304,384
xlm-roberta-base,triple_label_from_row_features,endpoint_concat,es,0.984375,0.9843733043950081,0.25,2304,384
xlm-roberta-base,triple_label_from_row_features,signed_vector,es,0.8854166666666666,0.8832934903288306,0.25,2304,384
xlm-roberta-base,triple_label_from_row_features,source_only,fr,0.25,0.1,0.25,2304,384
xlm-roberta-base,triple_label_from_row_features,endpoint_mean,fr,0.7213541666666666,0.7284134231110695,0.25,2304,384
xlm-roberta-base,triple_label_from_row_features,endpoint_concat,fr,0.7994791666666666,0.7697058393114842,0.25,2304,384
xlm-roberta-base,triple_label_from_row_features,signed_vector,fr,0.6666666666666666,0.6396912965441303,0.25,2304,384
xlm-roberta-base,triple_label_from_row_features,source_only,ru,0.25,0.1,0.25,2304,384
xlm-roberta-base,triple_label_from_row_features,endpoint_mean,ru,0.4322916666666667,0.3782389594715553,0.25,2304,384
xlm-roberta-base,triple_label_from_row_features,endpoint_concat,ru,0.765625,0.7645699392528147,0.25,2304,384
xlm-roberta-base,triple_label_from_row_features,signed_vector,ru,0.46875,0.4410054957135685,0.25,2304,384
xlm-roberta-base,triple_label_from_row_features,source_only,zh,0.25,0.1,0.25,2304,384
xlm-roberta-base,triple_label_from_row_features,endpoint_mean,zh,0.6848958333333334,0.6665896156442375,0.25,2304,384
xlm-roberta-base,triple_label_from_row_features,endpoint_concat,zh,0.7395833333333334,0.7067660097596165,0.25,2304,384
xlm-roberta-base,triple_label_from_row_features,signed_vector,zh,0.6276041666666666,0.5867654276258312,0.25,2304,384
xlm-roberta-base,cyclic_vs_anticyclic_from_endpoint_delta,endpoint,ar,0.4900173611111111,0.4424452171326996,0.5,13824,2304
xlm-roberta-base,cyclic_vs_anticyclic_from_endpoint_vec,endpoint,ar,0.5,0.3333333333333333,0.5,13824,2304
xlm-roberta-base,endpoint_position_from_endpoint_delta,endpoint,ar,0.1371527777777778,0.11832462595674957,0.16666666666666666,13824,2304
xlm-roberta-base,triple_label_from_single_endpoint_delta,endpoint,ar,0.4535590277777778,0.39957204227935267,0.25,13824,2304
xlm-roberta-base,cyclic_vs_anticyclic_from_endpoint_delta,endpoint,de,0.5065104166666666,0.4478459409642706,0.5,13824,2304
xlm-roberta-base,cyclic_vs_anticyclic_from_endpoint_vec,endpoint,de,0.5737847222222222,0.5736147598138062,0.5,13824,2304
xlm-roberta-base,endpoint_position_from_endpoint_delta,endpoint,de,0.2834201388888889,0.22333299938728693,0.16666666666666666,13824,2304
xlm-roberta-base,triple_label_from_single_endpoint_delta,endpoint,de,0.7638888888888888,0.763312432817795,0.25,13824,2304
xlm-roberta-base,cyclic_vs_anticyclic_from_endpoint_delta,endpoint,en,0.5199652777777778,0.420634335993452,0.5,13824,2304
xlm-roberta-base,cyclic_vs_anticyclic_from_endpoint_vec,endpoint,en,0.5503472222222222,0.47716330673601187,0.5,13824,2304
xlm-roberta-base,endpoint_position_from_endpoint_delta,endpoint,en,0.2482638888888889,0.1956645891523621,0.16666666666666666,13824,2304
xlm-roberta-base,triple_label_from_single_endpoint_delta,endpoint,en,0.8967013888888888,0.8978298991259436,0.25,13824,2304
xlm-roberta-base,cyclic_vs_anticyclic_from_endpoint_delta,endpoint,es,0.5416666666666666,0.5170670359125497,0.5,13824,2304
xlm-roberta-base,cyclic_vs_anticyclic_from_endpoint_vec,endpoint,es,0.5026041666666666,0.34060493695202,0.5,13824,2304
xlm-roberta-base,endpoint_position_from_endpoint_delta,endpoint,es,0.2760416666666667,0.26393603231562773,0.16666666666666666,13824,2304
xlm-roberta-base,triple_label_from_single_endpoint_delta,endpoint,es,0.6966145833333334,0.6908191921255491,0.25,13824,2304
xlm-roberta-base,cyclic_vs_anticyclic_from_endpoint_delta,endpoint,fr,0.5017361111111112,0.37049659757736847,0.5,13824,2304
xlm-roberta-base,cyclic_vs_anticyclic_from_endpoint_vec,endpoint,fr,0.5394965277777778,0.5375625092812153,0.5,13824,2304
xlm-roberta-base,endpoint_position_from_endpoint_delta,endpoint,fr,0.2165798611111111,0.18932696897736098,0.16666666666666666,13824,2304
xlm-roberta-base,triple_label_from_single_endpoint_delta,endpoint,fr,0.6605902777777778,0.6305559894616426,0.25,13824,2304
xlm-roberta-base,cyclic_vs_anticyclic_from_endpoint_delta,endpoint,ru,0.5,0.36893461495664676,0.5,13824,2304
xlm-roberta-base,cyclic_vs_anticyclic_from_endpoint_vec,endpoint,ru,0.5186631944444444,0.4825077695651778,0.5,13824,2304
xlm-roberta-base,endpoint_position_from_endpoint_delta,endpoint,ru,0.21571180555555555,0.15269934110484795,0.16666666666666666,13824,2304
xlm-roberta-base,triple_label_from_single_endpoint_delta,endpoint,ru,0.4852430555555556,0.45580062478560557,0.25,13824,2304
xlm-roberta-base,cyclic_vs_anticyclic_from_endpoint_delta,endpoint,zh,0.5008680555555556,0.33678756476683935,0.5,13824,2304
xlm-roberta-base,cyclic_vs_anticyclic_from_endpoint_vec,endpoint,zh,0.52734375,0.4451013093237929,0.5,13824,2304
xlm-roberta-base,endpoint_position_from_endpoint_delta,endpoint,zh,0.16927083333333334,0.07487562940782778,0.16666666666666666,13824,2304
xlm-roberta-base,triple_label_from_single_endpoint_delta,endpoint,zh,0.78125,0.7760326236798245,0.25,13824,2304
