model,language,triple,mean_raw_ratio,mean_residual_ratio,mean_residual_minus_raw_ratio,frac_raw_below_null,frac_residual_below_null,n
intfloat/multilingual-e5-large,ar,NMT,0.6903388430959813,0.6909582096476771,0.0006193665516957657,1.0,1.0,96
intfloat/multilingual-e5-large,ar,NQM,0.4723063417179481,0.4717106710680558,-0.0005956706498923032,1.0,1.0,96
intfloat/multilingual-e5-large,ar,NQT,0.5626897455000138,0.5591954098675049,-0.0034943356325088403,1.0,1.0,96
intfloat/multilingual-e5-large,ar,QMT,0.464812720099774,0.46293346666701973,-0.0018792534327542766,1.0,1.0,96
intfloat/multilingual-e5-large,de,NMT,0.7697938456350668,0.7715040053101312,0.001710159675064455,1.0,1.0,96
intfloat/multilingual-e5-large,de,NQM,0.6450188115332113,0.6085821802656257,-0.036436631267585534,1.0,1.0,96
intfloat/multilingual-e5-large,de,NQT,0.7651616684516593,0.7485368363245278,-0.016624832127131634,1.0,1.0,96
intfloat/multilingual-e5-large,de,QMT,0.6558418211202942,0.6591431337608534,0.003301312640559126,1.0,1.0,96
intfloat/multilingual-e5-large,en,NMT,0.7672663067879605,0.765978034316997,-0.0012882724709634477,1.0,1.0,96
intfloat/multilingual-e5-large,en,NQM,0.657428714566991,0.6387896783858444,-0.018639036181146637,1.0,1.0,96
intfloat/multilingual-e5-large,en,NQT,0.7396028010995735,0.7294465816372121,-0.010156219462361364,1.0,1.0,96
intfloat/multilingual-e5-large,en,QMT,0.7291008057480073,0.7297387422428407,0.0006379364948334449,1.0,1.0,96
intfloat/multilingual-e5-large,es,NMT,0.6996584855935515,0.703219392289856,0.00356090669630447,1.0,1.0,96
intfloat/multilingual-e5-large,es,NQM,0.5840423430503604,0.5702715435279121,-0.013770799522448344,1.0,1.0,96
intfloat/multilingual-e5-large,es,NQT,0.7279527817262781,0.7199252719390716,-0.008027509787206436,1.0,1.0,96
intfloat/multilingual-e5-large,es,QMT,0.6450200990516993,0.6477081706448864,0.0026880715931870505,1.0,1.0,96
intfloat/multilingual-e5-large,fr,NMT,0.7830663199592393,0.7810618990649411,-0.0020044208942981575,1.0,1.0,96
intfloat/multilingual-e5-large,fr,NQM,0.62250409344986,0.5977414636204175,-0.02476262982944252,1.0,1.0,96
intfloat/multilingual-e5-large,fr,NQT,0.7656467036871929,0.7520309458808588,-0.013615757806334089,1.0,1.0,96
intfloat/multilingual-e5-large,fr,QMT,0.6978328547788163,0.6989655114163128,0.0011326566374965524,1.0,1.0,96
intfloat/multilingual-e5-large,ru,NMT,0.8240240673672892,0.8234240886778167,-0.0005999786894725403,1.0,1.0,96
intfloat/multilingual-e5-large,ru,NQM,0.4915547497076546,0.4874695595511664,-0.004085190156488259,1.0,1.0,96
intfloat/multilingual-e5-large,ru,NQT,0.6696152222415793,0.6711077076381647,0.00149248539658553,1.0,1.0,96
intfloat/multilingual-e5-large,ru,QMT,0.607891826621587,0.6111481791745503,0.003256352552963332,1.0,1.0,96
intfloat/multilingual-e5-large,zh,NMT,0.8181818222111698,0.8181818134516626,-8.759506923046908e-09,1.0,1.0,96
intfloat/multilingual-e5-large,zh,NQM,0.6167029478439846,0.5933198073065574,-0.0233831405374271,1.0,1.0,96
intfloat/multilingual-e5-large,zh,NQT,0.6806538312058428,0.6714868910414994,-0.009166940164343497,1.0,1.0,96
intfloat/multilingual-e5-large,zh,QMT,0.5559808099415281,0.5516584269065427,-0.004322383034985328,1.0,1.0,96
