model,heldout_language,probe,subspace_rank,accuracy,macro_f1,chance,n_train,n_test
BAAI/bge-m3,ar,triple_label_from_single_endpoint_delta,4,0.4496527777777778,0.3686388559968092,0.25,13824,2304
BAAI/bge-m3,ar,endpoint_position_from_endpoint_delta,6,0.1032986111111111,0.0768615352552438,0.1666666666666666,13824,2304
BAAI/bge-m3,ar,cyclic_vs_anticyclic_from_endpoint_delta,1,0.4991319444444444,0.335242819425554,0.5,13824,2304
BAAI/bge-m3,de,triple_label_from_single_endpoint_delta,4,0.9752604166666666,0.9753382717270384,0.25,13824,2304
BAAI/bge-m3,de,endpoint_position_from_endpoint_delta,6,0.4019097222222222,0.3676771004123589,0.1666666666666666,13824,2304
BAAI/bge-m3,de,cyclic_vs_anticyclic_from_endpoint_delta,1,0.6141493055555556,0.6140387175551806,0.5,13824,2304
BAAI/bge-m3,en,triple_label_from_single_endpoint_delta,4,0.9830729166666666,0.9830606503220242,0.25,13824,2304
BAAI/bge-m3,en,endpoint_position_from_endpoint_delta,6,0.4049479166666667,0.4137789743651086,0.1666666666666666,13824,2304
BAAI/bge-m3,en,cyclic_vs_anticyclic_from_endpoint_delta,1,0.6223958333333334,0.6200769671661345,0.5,13824,2304
BAAI/bge-m3,es,triple_label_from_single_endpoint_delta,4,0.8467881944444444,0.8492453822303689,0.25,13824,2304
BAAI/bge-m3,es,endpoint_position_from_endpoint_delta,6,0.3654513888888889,0.3529889778085258,0.1666666666666666,13824,2304
BAAI/bge-m3,es,cyclic_vs_anticyclic_from_endpoint_delta,1,0.6197916666666666,0.6196882139193498,0.5,13824,2304
BAAI/bge-m3,fr,triple_label_from_single_endpoint_delta,4,0.9652777777777778,0.9651341812146752,0.25,13824,2304
BAAI/bge-m3,fr,endpoint_position_from_endpoint_delta,6,0.41796875,0.4135333223720829,0.1666666666666666,13824,2304
BAAI/bge-m3,fr,cyclic_vs_anticyclic_from_endpoint_delta,1,0.60546875,0.6050722909128212,0.5,13824,2304
BAAI/bge-m3,ru,triple_label_from_single_endpoint_delta,4,0.828125,0.8245600277777911,0.25,13824,2304
BAAI/bge-m3,ru,endpoint_position_from_endpoint_delta,6,0.2526041666666667,0.2293288930358798,0.1666666666666666,13824,2304
BAAI/bge-m3,ru,cyclic_vs_anticyclic_from_endpoint_delta,1,0.5447048611111112,0.4924934301633981,0.5,13824,2304
BAAI/bge-m3,zh,triple_label_from_single_endpoint_delta,4,0.9587673611111112,0.9591261794399036,0.25,13824,2304
BAAI/bge-m3,zh,endpoint_position_from_endpoint_delta,6,0.4140625,0.3901969917629488,0.1666666666666666,13824,2304
BAAI/bge-m3,zh,cyclic_vs_anticyclic_from_endpoint_delta,1,0.5954861111111112,0.5949730765197223,0.5,13824,2304
bert-base-multilingual-cased,ar,triple_label_from_single_endpoint_delta,4,0.5407986111111112,0.5132293403841661,0.25,13824,2304
bert-base-multilingual-cased,ar,endpoint_position_from_endpoint_delta,6,0.1684027777777778,0.1042843840209297,0.1666666666666666,13824,2304
bert-base-multilingual-cased,ar,cyclic_vs_anticyclic_from_endpoint_delta,1,0.4973958333333333,0.3517825280761292,0.5,13824,2304
bert-base-multilingual-cased,de,triple_label_from_single_endpoint_delta,4,0.8051215277777778,0.8051547837488804,0.25,13824,2304
bert-base-multilingual-cased,de,endpoint_position_from_endpoint_delta,6,0.3480902777777778,0.3271632548549946,0.1666666666666666,13824,2304
bert-base-multilingual-cased,de,cyclic_vs_anticyclic_from_endpoint_delta,1,0.5208333333333334,0.5139593452747193,0.5,13824,2304
bert-base-multilingual-cased,en,triple_label_from_single_endpoint_delta,4,0.7990451388888888,0.7984613946178307,0.25,13824,2304
bert-base-multilingual-cased,en,endpoint_position_from_endpoint_delta,6,0.2994791666666667,0.2988215635051865,0.1666666666666666,13824,2304
bert-base-multilingual-cased,en,cyclic_vs_anticyclic_from_endpoint_delta,1,0.5551215277777778,0.5534963921048874,0.5,13824,2304
bert-base-multilingual-cased,es,triple_label_from_single_endpoint_delta,4,0.7834201388888888,0.7829837447279367,0.25,13824,2304
bert-base-multilingual-cased,es,endpoint_position_from_endpoint_delta,6,0.3216145833333333,0.2952696123344729,0.1666666666666666,13824,2304
bert-base-multilingual-cased,es,cyclic_vs_anticyclic_from_endpoint_delta,1,0.5221354166666666,0.4649891899176763,0.5,13824,2304
bert-base-multilingual-cased,fr,triple_label_from_single_endpoint_delta,4,0.7274305555555556,0.7238810408400371,0.25,13824,2304
