model,heldout_language,probe,subspace_rank,accuracy,macro_f1,chance,n_train,n_test
distilbert-base-multilingual-cased,ar,triple_label_from_single_endpoint_delta,4,0.5850694444444444,0.5417536059410465,0.25,13824,2304
distilbert-base-multilingual-cased,ar,endpoint_position_from_endpoint_delta,6,0.1853298611111111,0.13166554316222204,0.16666666666666666,13824,2304
distilbert-base-multilingual-cased,ar,cyclic_vs_anticyclic_from_endpoint_delta,1,0.4796006944444444,0.43353947399988557,0.5,13824,2304
distilbert-base-multilingual-cased,de,triple_label_from_single_endpoint_delta,4,0.6193576388888888,0.6034539572249418,0.25,13824,2304
distilbert-base-multilingual-cased,de,endpoint_position_from_endpoint_delta,6,0.2973090277777778,0.2785379870957484,0.16666666666666666,13824,2304
distilbert-base-multilingual-cased,de,cyclic_vs_anticyclic_from_endpoint_delta,1,0.5069444444444444,0.49797297504657095,0.5,13824,2304
distilbert-base-multilingual-cased,en,triple_label_from_single_endpoint_delta,4,0.7269965277777778,0.7264961729949819,0.25,13824,2304
distilbert-base-multilingual-cased,en,endpoint_position_from_endpoint_delta,6,0.2921006944444444,0.2707242743831107,0.16666666666666666,13824,2304
distilbert-base-multilingual-cased,en,cyclic_vs_anticyclic_from_endpoint_delta,1,0.5516493055555556,0.5493939903976772,0.5,13824,2304
distilbert-base-multilingual-cased,es,triple_label_from_single_endpoint_delta,4,0.8090277777777778,0.8086924288086816,0.25,13824,2304
distilbert-base-multilingual-cased,es,endpoint_position_from_endpoint_delta,6,0.2829861111111111,0.23359614978408805,0.16666666666666666,13824,2304
distilbert-base-multilingual-cased,es,cyclic_vs_anticyclic_from_endpoint_delta,1,0.5004340277777778,0.3967997841866203,0.5,13824,2304
distilbert-base-multilingual-cased,fr,triple_label_from_single_endpoint_delta,4,0.5403645833333334,0.506363511580381,0.25,13824,2304
distilbert-base-multilingual-cased,fr,endpoint_position_from_endpoint_delta,6,0.2521701388888889,0.22163064059018112,0.16666666666666666,13824,2304
distilbert-base-multilingual-cased,fr,cyclic_vs_anticyclic_from_endpoint_delta,1,0.5425347222222222,0.5411184210526316,0.5,13824,2304
distilbert-base-multilingual-cased,ru,triple_label_from_single_endpoint_delta,4,0.4956597222222222,0.4902999944164534,0.25,13824,2304
distilbert-base-multilingual-cased,ru,endpoint_position_from_endpoint_delta,6,0.22526041666666666,0.18693309479134765,0.16666666666666666,13824,2304
distilbert-base-multilingual-cased,ru,cyclic_vs_anticyclic_from_endpoint_delta,1,0.4995659722222222,0.46197606700509464,0.5,13824,2304
distilbert-base-multilingual-cased,zh,triple_label_from_single_endpoint_delta,4,0.69140625,0.6933539322341173,0.25,13824,2304
distilbert-base-multilingual-cased,zh,endpoint_position_from_endpoint_delta,6,0.2230902777777778,0.1555482302008501,0.16666666666666666,13824,2304
distilbert-base-multilingual-cased,zh,cyclic_vs_anticyclic_from_endpoint_delta,1,0.5338541666666666,0.48645031894298874,0.5,13824,2304
