model,heldout_language,probe,subspace_rank,accuracy,macro_f1,chance,n_train,n_test
intfloat/multilingual-e5-large,ar,triple_label_from_single_endpoint_delta,4,0.4965277777777778,0.37580630870104553,0.25,13824,2304
intfloat/multilingual-e5-large,ar,endpoint_position_from_endpoint_delta,6,0.12152777777777778,0.08909589665577651,0.16666666666666666,13824,2304
intfloat/multilingual-e5-large,ar,cyclic_vs_anticyclic_from_endpoint_delta,1,0.5021701388888888,0.4523370230516035,0.5,13824,2304
intfloat/multilingual-e5-large,de,triple_label_from_single_endpoint_delta,4,0.9796006944444444,0.9795672157545713,0.25,13824,2304
intfloat/multilingual-e5-large,de,endpoint_position_from_endpoint_delta,6,0.4466145833333333,0.4081595666266707,0.16666666666666666,13824,2304
intfloat/multilingual-e5-large,de,cyclic_vs_anticyclic_from_endpoint_delta,1,0.6228298611111112,0.6228263795626791,0.5,13824,2304
intfloat/multilingual-e5-large,en,triple_label_from_single_endpoint_delta,4,0.9691840277777778,0.9689340357708327,0.25,13824,2304
intfloat/multilingual-e5-large,en,endpoint_position_from_endpoint_delta,6,0.4127604166666667,0.4153331995749487,0.16666666666666666,13824,2304
intfloat/multilingual-e5-large,en,cyclic_vs_anticyclic_from_endpoint_delta,1,0.6310763888888888,0.6307734075406387,0.5,13824,2304
intfloat/multilingual-e5-large,es,triple_label_from_single_endpoint_delta,4,0.9309895833333334,0.9311345504691879,0.25,13824,2304
intfloat/multilingual-e5-large,es,endpoint_position_from_endpoint_delta,6,0.4392361111111111,0.4345657249750561,0.16666666666666666,13824,2304
intfloat/multilingual-e5-large,es,cyclic_vs_anticyclic_from_endpoint_delta,1,0.5924479166666666,0.590028362238485,0.5,13824,2304
intfloat/multilingual-e5-large,fr,triple_label_from_single_endpoint_delta,4,0.9483506944444444,0.9485462212972362,0.25,13824,2304
intfloat/multilingual-e5-large,fr,endpoint_position_from_endpoint_delta,6,0.44140625,0.43362928513639254,0.16666666666666666,13824,2304
intfloat/multilingual-e5-large,fr,cyclic_vs_anticyclic_from_endpoint_delta,1,0.6519097222222222,0.64755859375,0.5,13824,2304
intfloat/multilingual-e5-large,ru,triple_label_from_single_endpoint_delta,4,0.7282986111111112,0.7175630928486714,0.25,13824,2304
intfloat/multilingual-e5-large,ru,endpoint_position_from_endpoint_delta,6,0.3090277777777778,0.30270513816756095,0.16666666666666666,13824,2304
intfloat/multilingual-e5-large,ru,cyclic_vs_anticyclic_from_endpoint_delta,1,0.5030381944444444,0.4973545225574848,0.5,13824,2304
intfloat/multilingual-e5-large,zh,triple_label_from_single_endpoint_delta,4,0.9088541666666666,0.9089593967823102,0.25,13824,2304
intfloat/multilingual-e5-large,zh,endpoint_position_from_endpoint_delta,6,0.4075520833333333,0.3968880197894337,0.16666666666666666,13824,2304
intfloat/multilingual-e5-large,zh,cyclic_vs_anticyclic_from_endpoint_delta,1,0.6019965277777778,0.6008589747731419,0.5,13824,2304
