triple,residualization,mean_ratio_to_exact_null,mean_frac_below_null,mean_subspace_rank,n_cells
NMT,raw,0.7558224144599125,0.9993386243386244,0.0,63
NMT,remove_endpoint_position,0.7558799253200665,0.9996693121693121,6.0,63
NMT,remove_sign,0.7556355714920048,0.9993386243386244,1.0,63
NMT,remove_triple_label,0.7553539558159726,0.9993386243386244,4.0,63
NMT,remove_triple_plus_position_plus_sign,0.7554377392617673,0.9996693121693121,11.0,63
NQM,raw,0.5493423649219523,1.0,0.0,63
NQM,remove_endpoint_position,0.5461955420802843,1.0,6.0,63
NQM,remove_sign,0.5412355570628509,1.0,1.0,63
NQM,remove_triple_label,0.5488907004244461,1.0,4.0,63
NQM,remove_triple_plus_position_plus_sign,0.5466529758919665,1.0,11.0,63
NQT,raw,0.6838875790181759,1.0,0.0,63
NQT,remove_endpoint_position,0.6841876849504109,1.0,6.0,63
NQT,remove_sign,0.679757278723742,1.0,1.0,63
NQT,remove_triple_label,0.68487582062072,1.0,4.0,63
NQT,remove_triple_plus_position_plus_sign,0.6848809615636859,1.0,11.0,63
QMT,raw,0.6024666297300749,1.0,0.0,63
QMT,remove_endpoint_position,0.6161050827371187,1.0,6.0,63
QMT,remove_sign,0.6026840316843434,1.0,1.0,63
QMT,remove_triple_label,0.600378946052067,1.0,4.0,63
QMT,remove_triple_plus_position_plus_sign,0.6150949259046066,1.0,11.0,63
