model,language,template_id,triple,residualization,subspace_rank,relative_signed_permutation_norm,ratio_to_exact_null_mean,exact_empirical_p
BAAI/bge-m3,ar,0,NQM,raw,0,0.7841338515281677,0.5938472269198488,0.2631578947368421
BAAI/bge-m3,ar,0,NQM,remove_sign,1,0.7855219663572023,0.5956759779514788,0.05263157894736842
BAAI/bge-m3,ar,0,NQM,remove_triple_label,4,0.8029070664433346,0.5905558813297405,0.47368421052631576
BAAI/bge-m3,ar,0,NQM,remove_endpoint_position,6,0.7662065355892651,0.5810619393287236,0.3684210526315789
BAAI/bge-m3,ar,0,NQM,remove_triple_plus_position_plus_sign,11,0.7833444518477388,0.5728878364100738,0.3684210526315789
BAAI/bge-m3,ar,0,NQT,raw,0,0.47039204835891724,0.5284788401338306,0.5789473684210527
BAAI/bge-m3,ar,0,NQT,remove_sign,1,0.4703825375402942,0.5286967523533769,0.5789473684210527
BAAI/bge-m3,ar,0,NQT,remove_triple_label,4,0.48109013184199667,0.5254593016702255,0.5789473684210527
BAAI/bge-m3,ar,0,NQT,remove_endpoint_position,6,0.4670486351064064,0.5319344483788876,0.5789473684210527
BAAI/bge-m3,ar,0,NQT,remove_triple_plus_position_plus_sign,11,0.48146494054693484,0.5278550534474545,0.3684210526315789
BAAI/bge-m3,ar,0,NMT,raw,0,0.47020643949508667,0.7251701855199697,0.3684210526315789
BAAI/bge-m3,ar,0,NMT,remove_sign,1,0.4684212062400015,0.7248238455168955,0.3684210526315789
BAAI/bge-m3,ar,0,NMT,remove_triple_label,4,0.4619029020048667,0.7187130980921678,0.3684210526315789
BAAI/bge-m3,ar,0,NMT,remove_endpoint_position,6,0.475999598090647,0.7225569364658786,0.3684210526315789
BAAI/bge-m3,ar,0,NMT,remove_triple_plus_position_plus_sign,11,0.4721874995324286,0.7174914024767038,0.3684210526315789
BAAI/bge-m3,ar,0,QMT,raw,0,0.7864646315574646,0.6147592529501466,0.5789473684210527
BAAI/bge-m3,ar,0,QMT,remove_sign,1,0.7875709609442163,0.6146967913276921,0.5789473684210527
BAAI/bge-m3,ar,0,QMT,remove_triple_label,4,0.8100988241918458,0.610576560493135,0.5789473684210527
BAAI/bge-m3,ar,0,QMT,remove_endpoint_position,6,0.7840402086083554,0.623433371524541,0.5789473684210527
BAAI/bge-m3,ar,0,QMT,remove_triple_plus_position_plus_sign,11,0.8137045560935059,0.6201242005375421,0.5789473684210527
BAAI/bge-m3,ar,1,NQM,raw,0,0.552945077419281,0.4888494350796121,0.05263157894736842
BAAI/bge-m3,ar,1,NQM,remove_sign,1,0.5574128370685645,0.49213646445198084,0.3684210526315789
BAAI/bge-m3,ar,1,NQM,remove_triple_label,4,0.5708701097822775,0.4835859233349197,0.3684210526315789
BAAI/bge-m3,ar,1,NQM,remove_endpoint_position,6,0.5168451124302897,0.46606549719573,0.2631578947368421
BAAI/bge-m3,ar,1,NQM,remove_triple_plus_position_plus_sign,11,0.5383953137752794,0.4580635446426795,0.3684210526315789
BAAI/bge-m3,ar,1,NQT,raw,0,0.5477098226547241,0.5550452373591662,0.5789473684210527
BAAI/bge-m3,ar,1,NQT,remove_sign,1,0.5491646434196064,0.5575915525953774,0.5789473684210527
BAAI/bge-m3,ar,1,NQT,remove_triple_label,4,0.5806383972250967,0.5578448111143922,0.5789473684210527
