model,language,template_id,triple,residualization,subspace_rank,relative_signed_permutation_norm,ratio_to_exact_null_mean,exact_empirical_p
Qwen/Qwen3-Embedding-0.6B,ar,0,NQM,raw,0,0.7420874238014221,0.5490931624393766,0.3684210526315789
Qwen/Qwen3-Embedding-0.6B,ar,0,NQM,remove_sign,1,0.7360062005237319,0.5458127498507335,0.3684210526315789
Qwen/Qwen3-Embedding-0.6B,ar,0,NQM,remove_triple_label,4,0.7253705538359234,0.5413293949233966,0.15789473684210525
Qwen/Qwen3-Embedding-0.6B,ar,0,NQM,remove_endpoint_position,6,0.7370096647249288,0.5455600598116274,0.3684210526315789
Qwen/Qwen3-Embedding-0.6B,ar,0,NQM,remove_triple_plus_position_plus_sign,11,0.7183145193046654,0.5344938935915067,0.3684210526315789
Qwen/Qwen3-Embedding-0.6B,ar,0,NQT,raw,0,0.7796637415885925,0.6181010616979549,0.5789473684210527
Qwen/Qwen3-Embedding-0.6B,ar,0,NQT,remove_sign,1,0.7806885721086381,0.6185036871252414,0.15789473684210525
Qwen/Qwen3-Embedding-0.6B,ar,0,NQT,remove_triple_label,4,0.7824143325613956,0.6230832615729308,0.5789473684210527
Qwen/Qwen3-Embedding-0.6B,ar,0,NQT,remove_endpoint_position,6,0.7730668761102054,0.6148722101927069,0.5789473684210527
Qwen/Qwen3-Embedding-0.6B,ar,0,NQT,remove_triple_plus_position_plus_sign,11,0.7792647811625131,0.6207843296558273,0.5789473684210527
Qwen/Qwen3-Embedding-0.6B,ar,0,NMT,raw,0,0.726151168346405,0.6770447381348333,0.3684210526315789
Qwen/Qwen3-Embedding-0.6B,ar,0,NMT,remove_sign,1,0.7262289960791912,0.6772365601674812,0.3684210526315789
Qwen/Qwen3-Embedding-0.6B,ar,0,NMT,remove_triple_label,4,0.732901072447017,0.6782025102457053,0.3684210526315789
Qwen/Qwen3-Embedding-0.6B,ar,0,NMT,remove_endpoint_position,6,0.744350500018886,0.6788978038031775,0.3684210526315789
Qwen/Qwen3-Embedding-0.6B,ar,0,NMT,remove_triple_plus_position_plus_sign,11,0.7521664342348515,0.6800418590972613,0.3684210526315789
Qwen/Qwen3-Embedding-0.6B,ar,0,QMT,raw,0,0.8159557580947876,0.6318218576239242,0.5789473684210527
Qwen/Qwen3-Embedding-0.6B,ar,0,QMT,remove_sign,1,0.8121814456006111,0.6297940661495223,0.5789473684210527
Qwen/Qwen3-Embedding-0.6B,ar,0,QMT,remove_triple_label,4,0.8050697739499306,0.6275939556211921,0.5789473684210527
Qwen/Qwen3-Embedding-0.6B,ar,0,QMT,remove_endpoint_position,6,0.804822480522565,0.6279347149312003,0.5789473684210527
Qwen/Qwen3-Embedding-0.6B,ar,0,QMT,remove_triple_plus_position_plus_sign,11,0.8024778328574337,0.6285381205420363,0.5789473684210527
Qwen/Qwen3-Embedding-0.6B,ar,1,NQM,raw,0,0.7367171049118042,0.5656991534027879,0.3684210526315789
Qwen/Qwen3-Embedding-0.6B,ar,1,NQM,remove_sign,1,0.7325049134010081,0.5636553455353381,0.3684210526315789
Qwen/Qwen3-Embedding-0.6B,ar,1,NQM,remove_triple_label,4,0.7299867859851293,0.5608754276072824,0.3684210526315789
Qwen/Qwen3-Embedding-0.6B,ar,1,NQM,remove_endpoint_position,6,0.7426556242017889,0.569374100190366,0.3684210526315789
