model,language,template_id,triple,residualization,subspace_rank,relative_signed_permutation_norm,ratio_to_exact_null_mean,exact_empirical_p
intfloat/multilingual-e5-large,ar,0,NQM,raw,0,0.4742158353328705,0.5288990602920449,0.3684210526315789
intfloat/multilingual-e5-large,ar,0,NQM,remove_sign,1,0.47373277507184147,0.5299793675663477,0.3684210526315789
intfloat/multilingual-e5-large,ar,0,NQM,remove_triple_label,4,0.5119280518122347,0.5330003210533271,0.3684210526315789
intfloat/multilingual-e5-large,ar,0,NQM,remove_endpoint_position,6,0.48259069718454267,0.5232750462311537,0.2631578947368421
intfloat/multilingual-e5-large,ar,0,NQM,remove_triple_plus_position_plus_sign,11,0.504804908277561,0.5332312095385422,0.3684210526315789
intfloat/multilingual-e5-large,ar,0,NQT,raw,0,0.46954119205474854,0.6083635376994101,0.3684210526315789
intfloat/multilingual-e5-large,ar,0,NQT,remove_sign,1,0.4688194112275088,0.609025723740614,0.15789473684210525
intfloat/multilingual-e5-large,ar,0,NQT,remove_triple_label,4,0.5023364835696417,0.6129752243596969,0.5789473684210527
intfloat/multilingual-e5-large,ar,0,NQT,remove_endpoint_position,6,0.4870032361179807,0.6114892774046998,0.5789473684210527
intfloat/multilingual-e5-large,ar,0,NQT,remove_triple_plus_position_plus_sign,11,0.5014183638015886,0.6191889178011123,0.5789473684210527
intfloat/multilingual-e5-large,ar,0,NMT,raw,0,0.33186501264572144,0.7802128409501131,0.5789473684210527
intfloat/multilingual-e5-large,ar,0,NMT,remove_sign,1,0.33174851706646513,0.7802696457964522,0.47368421052631576
intfloat/multilingual-e5-large,ar,0,NMT,remove_triple_label,4,0.332315301646246,0.7802313003200118,0.5789473684210527
intfloat/multilingual-e5-large,ar,0,NMT,remove_endpoint_position,6,0.32737542881606047,0.779207376038227,0.47368421052631576
intfloat/multilingual-e5-large,ar,0,NMT,remove_triple_plus_position_plus_sign,11,0.3247785591543585,0.7764697729776807,0.5789473684210527
intfloat/multilingual-e5-large,ar,0,QMT,raw,0,0.4423902928829193,0.5352446633227126,0.5789473684210527
intfloat/multilingual-e5-large,ar,0,QMT,remove_sign,1,0.442550230663974,0.5356900579146168,0.5789473684210527
intfloat/multilingual-e5-large,ar,0,QMT,remove_triple_label,4,0.4786089097939395,0.5378091731320409,0.5789473684210527
intfloat/multilingual-e5-large,ar,0,QMT,remove_endpoint_position,6,0.4620849363570156,0.5402351305307311,0.5789473684210527
intfloat/multilingual-e5-large,ar,0,QMT,remove_triple_plus_position_plus_sign,11,0.4787202551047491,0.5460191974189174,0.5789473684210527
intfloat/multilingual-e5-large,ar,1,NQM,raw,0,0.34849756956100464,0.4389678491367184,0.3684210526315789
intfloat/multilingual-e5-large,ar,1,NQM,remove_sign,1,0.34891922002456927,0.4390691239061371,0.3684210526315789
intfloat/multilingual-e5-large,ar,1,NQM,remove_triple_label,4,0.38454114674624235,0.4426580976714402,0.3684210526315789
intfloat/multilingual-e5-large,ar,1,NQM,remove_endpoint_position,6,0.35473177026749114,0.43295229982100164,0.3684210526315789
