model,language,triple,residualization,mean_ratio_to_exact_null,frac_below_null,mean_subspace_rank,n
distilbert-base-multilingual-cased,ar,NMT,raw,0.7974941907493988,1.0,0.0,96
distilbert-base-multilingual-cased,ar,NMT,remove_endpoint_position,0.7966646682764124,1.0,6.0,96
distilbert-base-multilingual-cased,ar,NMT,remove_sign,0.7976103972945915,1.0,1.0,96
distilbert-base-multilingual-cased,ar,NMT,remove_triple_label,0.7979131824032425,1.0,4.0,96
distilbert-base-multilingual-cased,ar,NMT,remove_triple_plus_position_plus_sign,0.7973148492509781,1.0,11.0,96
distilbert-base-multilingual-cased,ar,NQM,raw,0.5639314238570473,1.0,0.0,96
distilbert-base-multilingual-cased,ar,NQM,remove_endpoint_position,0.5674207693557077,1.0,6.0,96
distilbert-base-multilingual-cased,ar,NQM,remove_sign,0.5632012427778559,1.0,1.0,96
distilbert-base-multilingual-cased,ar,NQM,remove_triple_label,0.562896560907929,1.0,4.0,96
distilbert-base-multilingual-cased,ar,NQM,remove_triple_plus_position_plus_sign,0.5657628466170738,1.0,11.0,96
distilbert-base-multilingual-cased,ar,NQT,raw,0.7398969242067314,1.0,0.0,96
distilbert-base-multilingual-cased,ar,NQT,remove_endpoint_position,0.7461401007696598,1.0,6.0,96
distilbert-base-multilingual-cased,ar,NQT,remove_sign,0.7400431252875702,1.0,1.0,96
distilbert-base-multilingual-cased,ar,NQT,remove_triple_label,0.7461340697294686,1.0,4.0,96
distilbert-base-multilingual-cased,ar,NQT,remove_triple_plus_position_plus_sign,0.7469637104157735,1.0,11.0,96
distilbert-base-multilingual-cased,ar,QMT,raw,0.7253874552174219,1.0,0.0,96
distilbert-base-multilingual-cased,ar,QMT,remove_endpoint_position,0.7278787098800675,1.0,6.0,96
distilbert-base-multilingual-cased,ar,QMT,remove_sign,0.7186850685482679,1.0,1.0,96
distilbert-base-multilingual-cased,ar,QMT,remove_triple_label,0.7326150777211121,1.0,4.0,96
distilbert-base-multilingual-cased,ar,QMT,remove_triple_plus_position_plus_sign,0.7295964715455473,1.0,11.0,96
distilbert-base-multilingual-cased,de,NMT,raw,0.7766351345202266,1.0,0.0,96
distilbert-base-multilingual-cased,de,NMT,remove_endpoint_position,0.7778183344636321,1.0,6.0,96
distilbert-base-multilingual-cased,de,NMT,remove_sign,0.7765062245348539,1.0,1.0,96
distilbert-base-multilingual-cased,de,NMT,remove_triple_label,0.7781596240599794,1.0,4.0,96
distilbert-base-multilingual-cased,de,NMT,remove_triple_plus_position_plus_sign,0.7773652849358731,1.0,11.0,96
distilbert-base-multilingual-cased,de,NQM,raw,0.6063423020689557,1.0,0.0,96
distilbert-base-multilingual-cased,de,NQM,remove_endpoint_position,0.6238108380370556,1.0,6.0,96
distilbert-base-multilingual-cased,de,NQM,remove_sign,0.6081427109002615,1.0,1.0,96
distilbert-base-multilingual-cased,de,NQM,remove_triple_label,0.6001868487979914,1.0,4.0,96
distilbert-base-multilingual-cased,de,NQM,remove_triple_plus_position_plus_sign,0.6234043972965913,1.0,11.0,96
distilbert-base-multilingual-cased,de,NQT,raw,0.695761180519483,1.0,0.0,96
distilbert-base-multilingual-cased,de,NQT,remove_endpoint_position,0.6956077719948341,1.0,6.0,96
distilbert-base-multilingual-cased,de,NQT,remove_sign,0.6951566567625597,1.0,1.0,96
distilbert-base-multilingual-cased,de,NQT,remove_triple_label,0.6957539847727464,1.0,4.0,96
distilbert-base-multilingual-cased,de,NQT,remove_triple_plus_position_plus_sign,0.6978929954535503,1.0,11.0,96
distilbert-base-multilingual-cased,de,QMT,raw,0.5286500642412414,1.0,0.0,96
distilbert-base-multilingual-cased,de,QMT,remove_endpoint_position,0.5334407390851026,1.0,6.0,96
distilbert-base-multilingual-cased,de,QMT,remove_sign,0.5292288438342057,1.0,1.0,96
distilbert-base-multilingual-cased,de,QMT,remove_triple_label,0.5269751862796151,1.0,4.0,96
distilbert-base-multilingual-cased,de,QMT,remove_triple_plus_position_plus_sign,0.5328689764508777,1.0,11.0,96
distilbert-base-multilingual-cased,en,NMT,raw,0.7645508010766502,1.0,0.0,96
distilbert-base-multilingual-cased,en,NMT,remove_endpoint_position,0.7629223116947826,1.0,6.0,96
distilbert-base-multilingual-cased,en,NMT,remove_sign,0.7634410325776573,1.0,1.0,96
distilbert-base-multilingual-cased,en,NMT,remove_triple_label,0.7639479884127338,1.0,4.0,96
distilbert-base-multilingual-cased,en,NMT,remove_triple_plus_position_plus_sign,0.7658352476806347,1.0,11.0,96
distilbert-base-multilingual-cased,en,NQM,raw,0.48862552825060046,1.0,0.0,96
distilbert-base-multilingual-cased,en,NQM,remove_endpoint_position,0.4901371953804019,1.0,6.0,96
distilbert-base-multilingual-cased,en,NQM,remove_sign,0.48375327283136177,1.0,1.0,96
distilbert-base-multilingual-cased,en,NQM,remove_triple_label,0.4891910029854125,1.0,4.0,96
distilbert-base-multilingual-cased,en,NQM,remove_triple_plus_position_plus_sign,0.49076385532712563,1.0,11.0,96
distilbert-base-multilingual-cased,en,NQT,raw,0.6719186730952006,1.0,0.0,96
distilbert-base-multilingual-cased,en,NQT,remove_endpoint_position,0.6803100177051659,1.0,6.0,96
distilbert-base-multilingual-cased,en,NQT,remove_sign,0.6680509386238661,1.0,1.0,96
distilbert-base-multilingual-cased,en,NQT,remove_triple_label,0.6707271926744952,1.0,4.0,96
