model,language,triple,residualization,mean_ratio_to_exact_null,frac_below_null,mean_subspace_rank,n
intfloat/multilingual-e5-large,ar,NMT,raw,0.667136295359387,1.0,0.0,96
intfloat/multilingual-e5-large,ar,NMT,remove_endpoint_position,0.6734093016002429,1.0,6.0,96
intfloat/multilingual-e5-large,ar,NMT,remove_sign,0.668636955112524,1.0,1.0,96
intfloat/multilingual-e5-large,ar,NMT,remove_triple_label,0.6682698615515466,1.0,4.0,96
intfloat/multilingual-e5-large,ar,NMT,remove_triple_plus_position_plus_sign,0.6756027028142202,1.0,11.0,96
intfloat/multilingual-e5-large,ar,NQM,raw,0.4652248718016414,1.0,0.0,96
intfloat/multilingual-e5-large,ar,NQM,remove_endpoint_position,0.45865606560906896,1.0,6.0,96
intfloat/multilingual-e5-large,ar,NQM,remove_sign,0.46509097767517504,1.0,1.0,96
intfloat/multilingual-e5-large,ar,NQM,remove_triple_label,0.4695364563426456,1.0,4.0,96
intfloat/multilingual-e5-large,ar,NQM,remove_triple_plus_position_plus_sign,0.4645194351088124,1.0,11.0,96
intfloat/multilingual-e5-large,ar,NQT,raw,0.5923056441521289,1.0,0.0,96
intfloat/multilingual-e5-large,ar,NQT,remove_endpoint_position,0.5870061566568813,1.0,6.0,96
intfloat/multilingual-e5-large,ar,NQT,remove_sign,0.5922206767710382,1.0,1.0,96
intfloat/multilingual-e5-large,ar,NQT,remove_triple_label,0.5948398956749842,1.0,4.0,96
intfloat/multilingual-e5-large,ar,NQT,remove_triple_plus_position_plus_sign,0.5924249672327967,1.0,11.0,96
intfloat/multilingual-e5-large,ar,QMT,raw,0.5190821675547053,1.0,0.0,96
intfloat/multilingual-e5-large,ar,QMT,remove_endpoint_position,0.5243928888041176,1.0,6.0,96
intfloat/multilingual-e5-large,ar,QMT,remove_sign,0.5189746056690842,1.0,1.0,96
intfloat/multilingual-e5-large,ar,QMT,remove_triple_label,0.5211474904567678,1.0,4.0,96
intfloat/multilingual-e5-large,ar,QMT,remove_triple_plus_position_plus_sign,0.5287429561233344,1.0,11.0,96
intfloat/multilingual-e5-large,de,NMT,raw,0.770599586512683,1.0,0.0,96
intfloat/multilingual-e5-large,de,NMT,remove_endpoint_position,0.7744020623448082,1.0,6.0,96
intfloat/multilingual-e5-large,de,NMT,remove_sign,0.7723576070347541,1.0,1.0,96
intfloat/multilingual-e5-large,de,NMT,remove_triple_label,0.7704504619102538,1.0,4.0,96
intfloat/multilingual-e5-large,de,NMT,remove_triple_plus_position_plus_sign,0.773392480208284,1.0,11.0,96
intfloat/multilingual-e5-large,de,NQM,raw,0.6375707252134327,1.0,0.0,96
intfloat/multilingual-e5-large,de,NQM,remove_endpoint_position,0.6035643996340766,1.0,6.0,96
intfloat/multilingual-e5-large,de,NQM,remove_sign,0.6023501314828595,1.0,1.0,96
intfloat/multilingual-e5-large,de,NQM,remove_triple_label,0.6353688731996953,1.0,4.0,96
intfloat/multilingual-e5-large,de,NQM,remove_triple_plus_position_plus_sign,0.5985469128528224,1.0,11.0,96
intfloat/multilingual-e5-large,de,NQT,raw,0.7632524518508571,1.0,0.0,96
intfloat/multilingual-e5-large,de,NQT,remove_endpoint_position,0.7472911935454404,1.0,6.0,96
intfloat/multilingual-e5-large,de,NQT,remove_sign,0.7479925400337789,1.0,1.0,96
