model,heldout_language,probe,subspace_rank,accuracy,macro_f1,chance,n_train,n_test
Qwen/Qwen3-Embedding-0.6B,ar,triple_label_from_single_endpoint_delta,4,0.4049479166666667,0.3773512815108175,0.25,13824,2304
Qwen/Qwen3-Embedding-0.6B,ar,endpoint_position_from_endpoint_delta,6,0.1623263888888889,0.10847059576897612,0.16666666666666666,13824,2304
Qwen/Qwen3-Embedding-0.6B,ar,cyclic_vs_anticyclic_from_endpoint_delta,1,0.5,0.3333333333333333,0.5,13824,2304
Qwen/Qwen3-Embedding-0.6B,de,triple_label_from_single_endpoint_delta,4,0.7764756944444444,0.7650697550207897,0.25,13824,2304
Qwen/Qwen3-Embedding-0.6B,de,endpoint_position_from_endpoint_delta,6,0.3198784722222222,0.29335887801778104,0.16666666666666666,13824,2304
Qwen/Qwen3-Embedding-0.6B,de,cyclic_vs_anticyclic_from_endpoint_delta,1,0.6163194444444444,0.61624541771175,0.5,13824,2304
Qwen/Qwen3-Embedding-0.6B,en,triple_label_from_single_endpoint_delta,4,0.96484375,0.9649348829705882,0.25,13824,2304
Qwen/Qwen3-Embedding-0.6B,en,endpoint_position_from_endpoint_delta,6,0.2921006944444444,0.28165668470643285,0.16666666666666666,13824,2304
Qwen/Qwen3-Embedding-0.6B,en,cyclic_vs_anticyclic_from_endpoint_delta,1,0.5737847222222222,0.558698170838746,0.5,13824,2304
Qwen/Qwen3-Embedding-0.6B,es,triple_label_from_single_endpoint_delta,4,0.8246527777777778,0.8174897469946345,0.25,13824,2304
Qwen/Qwen3-Embedding-0.6B,es,endpoint_position_from_endpoint_delta,6,0.3337673611111111,0.3235770539539015,0.16666666666666666,13824,2304
Qwen/Qwen3-Embedding-0.6B,es,cyclic_vs_anticyclic_from_endpoint_delta,1,0.5659722222222222,0.5619785186965212,0.5,13824,2304
Qwen/Qwen3-Embedding-0.6B,fr,triple_label_from_single_endpoint_delta,4,0.8793402777777778,0.8802517506856206,0.25,13824,2304
Qwen/Qwen3-Embedding-0.6B,fr,endpoint_position_from_endpoint_delta,6,0.2916666666666667,0.25446428526006354,0.16666666666666666,13824,2304
Qwen/Qwen3-Embedding-0.6B,fr,cyclic_vs_anticyclic_from_endpoint_delta,1,0.5616319444444444,0.5203403525551177,0.5,13824,2304
Qwen/Qwen3-Embedding-0.6B,ru,triple_label_from_single_endpoint_delta,4,0.4548611111111111,0.397549839243288,0.25,13824,2304
Qwen/Qwen3-Embedding-0.6B,ru,endpoint_position_from_endpoint_delta,6,0.1640625,0.1124031378334661,0.16666666666666666,13824,2304
Qwen/Qwen3-Embedding-0.6B,ru,cyclic_vs_anticyclic_from_endpoint_delta,1,0.5008680555555556,0.3827160493827161,0.5,13824,2304
Qwen/Qwen3-Embedding-0.6B,zh,triple_label_from_single_endpoint_delta,4,0.8559027777777778,0.8580269665880444,0.25,13824,2304
Qwen/Qwen3-Embedding-0.6B,zh,endpoint_position_from_endpoint_delta,6,0.3454861111111111,0.3028835761285366,0.16666666666666666,13824,2304
Qwen/Qwen3-Embedding-0.6B,zh,cyclic_vs_anticyclic_from_endpoint_delta,1,0.5785590277777778,0.5664532572534621,0.5,13824,2304
