model,heldout_language,probe,subspace_rank,accuracy,macro_f1,chance,n_train,n_test
BAAI/bge-m3,ar,triple_label_from_single_endpoint_delta,4,0.4596354166666667,0.35777573153602443,0.25,13824,2304
BAAI/bge-m3,ar,endpoint_position_from_endpoint_delta,6,0.08550347222222222,0.06957144201242021,0.16666666666666666,13824,2304
BAAI/bge-m3,ar,cyclic_vs_anticyclic_from_endpoint_delta,1,0.4852430555555556,0.4050244953948658,0.5,13824,2304
BAAI/bge-m3,de,triple_label_from_single_endpoint_delta,4,0.9722222222222222,0.9721815795966218,0.25,13824,2304
BAAI/bge-m3,de,endpoint_position_from_endpoint_delta,6,0.4036458333333333,0.3451170515676316,0.16666666666666666,13824,2304
BAAI/bge-m3,de,cyclic_vs_anticyclic_from_endpoint_delta,1,0.6206597222222222,0.6205670872337539,0.5,13824,2304
BAAI/bge-m3,en,triple_label_from_single_endpoint_delta,4,0.9748263888888888,0.9747465228931063,0.25,13824,2304
BAAI/bge-m3,en,endpoint_position_from_endpoint_delta,6,0.3958333333333333,0.4043457367270875,0.16666666666666666,13824,2304
BAAI/bge-m3,en,cyclic_vs_anticyclic_from_endpoint_delta,1,0.6115451388888888,0.6099137095256246,0.5,13824,2304
BAAI/bge-m3,es,triple_label_from_single_endpoint_delta,4,0.8498263888888888,0.8522604877182742,0.25,13824,2304
BAAI/bge-m3,es,endpoint_position_from_endpoint_delta,6,0.3854166666666667,0.36625338359281745,0.16666666666666666,13824,2304
BAAI/bge-m3,es,cyclic_vs_anticyclic_from_endpoint_delta,1,0.6184895833333334,0.6174691245510464,0.5,13824,2304
BAAI/bge-m3,fr,triple_label_from_single_endpoint_delta,4,0.9583333333333334,0.9583616669932143,0.25,13824,2304
BAAI/bge-m3,fr,endpoint_position_from_endpoint_delta,6,0.4071180555555556,0.40266041415734194,0.16666666666666666,13824,2304
BAAI/bge-m3,fr,cyclic_vs_anticyclic_from_endpoint_delta,1,0.6137152777777778,0.613712658099081,0.5,13824,2304
BAAI/bge-m3,ru,triple_label_from_single_endpoint_delta,4,0.8459201388888888,0.839348209873623,0.25,13824,2304
BAAI/bge-m3,ru,endpoint_position_from_endpoint_delta,6,0.2565104166666667,0.23228758397641913,0.16666666666666666,13824,2304
BAAI/bge-m3,ru,cyclic_vs_anticyclic_from_endpoint_delta,1,0.5516493055555556,0.4960966007938277,0.5,13824,2304
BAAI/bge-m3,zh,triple_label_from_single_endpoint_delta,4,0.9505208333333334,0.9510987359076163,0.25,13824,2304
BAAI/bge-m3,zh,endpoint_position_from_endpoint_delta,6,0.3884548611111111,0.36657346997381096,0.16666666666666666,13824,2304
BAAI/bge-m3,zh,cyclic_vs_anticyclic_from_endpoint_delta,1,0.59375,0.5937129563830132,0.5,13824,2304
