model,heldout_language,probe,subspace_rank,accuracy,macro_f1,chance,n_train,n_test
distilbert-base-multilingual-cased,ar,triple_label_from_single_endpoint_delta,4,0.5568576388888888,0.5086733448710141,0.25,13824,2304
distilbert-base-multilingual-cased,ar,endpoint_position_from_endpoint_delta,6,0.18359375,0.12399116713113367,0.16666666666666666,13824,2304
distilbert-base-multilingual-cased,ar,cyclic_vs_anticyclic_from_endpoint_delta,1,0.4778645833333333,0.42884167070042783,0.5,13824,2304
distilbert-base-multilingual-cased,de,triple_label_from_single_endpoint_delta,4,0.64453125,0.63525231330824,0.25,13824,2304
distilbert-base-multilingual-cased,de,endpoint_position_from_endpoint_delta,6,0.2782118055555556,0.2535785819843989,0.16666666666666666,13824,2304
distilbert-base-multilingual-cased,de,cyclic_vs_anticyclic_from_endpoint_delta,1,0.5169270833333334,0.508539110719717,0.5,13824,2304
distilbert-base-multilingual-cased,en,triple_label_from_single_endpoint_delta,4,0.7426215277777778,0.7431671642130905,0.25,13824,2304
distilbert-base-multilingual-cased,en,endpoint_position_from_endpoint_delta,6,0.2565104166666667,0.22186074660240931,0.16666666666666666,13824,2304
distilbert-base-multilingual-cased,en,cyclic_vs_anticyclic_from_endpoint_delta,1,0.5651041666666666,0.5528113167051881,0.5,13824,2304
distilbert-base-multilingual-cased,es,triple_label_from_single_endpoint_delta,4,0.7625868055555556,0.7626206762258264,0.25,13824,2304
distilbert-base-multilingual-cased,es,endpoint_position_from_endpoint_delta,6,0.2547743055555556,0.23302005692004524,0.16666666666666666,13824,2304
distilbert-base-multilingual-cased,es,cyclic_vs_anticyclic_from_endpoint_delta,1,0.5260416666666666,0.5016223231667748,0.5,13824,2304
distilbert-base-multilingual-cased,fr,triple_label_from_single_endpoint_delta,4,0.5282118055555556,0.48452619216992154,0.25,13824,2304
distilbert-base-multilingual-cased,fr,endpoint_position_from_endpoint_delta,6,0.24348958333333334,0.21762675382629118,0.16666666666666666,13824,2304
distilbert-base-multilingual-cased,fr,cyclic_vs_anticyclic_from_endpoint_delta,1,0.5412326388888888,0.5244361030727445,0.5,13824,2304
distilbert-base-multilingual-cased,ru,triple_label_from_single_endpoint_delta,4,0.4405381944444444,0.4329197514073218,0.25,13824,2304
distilbert-base-multilingual-cased,ru,endpoint_position_from_endpoint_delta,6,0.23741319444444445,0.21586181230974555,0.16666666666666666,13824,2304
distilbert-base-multilingual-cased,ru,cyclic_vs_anticyclic_from_endpoint_delta,1,0.515625,0.44379029997196523,0.5,13824,2304
distilbert-base-multilingual-cased,zh,triple_label_from_single_endpoint_delta,4,0.6935763888888888,0.6969466224958564,0.25,13824,2304
distilbert-base-multilingual-cased,zh,endpoint_position_from_endpoint_delta,6,0.2282986111111111,0.16799863179335808,0.16666666666666666,13824,2304
distilbert-base-multilingual-cased,zh,cyclic_vs_anticyclic_from_endpoint_delta,1,0.5225694444444444,0.45932477036662833,0.5,13824,2304
