triple,residualization,mean_ratio_to_exact_null,mean_frac_below_null,mean_subspace_rank,n_cells
NMT,raw,0.7640729197137329,0.9991496598639457,0.0,49
NMT,remove_endpoint_position,0.764539482635124,0.9989370748299319,6.0,49
NMT,remove_sign,0.7639162144609888,0.9991496598639457,1.0,49
NMT,remove_triple_label,0.763324834056301,0.9991496598639457,4.0,49
NMT,remove_triple_plus_position_plus_sign,0.7640999995660511,0.9991496598639457,11.0,49
NQM,raw,0.5434087318425558,1.0,0.0,49
NQM,remove_endpoint_position,0.537042154529033,1.0,6.0,49
NQM,remove_sign,0.5343857763725589,1.0,1.0,49
NQM,remove_triple_label,0.5446639986207675,1.0,4.0,49
NQM,remove_triple_plus_position_plus_sign,0.5383001811770944,1.0,11.0,49
NQT,raw,0.6766061978934472,1.0,0.0,49
NQT,remove_endpoint_position,0.6753647112828554,1.0,6.0,49
NQT,remove_sign,0.6719058284461715,1.0,1.0,49
NQT,remove_triple_label,0.6791312664240926,1.0,4.0,49
NQT,remove_triple_plus_position_plus_sign,0.6774579798924008,1.0,11.0,49
QMT,raw,0.5895541332706143,1.0,0.0,49
QMT,remove_endpoint_position,0.602188459306604,1.0,6.0,49
QMT,remove_sign,0.5896313144648095,1.0,1.0,49
QMT,remove_triple_label,0.5896149403324747,1.0,4.0,49
QMT,remove_triple_plus_position_plus_sign,0.6036697482517103,1.0,11.0,49
