model,language,template_id,triple,residualization,subspace_rank,relative_signed_permutation_norm,ratio_to_exact_null_mean,exact_empirical_p
bert-base-multilingual-cased,ar,0,NQM,raw,0,0.3324930667877197,0.5454309159818893,0.3684210526315789
bert-base-multilingual-cased,ar,0,NQM,remove_sign,1,0.33214529035229196,0.5453026201077714,0.3684210526315789
bert-base-multilingual-cased,ar,0,NQM,remove_triple_label,4,0.3561147105688294,0.5420739576911515,0.3684210526315789
bert-base-multilingual-cased,ar,0,NQM,remove_endpoint_position,6,0.32659193654586094,0.5233892520036653,0.15789473684210525
bert-base-multilingual-cased,ar,0,NQM,remove_triple_plus_position_plus_sign,11,0.3422117066481078,0.5227722994829984,0.3684210526315789
bert-base-multilingual-cased,ar,0,NQT,raw,0,0.4141537547111511,0.6727571645097375,0.5789473684210527
bert-base-multilingual-cased,ar,0,NQT,remove_sign,1,0.41307597897493087,0.6717783381173377,0.15789473684210525
bert-base-multilingual-cased,ar,0,NQT,remove_triple_label,4,0.44762076280938784,0.6774704274311034,0.5789473684210527
bert-base-multilingual-cased,ar,0,NQT,remove_endpoint_position,6,0.4410444483554338,0.6810845946515741,0.5789473684210527
bert-base-multilingual-cased,ar,0,NQT,remove_triple_plus_position_plus_sign,11,0.46328011931832797,0.6835539670320528,0.5789473684210527
bert-base-multilingual-cased,ar,0,NMT,raw,0,0.5218549370765686,0.7669971742725717,0.3684210526315789
bert-base-multilingual-cased,ar,0,NMT,remove_sign,1,0.5183462388976529,0.7655071216666284,0.3684210526315789
bert-base-multilingual-cased,ar,0,NMT,remove_triple_label,4,0.5244058634904585,0.7687670888271619,0.15789473684210525
bert-base-multilingual-cased,ar,0,NMT,remove_endpoint_position,6,0.5248255546735132,0.7653851173725753,0.3684210526315789
bert-base-multilingual-cased,ar,0,NMT,remove_triple_plus_position_plus_sign,11,0.518844841751068,0.7676787370637891,0.3684210526315789
bert-base-multilingual-cased,ar,0,QMT,raw,0,0.5471010804176331,0.7203360708673683,0.5789473684210527
bert-base-multilingual-cased,ar,0,QMT,remove_sign,1,0.5459850989109576,0.7196540657045274,0.5789473684210527
bert-base-multilingual-cased,ar,0,QMT,remove_triple_label,4,0.586231912376826,0.7217931024207734,0.5789473684210527
bert-base-multilingual-cased,ar,0,QMT,remove_endpoint_position,6,0.554344537909614,0.7289790289776129,0.3684210526315789
bert-base-multilingual-cased,ar,0,QMT,remove_triple_plus_position_plus_sign,11,0.5914816862043567,0.7321517221190078,0.47368421052631576
bert-base-multilingual-cased,ar,1,NQM,raw,0,0.3758798837661743,0.49346458512326297,0.3684210526315789
bert-base-multilingual-cased,ar,1,NQM,remove_sign,1,0.37590418569399336,0.49377577345007373,0.3684210526315789
bert-base-multilingual-cased,ar,1,NQM,remove_triple_label,4,0.4062952546322624,0.4934353979095434,0.3684210526315789
bert-base-multilingual-cased,ar,1,NQM,remove_endpoint_position,6,0.3966385156030013,0.49836765130090405,0.3684210526315789
bert-base-multilingual-cased,ar,1,NQM,remove_triple_plus_position_plus_sign,11,0.4261803971085786,0.49683000211121336,0.15789473684210525
bert-base-multilingual-cased,ar,1,NQT,raw,0,0.4633995592594147,0.6884881234739187,0.47368421052631576
bert-base-multilingual-cased,ar,1,NQT,remove_sign,1,0.4624798503937653,0.6900877178455193,0.5789473684210527
bert-base-multilingual-cased,ar,1,NQT,remove_triple_label,4,0.49895128621096824,0.6908767642442045,0.15789473684210525
bert-base-multilingual-cased,ar,1,NQT,remove_endpoint_position,6,0.48132962498656195,0.6889025136392275,0.3684210526315789
bert-base-multilingual-cased,ar,1,NQT,remove_triple_plus_position_plus_sign,11,0.5074495897983193,0.6873648112345438,0.5789473684210527
bert-base-multilingual-cased,ar,1,NMT,raw,0,0.38544216752052307,0.7553683348085574,0.5789473684210527
bert-base-multilingual-cased,ar,1,NMT,remove_sign,1,0.3828389170500742,0.7548410399179203,0.47368421052631576
bert-base-multilingual-cased,ar,1,NMT,remove_triple_label,4,0.3849474159543001,0.7577147425834054,0.5789473684210527
bert-base-multilingual-cased,ar,1,NMT,remove_endpoint_position,6,0.3767450969403966,0.7519687991720485,0.5789473684210527
bert-base-multilingual-cased,ar,1,NMT,remove_triple_plus_position_plus_sign,11,0.37870258596871764,0.7549821811265401,0.3684210526315789
bert-base-multilingual-cased,ar,1,QMT,raw,0,0.5813813805580139,0.725491458254657,0.5789473684210527
bert-base-multilingual-cased,ar,1,QMT,remove_sign,1,0.5803815712653139,0.7291059346248644,0.5789473684210527
bert-base-multilingual-cased,ar,1,QMT,remove_triple_label,4,0.6271236546973511,0.7370771496017253,0.5789473684210527
bert-base-multilingual-cased,ar,1,QMT,remove_endpoint_position,6,0.6084334172713753,0.7456822016367783,0.5789473684210527
bert-base-multilingual-cased,ar,1,QMT,remove_triple_plus_position_plus_sign,11,0.658989618106489,0.7560615475653785,0.5789473684210527
bert-base-multilingual-cased,ar,2,NQM,raw,0,0.3159704804420471,0.5066971156822709,0.2631578947368421
bert-base-multilingual-cased,ar,2,NQM,remove_sign,1,0.31553539774840555,0.5061920968297735,0.3684210526315789
bert-base-multilingual-cased,ar,2,NQM,remove_triple_label,4,0.3355695479820192,0.5049852195693589,0.15789473684210525
bert-base-multilingual-cased,ar,2,NQM,remove_endpoint_position,6,0.3188114962821386,0.49587016753372204,0.3684210526315789
bert-base-multilingual-cased,ar,2,NQM,remove_triple_plus_position_plus_sign,11,0.33308693290312935,0.4943756407622731,0.3684210526315789
bert-base-multilingual-cased,ar,2,NQT,raw,0,0.39248010516166687,0.7164721345696692,0.5789473684210527
bert-base-multilingual-cased,ar,2,NQT,remove_sign,1,0.3902194834383407,0.7143437107025673,0.2631578947368421
bert-base-multilingual-cased,ar,2,NQT,remove_triple_label,4,0.42269792731752015,0.7238472253289067,0.5789473684210527
bert-base-multilingual-cased,ar,2,NQT,remove_endpoint_position,6,0.4115893026335766,0.7217558956839077,0.5789473684210527
bert-base-multilingual-cased,ar,2,NQT,remove_triple_plus_position_plus_sign,11,0.4339410867335324,0.7275902450763008,0.3684210526315789
bert-base-multilingual-cased,ar,2,NMT,raw,0,0.4484630525112152,0.7880247679779503,0.47368421052631576
bert-base-multilingual-cased,ar,2,NMT,remove_sign,1,0.44916449980268675,0.7879110857486699,0.3684210526315789
bert-base-multilingual-cased,ar,2,NMT,remove_triple_label,4,0.446070857095224,0.7883175345021642,0.2631578947368421
bert-base-multilingual-cased,ar,2,NMT,remove_endpoint_position,6,0.45817192912407134,0.7916109541282883,0.47368421052631576
bert-base-multilingual-cased,ar,2,NMT,remove_triple_plus_position_plus_sign,11,0.4564839431848357,0.7930555792138,0.2631578947368421
bert-base-multilingual-cased,ar,2,QMT,raw,0,0.5208820104598999,0.8345796231129929,0.5789473684210527
bert-base-multilingual-cased,ar,2,QMT,remove_sign,1,0.5156260577873258,0.830967635618928,0.5789473684210527
bert-base-multilingual-cased,ar,2,QMT,remove_triple_label,4,0.5531310457144928,0.8397814088805831,0.5789473684210527
bert-base-multilingual-cased,ar,2,QMT,remove_endpoint_position,6,0.5278196473760913,0.8382245496261832,0.2631578947368421
bert-base-multilingual-cased,ar,2,QMT,remove_triple_plus_position_plus_sign,11,0.5545143268632163,0.8430701128454916,0.5789473684210527
bert-base-multilingual-cased,ar,3,NQM,raw,0,0.3788543939590454,0.6035046400191864,0.2631578947368421
bert-base-multilingual-cased,ar,3,NQM,remove_sign,1,0.378977342191845,0.6038861857030239,0.3684210526315789
bert-base-multilingual-cased,ar,3,NQM,remove_triple_label,4,0.39877143308006796,0.5933296275726424,0.5789473684210527
bert-base-multilingual-cased,ar,3,NQM,remove_endpoint_position,6,0.39304811006950763,0.6061292885236582,0.5789473684210527
bert-base-multilingual-cased,ar,3,NQM,remove_triple_plus_position_plus_sign,11,0.4060478842678989,0.5968292796750664,0.5789473684210527
bert-base-multilingual-cased,ar,3,NQT,raw,0,0.46659642457962036,0.6754826244784653,0.5789473684210527
bert-base-multilingual-cased,ar,3,NQT,remove_sign,1,0.46539010862720626,0.6738498423158691,0.5789473684210527
bert-base-multilingual-cased,ar,3,NQT,remove_triple_label,4,0.4995676799470176,0.6803927825683896,0.5789473684210527
bert-base-multilingual-cased,ar,3,NQT,remove_endpoint_position,6,0.48176719216917135,0.679894344836098,0.3684210526315789
bert-base-multilingual-cased,ar,3,NQT,remove_triple_plus_position_plus_sign,11,0.5089955811367001,0.6825621002225634,0.5789473684210527
